id,type,ref_to,timestamp,author_name,author_nickname,author_id,author_avatar_url,content
1292280678196445279,Default,,2024-10-06T00:22:03.096+00:00,franceshaydock_20619,Frances Haydock (HFP HQ!),1257469301435400238,assets\8286d5b1308e7b3d80a3523e4ec50548-C029D.png,"Hi everyone! Welcome to our new channel for making friendly phone calls! We'll use this space to coordinate getting lists for:

** Volunteer Recruitment Calls **- asking supporters to volunteer for Kamala 
** Confirm Calls** - making sure that people who are signed up for events & volunteering shifts have all the information they need 
** Rally Invite Calls** - inviting people to see Kamala or Tim (or other special guests) at campaign events 

We will have volunteer calls open all day starting tomorrow, though there may be times where most of our volunteers are calling voters in battleground states, and therefore these calls will run slower. 

In the meantime, we'd love for folks to get familiar with our dialer tool! You can sign up for a phonebank training here: https://events.democrats.org/event/664004/

And then check out some of our resources here: 
* **How to Use the Dialer:** https://go.kamalaharris.com/resources/dialer/
* **Phonebank Volunteer FAQ: **https://go.kamalaharris.com/resources/pbvolunteerfaq/
* **Dialer Training Video: **https://go.kamalaharris.com/resources/dialervideo/

Thank you for being on this team!"
1292508166071910553,Default,,2024-10-06T15:26:00.432+00:00,niyah8404,saniyahihatecolorism,1075943390232989706,assets\1628fc11e7961d85181295493426b775-FE4F0.png,I have a question everyone
1292557173636857958,Default,,2024-10-06T18:40:44.746+00:00,starkittynmom,Jen Medeiros [CA] • [Lead Mod],1276944250491113656,assets\a_2aba4b7f19fcab5fe5391fcdb73d735d-D670A.gif,hi <@1075943390232989706> - sorry this message got missed. How can I help you?
1292557653633138750,Default,,2024-10-06T18:42:39.186+00:00,niyah8404,saniyahihatecolorism,1075943390232989706,assets\1628fc11e7961d85181295493426b775-FE4F0.png,All good! For the phone banks is there a specific set schedule or are they accessible at anytime?
1292557879164801106,Default,,2024-10-06T18:43:32.957+00:00,starkittynmom,Jen Medeiros [CA] • [Lead Mod],1276944250491113656,assets\a_2aba4b7f19fcab5fe5391fcdb73d735d-D670A.gif,We have anytime dialing from 9am EST until 11:30pm EST (we are calling the west coast at that time)
1293302197622149140,Default,,2024-10-08T20:01:12.306+00:00,megk8199,Megan Morris NY,1266394779676184707,assets\ef0881069adff0161f4bd602f9c62624-E5156.png,"So we just, what, say that we want to make calls in here and y’all post a link to the dialer? I’m confused"
1293302283282681867,Default,,2024-10-08T20:01:32.729+00:00,megk8199,Megan Morris NY,1266394779676184707,assets\ef0881069adff0161f4bd602f9c62624-E5156.png,"Also on my phone dialer autocorrects to diaper, fyi 🤣"
1293302380867358795,Default,,2024-10-08T20:01:55.995+00:00,megk8199,Megan Morris NY,1266394779676184707,assets\ef0881069adff0161f4bd602f9c62624-E5156.png,"So if I ever ask for the diaper, that’s what’s happening"
1293320247327330335,Default,,2024-10-08T21:12:55.691+00:00,starkittynmom,Jen Medeiros [CA] • [Lead Mod],1276944250491113656,assets\a_2aba4b7f19fcab5fe5391fcdb73d735d-D670A.gif,HEYYYYYY best friend  <@1266394779676184707> - and YES! You just tag a <@&1242252399284977714> and whoever is on shift will be able to hook you up!
1293338630034686093,Reply,1293320247327330335,2024-10-08T22:25:58.47+00:00,megk8199,Megan Morris NY,1266394779676184707,assets\ef0881069adff0161f4bd602f9c62624-E5156.png,Excellent! There are times I could use some easy calls
1296657338802901133,Default,,2024-10-18T02:13:20.299+00:00,matt_21218,Matt,1256067120488255519,assets\3-FB033.png,I am phonebanking in NV and getting multiple people telling me they have been called 2-3 x today. How can we stop this?
1296659305310720031,Default,,2024-10-18T02:21:09.151+00:00,gail_13473,Gail Levine CA (CALL Mod D.C.),1266903886434799708,assets\9a73536ac815ab8b7516ce92a4c36681-C7CBF.png,"Matt, I understand the frustration.  The issue is that this is such an important election, NV is an important state, and there are multiple organizations making calls.  The person can ask to be removed from the list, but that is just OUR list.  Others will still call.  I have had some success explaining all of this to people, and those that support Kamala Harris generally will be nice, at least.  All we can do is stay positive, polite, and sympathetic.  (on a side note...I now answer almost every call I receive, even the ones marked 'spam', because it might be a volunteer looking for that positive reinforcement to keep making calls. 😍 )"
