id,type,ref_to,timestamp,author_name,author_nickname,author_id,author_avatar_url,content
1283752948236550250,Default,,2024-09-12T11:35:53.836+00:00,willmcconnell_,Will McConnell,1255943130331615243,assets\c75d6378063100d074284d67596485ec-56591.png,<@1283215941231968308> -  here is the channel!
1283851105272467556,Default,,2024-09-12T18:05:56.297+00:00,danielledravenstadt,Danielle Dravenstadt,1229872515531280384,assets\76cf951b8e67e24cfdb9c9a41a9020e3-1474E.png,"Hi climate creatives,

I’m Danielle (she/her). I’m traveling to LA, and it has me thinking about the state of our climate. Here’s a little digital painting I just made on that topic. Happy to be here with you 👋"
1283907229392699514,Default,,2024-09-12T21:48:57.33+00:00,jayrio76,Jay E  (TX)  OE Mod,782870341445353522,assets\41ef520387924aa4413513eda28784df-34D82.png,Hello <#1283752765629141042> - So glad to see this channel. 😉
1283916733505212526,Default,,2024-09-12T22:26:43.287+00:00,zotbot10,Frank (CA) OE Mod,795513525375991818,assets\0-EB806.png,"Here’s the climate poem I have made on based on Taylor Swift lyrics

Link: Here: https://docs.google.com/document/d/1XKS1BR_hCLWgp6aQwrdQHT5Kpd_tWfVte4AiYtDNsw0/edit"
1283956657893802034,Reply,1283851105272467556,2024-09-13T01:05:22.003+00:00,randallrex,RANDY ARMSTRONG,1067615211432988684,assets\82d51a300dab6846ebc89038ca26e960-DDFAD.png,This is really beautiful! I see a healing world!
1284662162815455263,Reply,1283752948236550250,2024-09-14T23:48:47.484+00:00,shanleyhopes,Sarah Shanley Hope,1283215941231968308,assets\bde3fb10dc36fccb4f95c7f78f9c1485-9B13B.png,"Thanks, Will! I'm making good progress pulling folks together with a semblance of a video content plan so can provide an update on Monday.  In the meantime, do you know if there is an existing library of all Harris, Walz, and ideally also Trump, Vance climate and energy related very short video clips that our team of editors/producers could access? If not, is that a project that could make sense for a climate volunteer to work with the broader campaign digital team to create? Seeing how fast they are cranking out other stitched video content (not climate related), I would think there's an existing workflow there that we may leverage... LMK if this is better for email. Thank you!"
1284687798011564215,Reply,1283851105272467556,2024-09-15T01:30:39.391+00:00,climatejusticechampion_90892,Climate Justice Champion,1281223702196781056,assets\5-E9BDB.png,Love this virtual painting! Thanks for sharing!
1284688474334560277,Default,,2024-09-15T01:33:20.639+00:00,climatejusticechampion_90892,Climate Justice Champion,1281223702196781056,assets\5-E9BDB.png,"Hi - It's so great to meet everyone! I'm Sameer, a climate justice advocate/volunteer based in NYC. Here's a poem I wrote about the campaign:"
1284760414953144371,Reply,1284688474334560277,2024-09-15T06:19:12.619+00:00,jayrio76,Jay E  (TX)  OE Mod,782870341445353522,assets\41ef520387924aa4413513eda28784df-34D82.png,"HI <@1281223702196781056> - Sameer,  I hope to read your poem. It does not appear here yet. 🙂 For reference, you cannot upload a file, but you can share a screenshot that includes text."
1284841575226015754,Reply,1284688474334560277,2024-09-15T11:41:42.736+00:00,danielledravenstadt,Danielle Dravenstadt,1229872515531280384,assets\76cf951b8e67e24cfdb9c9a41a9020e3-1474E.png,Hi! Looking forward to reading the poem as well 💛
