id,type,ref_to,timestamp,author_name,author_nickname,author_id,author_avatar_url,content
1293247990282195074,Default,,2024-10-08T16:25:48.269+00:00,jenduvklee,JenK – Mod (CT),1283888134454644799,assets\5d2183019de8d1d137d4d9857070d06e-1C499.png,
1293255791301759028,Default,,2024-10-08T16:56:48.177+00:00,girasol.glory,Jess L (SATX) [Mod],936359743457464391,assets\a52faf4ea91846a78ac440fcdc876153-E0FED.png,
1293255985611411640,Default,,2024-10-08T16:57:34.504+00:00,girasol.glory,Jess L (SATX) [Mod],936359743457464391,assets\a52faf4ea91846a78ac440fcdc876153-E0FED.png,Voter Registration group - we just wrapped our last day in <#1268378299428634727> !
1293256109821399043,Default,,2024-10-08T16:58:04.118+00:00,girasol.glory,Jess L (SATX) [Mod],936359743457464391,assets\a52faf4ea91846a78ac440fcdc876153-E0FED.png,
1293256304336572536,Default,,2024-10-08T16:58:50.494+00:00,girasol.glory,Jess L (SATX) [Mod],936359743457464391,assets\a52faf4ea91846a78ac440fcdc876153-E0FED.png,+(pre) VP Debate Watch Party in San Antonio with grassroots group Texans For Kamala!
1293273790243016756,Default,,2024-10-08T18:08:19.459+00:00,starkittynmom,Jen Medeiros [CA] • [Lead Mod],1276944250491113656,assets\a_2aba4b7f19fcab5fe5391fcdb73d735d-D670A.gif,This was a Sistas for Kamala phone bank in San Diego this weekend 💕
1293309105578180659,Default,,2024-10-08T20:28:39.291+00:00,spotifyllc,Carmen (Triston) (GA),947516905386831902,assets\93d5489f227e1c913d16cd0ff0335167-CC277.png,Making bracelets to give to other volunteers when I go canvassing soon
1293310529229815808,Default,,2024-10-08T20:34:18.716+00:00,kimmai,Kimmai T. (PA) • Mod,381286854059884545,assets\8f2f5a21a6665091a4e51dc7687cb6f3-AAC42.png,"Love seeing everyone’s pics. Keep up the great work, everyone! 💙"
1293318168818880535,Reply,1293247990282195074,2024-10-08T21:04:40.136+00:00,spotifyllc,Carmen (Triston) (GA),947516905386831902,assets\93d5489f227e1c913d16cd0ff0335167-CC277.png,This is so cute I might do something like this
1293373224318406741,Default,,2024-10-09T00:43:26.39+00:00,DemCord,DemCord,1242806362195365968,assets\007b625c296385e4ed52038a42c7256d-7649B.png,
1293373912398172170,Reply,1293318168818880535,2024-10-09T00:46:10.441+00:00,jenduvklee,JenK – Mod (CT),1283888134454644799,assets\5d2183019de8d1d137d4d9857070d06e-1C499.png,It's easy enough to do! Thanks!
1293374809790746695,Default,,2024-10-09T00:49:44.396+00:00,nigelchristopher4504,Nigel Christopher,770464820810088449,assets\1-B2132.png,"We got our billboard up today on I-30 in Mount Pleasant TX.  28,000 vehicles go through here daily."
1293375573178978355,Default,,2024-10-09T00:52:46.402+00:00,nigelchristopher4504,Nigel Christopher,770464820810088449,assets\1-B2132.png,Drumpf's 52% in 2020 is looking vulnerable in Texas .
1293578815519326218,Reply,1293571049274736650,2024-10-09T14:20:23.152+00:00,amirina9811,Kassie Byers - Mod (KY),243492115739312128,assets\a28ffed52ccc318441eb259552b68f66-B9E24.png,<@1285004866061860864> Hi! I sent you a DM!
1293676158424186910,Reply,1293374809790746695,2024-10-09T20:47:11.509+00:00,smichael6720,Michael Farar [AR],947574690287861792,assets\93d29f2a7f8024818f60e2492e6c4231-DAD77.png,You all have a great Thai restaurant on I-30!
1293710081942093855,Default,,2024-10-09T23:01:59.506+00:00,anniekate76,Andrea C [WI] • Mod,359726068954955776,assets\e3f51d2362ade0d88a04720e3dc4402c-8F686.png,Here’s the view I had at the Kamala rally in Madison WI a couple weeks ago! I got to be in the chairs behind the stage. 🤣
1293777270539944029,Default,,2024-10-10T03:28:58.516+00:00,DemCord,DemCord,1242806362195365968,assets\007b625c296385e4ed52038a42c7256d-7649B.png,
1293779124057411667,Default,,2024-10-10T03:36:20.429+00:00,spotifyllc,Carmen (Triston) (GA),947516905386831902,assets\93d5489f227e1c913d16cd0ff0335167-CC277.png,
1293779180793630810,Default,,2024-10-10T03:36:33.956+00:00,tiredforever,Alex McLand (TX) - MOD,225877156247502850,assets\a398fe8179da009dde0ef2cbe8b85b49-F1629.png,that is _a lot_
1293779208706723951,Default,,2024-10-10T03:36:40.611+00:00,spotifyllc,Carmen (Triston) (GA),947516905386831902,assets\93d5489f227e1c913d16cd0ff0335167-CC277.png,We’re making more too!!
1293779310657671220,Default,,2024-10-10T03:37:04.918+00:00,girasol.glory,Jess L (SATX) [Mod],936359743457464391,assets\a52faf4ea91846a78ac440fcdc876153-E0FED.png,WOW!! That's great!
1293779405222445106,Default,,2024-10-10T03:37:27.464+00:00,tiredforever,Alex McLand (TX) - MOD,225877156247502850,assets\a398fe8179da009dde0ef2cbe8b85b49-F1629.png,"i love the ones in the middle, i always liked the transparent beads more"
1293779694910701588,Default,,2024-10-10T03:38:36.531+00:00,jayrio76,Jay E  (TX)  OE Mod,782870341445353522,assets\41ef520387924aa4413513eda28784df-34D82.png,<@525338106724089866> and <@144212073000206336> - Here is where the I Voted Photos and other cool stuff are.
1293972008379486213,Reply,1293777270539944029,2024-10-10T16:22:47.635+00:00,genericusername8797,S [MT/NM],465305140786888705,assets\a187dcd150192cbe1a6b1b9cb0ffe55c-6C116.png,"Ooh, I love all the languages around it!"
1293975714588262524,Default,,2024-10-10T16:37:31.264+00:00,danielledravenstadt,Danielle Dravenstadt,1229872515531280384,assets\76cf951b8e67e24cfdb9c9a41a9020e3-1474E.png,I’m pretty shy. Wearing these and my old school Kamala tee help me start conversations with people. Wrapping up some texting. Have a wonderful day!
1294014122278654044,Reply,1293374809790746695,2024-10-10T19:10:08.371+00:00,catherinecybele,Catherine (MA),1291079307027808368,assets\c990446594f398abb71c21de562c4ecf-49EF6.png,Thank you so much for your post! I posted your photo and the location of the billboard on my Threads account 4 hours ago. It already has over 5k views and 1.6k likes. People are so moved and encouraged! 💙🔵🙏
1294021517042257941,Default,,2024-10-10T19:39:31.42+00:00,balorblackstone,Scott M [CO],398530872942526465,assets\cc4a395f58f849425a69e307f6a85073-77E18.png,Yay got my yard sign!
1294095803052331019,Default,,2024-10-11T00:34:42.585+00:00,nigelchristopher4504,Nigel Christopher,770464820810088449,assets\1-B2132.png,<@947574690287861792>
1294096580194074644,Default,,2024-10-11T00:37:47.87+00:00,nigelchristopher4504,Nigel Christopher,770464820810088449,assets\1-B2132.png,@smichael672 yes Thai Luna is excellent 👌
1294097290646126694,Default,,2024-10-11T00:40:37.255+00:00,ektashahmd,Ekta Shah FL/DC,1043888960734253126,assets\f3f0d4decbb82746ca59852d88d13889-6BEFE.png,
1294097396372082768,Default,,2024-10-11T00:41:02.462+00:00,ektashahmd,Ekta Shah FL/DC,1043888960734253126,assets\f3f0d4decbb82746ca59852d88d13889-6BEFE.png,
1294097677801226281,Default,,2024-10-11T00:42:09.56+00:00,ektashahmd,Ekta Shah FL/DC,1043888960734253126,assets\f3f0d4decbb82746ca59852d88d13889-6BEFE.png,
1294097733858230284,Default,,2024-10-11T00:42:22.925+00:00,ektashahmd,Ekta Shah FL/DC,1043888960734253126,assets\f3f0d4decbb82746ca59852d88d13889-6BEFE.png,
1294107804461957121,Reply,1294106787972120626,2024-10-11T01:22:23.944+00:00,starkittynmom,Jen Medeiros [CA] • [Lead Mod],1276944250491113656,assets\a_2aba4b7f19fcab5fe5391fcdb73d735d-D670A.gif,I'm going to delete this post <@1267644056507387915> since you have it posted in multiple channels.
1294204329569550346,Default,,2024-10-11T07:45:57.323+00:00,bibhashbarua,Bibhash Barua,1286749808404467806,assets\f7f2e9361e8a54ce6e72580ac7b967af-B13DF.png,My Harris Walz yard sign stolen last night
1294204908756668419,Default,,2024-10-11T07:48:15.412+00:00,bibhashbarua,Bibhash Barua,1286749808404467806,assets\f7f2e9361e8a54ce6e72580ac7b967af-B13DF.png,
1294206005709770776,Default,,2024-10-11T07:52:36.946+00:00,bibhashbarua,Bibhash Barua,1286749808404467806,assets\f7f2e9361e8a54ce6e72580ac7b967af-B13DF.png,Please report to Naperville Illinois police department. Thank.
1294259740708306986,Reply,1294204908756668419,2024-10-11T11:26:08.368+00:00,opheliawild,Ophelia W • Lead Mod,957714233217409174,assets\8b706a86e5f9b8dcaaa950a7500b77b8-E1341.png,Hi Bibhash. You'll have to report this to your local PD directly yourself. Sorry to hear your sign was stolen.
1294268985059049524,Reply,1294206005709770776,2024-10-11T12:02:52.393+00:00,zia_ideas,Zia_Zia,273218457552814081,assets\2-ADBB4.png,Sorry to hear this also. They are not cheap. Some neighbors here have outdoor infrared trail cameras to look out  over the yard at night.
1294334208579207269,Default,,2024-10-11T16:22:02.892+00:00,starkittynmom,Jen Medeiros [CA] • [Lead Mod],1276944250491113656,assets\a_2aba4b7f19fcab5fe5391fcdb73d735d-D670A.gif,I saw someone earlier in the week who put vaseline and glitter around the edges so that they at least got the satisfaction of knowing they sent a little something extra along with the culprits
1294391406852313168,Default,,2024-10-11T20:09:20.023+00:00,ellens_16824,Ellen Adams 💛🐝 [NY],1286444095954354197,assets\3ed3a2529bf9d39b4cb570b96e8774fb-F0C93.png,"Banner from 2019, up again! It's two-sided, and this is the view from inside. 💛 🐝"
1294428732810858567,Default,,2024-10-11T22:37:39.225+00:00,glitternailtech,MsSheriLynn,412154541241270272,assets\6dfe2de54ed36b7738b506e1be7b42ec-B1AAA.png,Nail tech here from Illinois! I voted today! 💙💙
