id,type,ref_to,timestamp,author_name,author_nickname,author_id,author_avatar_url,content
1255965820647899308,Default,,2024-06-27T19:19:46.359+00:00,henry_77403,Henry,1245055194585235519,assets\2-ADBB4.png,I believe it should be played during the zoom
1256048179816824902,Reply,1255926325126889522,2024-06-28T00:47:02.315+00:00,shawninarizona,ShawnInArizona,1256040422761828485,assets\0a825a2c360824effdc9572839ac001d-88D87.png,Toolkit link?
1256050061356568597,Default,,2024-06-28T00:54:30.909+00:00,rootsmusic,rootsmusic,791857656897732648,assets\a30e650576a6d42a3c9ee24648f67c90-2AE37.png,June Toolkit at https://democrats.org/wp-content/uploads/2024/06/June-Debate-Toolkit-1.pdf
1256318036198293505,Default,,2024-06-28T18:39:21.09+00:00,kincaid_52964_09494,Kincaid,1256038850980085830,assets\1-B2132.png,"Hi, how do we copy the images in the Supporter content channel?"
1256610403589296169,Reply,1256318036198293505,2024-06-29T14:01:06.908+00:00,demtortilla_60949,demtortilla,1242248892804763712,assets\a_c1a2d0423471e6287ce2d2c69bf8abe5-C5FA2.gif,Hi! This channel is for questions about hosting events. The folks in the <#1250550849998946417> channel should be able to help you out!
1256847848289603624,Default,,2024-06-30T05:44:38.136+00:00,kincaid_52964_09494,Kincaid,1256038850980085830,assets\1-B2132.png,"OK, thanks"
1258534009139368058,Default,,2024-07-04T21:24:50.21+00:00,jessica033389,Jessica Puchala (MD) [OE Lead],869778676986814514,assets\37de34190564f7c9acae5895cc884c8a-6F9C7.png,Hi. I would like to host/organize a group of Dems to walk in a local parade for Biden-Harris just before the election.  Is there a process I should follow? Might the campaign support with stickers or rally signs?
1258777070331367554,Reply,1258534009139368058,2024-07-05T13:30:40.514+00:00,demtortilla_60949,demtortilla,1242248892804763712,assets\a_c1a2d0423471e6287ce2d2c69bf8abe5-C5FA2.gif,I'll make sure the staffer in charge of community events follows up with you!
1266339124424736859,Default,,2024-07-26T10:19:34.706+00:00,bbertucc,Blake Bertuccelli-Booth,487362214466945035,assets\3d4638fc25774eda98139b129e699b04-7686F.png,"I'm hosting an event in New Orleans on August 11. How do I get it listed on the dem event map? The area around NOLA is much in need of events, as the attached map attests. 

Here is our event on Meetup: https://www.meetup.com/1111philo/events/302421831/

And here is our Eventbrite link: https://www.eventbrite.com/o/1111-philosophers-group-88940917613"
1266343318900576307,Reply,1266339124424736859,2024-07-26T10:36:14.747+00:00,rootsmusic,rootsmusic,791857656897732648,assets\a30e650576a6d42a3c9ee24648f67c90-2AE37.png,At https://events.democrats.org/host/
1266358996873252934,Reply,1266343318900576307,2024-07-26T11:38:32.667+00:00,bbertucc,Blake Bertuccelli-Booth,487362214466945035,assets\3d4638fc25774eda98139b129e699b04-7686F.png,Got it. thanks!
1266392038593789982,Default,,2024-07-26T13:49:50.427+00:00,shaunatha,shaunie,359835581456580618,assets\77116e6dbedd1eb2fca968b7b2a74146-0588D.png,<:joobiugly:835651022096957440>
1266518149314908302,Default,,2024-07-26T22:10:57.566+00:00,bbertucc,Blake Bertuccelli-Booth,487362214466945035,assets\3d4638fc25774eda98139b129e699b04-7686F.png,"My event time is 11:11 AM (our group found that angel numbers are much more memborable than traditional times). But the host form only allows time in 15 minute increments. Any idea how to get our ""11:11"" in there?"
1267224916479180902,Default,,2024-07-28T20:59:23.989+00:00,peanutbutter1013,Alexis_Travers,1241168724707512321,assets\d2fb1f58c731d56f5a56d5f1238cb97b-F2379.png,Any advice on voter registration drives? #indianapolis
1267458225373057045,Default,,2024-07-29T12:26:29.164+00:00,bbertucc,Blake Bertuccelli-Booth,487362214466945035,assets\3d4638fc25774eda98139b129e699b04-7686F.png,The cafe where we're hosting our event wants to plaster its windows with Harris signage. How can we get signs?
