id,type,ref_to,timestamp,author_name,author_nickname,author_id,author_avatar_url,content
1277766866315776030,Default,,2024-08-26T23:09:20.69+00:00,jackferreira.246012,Jack Ferreira (KC),1276396030375624789,assets\cd48a61b3416a1c6fe47335cfcfc484e-EE993.png,Do we signup for Call/Data Captain shifts on the main phonebanking link or is there another one for Call/Data Captains?
1277768402810966167,Default,,2024-08-26T23:15:27.019+00:00,lynfarrow,AnnapolisLyn [Call MOD],1273024393932574734,assets\ee1f838c4f1b6fc37ee52bef5abcace5-B2D34.png,"There is a separate link.  Hang tight, I'll get it for you"
1277769457233563680,Default,,2024-08-26T23:19:38.413+00:00,lynfarrow,AnnapolisLyn [Call MOD],1273024393932574734,assets\ee1f838c4f1b6fc37ee52bef5abcace5-B2D34.png,here it is:  https://events.democrats.org/event/661052/
1277770058638032960,Default,,2024-08-26T23:22:01.799+00:00,jackferreira.246012,Jack Ferreira (KC),1276396030375624789,assets\cd48a61b3416a1c6fe47335cfcfc484e-EE993.png,is there one for data captain?
1277770206063759421,Default,,2024-08-26T23:22:36.948+00:00,lynfarrow,AnnapolisLyn [Call MOD],1273024393932574734,assets\ee1f838c4f1b6fc37ee52bef5abcace5-B2D34.png,"yes, sorry"
1277770842377289849,Default,,2024-08-26T23:25:08.657+00:00,lynfarrow,AnnapolisLyn [Call MOD],1273024393932574734,assets\ee1f838c4f1b6fc37ee52bef5abcace5-B2D34.png,"I don't have the data captain link.  Did you do the training, 1:1 and shadow?  They should have sent you a link once you completed that."
1277770869153730602,Default,,2024-08-26T23:25:15.041+00:00,lynfarrow,AnnapolisLyn [Call MOD],1273024393932574734,assets\ee1f838c4f1b6fc37ee52bef5abcace5-B2D34.png,https://events.democrats.org/?q=data%20captains
1277770971847200868,Default,,2024-08-26T23:25:39.525+00:00,jackferreira.246012,Jack Ferreira (KC),1276396030375624789,assets\cd48a61b3416a1c6fe47335cfcfc484e-EE993.png,"Yes, I did the training, did my 1on1, and I have my third shadow shift at 9pm"
1277771110418743307,Default,,2024-08-26T23:26:12.563+00:00,lynfarrow,AnnapolisLyn [Call MOD],1273024393932574734,assets\ee1f838c4f1b6fc37ee52bef5abcace5-B2D34.png,You will get the link after your shadow shift
1277774443573153863,Default,,2024-08-26T23:39:27.249+00:00,jayrio76,Jay E  (TX)  OE Mod,782870341445353522,assets\41ef520387924aa4413513eda28784df-34D82.png,<:blueheart:1252803082849488956> Looking forward to my chat / data training on Aug 31.
