id,type,ref_to,timestamp,author_name,author_nickname,author_id,author_avatar_url,content
1263538272244596848,Default,,2024-07-18T16:49:59.509+00:00,franceshaydock_20619,Frances Haydock (HFP HQ!),1257469301435400238,assets\8286d5b1308e7b3d80a3523e4ec50548-C029D.png,"1. Post your questions about the calls you are making in this section. 

2. Please apply the appropriate tag to your posts so we can sort through and answer them accordingly. 

3. A member of staff or one of our amazing call crew moderators will answer as soon as possible."
1267924148571607100,Default,,2024-07-30T19:17:53.911+00:00,johnkn0360,John Kn,1266197598176415928,assets\bc51deac4501c1fedb315e66abc1cd74-4A00E.png,"I’m trying to find where to meet for Saturday, August 3 Baltimore County canvassing at noon."
1267926576066986086,Reply,1267924148571607100,2024-07-30T19:27:32.671+00:00,trumansleeps,Michael Pelaez | FL,389839010576465936,assets\3a91c3446fca9803ffb1d856364145a2-A8603.png,Hi John hopefully one of the staff can help; the only think I was able to find on Saturday was this : https://events.democrats.org/event/641678/
1267937039136067584,Reply,1267924148571607100,2024-07-30T20:09:07.261+00:00,franceshaydock_20619,Frances Haydock (HFP HQ!),1257469301435400238,assets\8286d5b1308e7b3d80a3523e4ec50548-C029D.png,"I don't have that information, but if you go to the Maryland Democrats website they might have that event listed."
1270128457069756436,Default,,2024-08-05T21:17:02.011+00:00,tenacious_chipmunk_12452,Amy,1266903485719248906,assets\2-ADBB4.png,"Hi Frances! I'm new to the Discord platform, so am hoping this is the right spot for my question. I have completed facilitator training and shadowing on 8/31. I am eager to do the last step and get started. I can Facilitate and/or Chat Captain. I have done it on another campaign. I have flexible time. I spoke (after the shadow experience) and emailed with Malcolm last week. If I can help in any other way, let me know. I have signed up to phonebank 4-6p ET on 8/7. If you answer here, I hope I can find it again! LOL🤣"
1270130857868263486,Reply,1270128457069756436,2024-08-05T21:26:34.406+00:00,franceshaydock_20619,Frances Haydock (HFP HQ!),1257469301435400238,assets\8286d5b1308e7b3d80a3523e4ec50548-C029D.png,"Hi--Malcolm should be following up with you for next steps, which I believe is to do a co-facilitation shift? Please keep an eye out for his email, and if you dont hear from him, let me know and I will talk to him."
1270371207534874624,Default,,2024-08-06T13:21:38.232+00:00,tenacious_chipmunk_12452,Amy,1266903485719248906,assets\2-ADBB4.png,"Great!  Yes, co-facilitation is next. Thanks for the quick response! I know that everyone is superbusy. 😊"
1277011011286728829,Default,,2024-08-24T21:05:50.808+00:00,abigailpritchard,Abigail P.(Data Captain),1174129892019941411,assets\6f513b8af09f9314bc65d892f3473a23-9D45C.png,<@1257469301435400238> Could we get this message pinned at the top of the channel for easier communication?
1277025254799048714,Default,,2024-08-24T22:02:26.726+00:00,franceshaydock_20619,Frances Haydock (HFP HQ!),1257469301435400238,assets\8286d5b1308e7b3d80a3523e4ec50548-C029D.png,which message?
1277075758954582090,Default,,2024-08-25T01:23:07.855+00:00,abigailpritchard,Abigail P.(Data Captain),1174129892019941411,assets\6f513b8af09f9314bc65d892f3473a23-9D45C.png,Just the general post of how to use this channel.
1277283674420674612,ChannelPinnedMessage,1263538272244596848,2024-08-25T15:09:18.765+00:00,franceshaydock_20619,Frances Haydock (HFP HQ!),1257469301435400238,assets\8286d5b1308e7b3d80a3523e4ec50548-C029D.png,Pinned a message.
1277283689914699817,Default,,2024-08-25T15:09:22.459+00:00,franceshaydock_20619,Frances Haydock (HFP HQ!),1257469301435400238,assets\8286d5b1308e7b3d80a3523e4ec50548-C029D.png,done
1277381964998901921,Default,,2024-08-25T21:39:53.065+00:00,kbeachberger,Ken,1277365118493130825,assets\8569adcbd36c70a7578c017bf5604ea5-45A80.png,Hi. I just finished a calling session and one recipient wants to be texted with the volunteer information to get involved. How do we get that done?
1277382209153536030,Default,,2024-08-25T21:40:51.276+00:00,kbeachberger,Ken,1277365118493130825,assets\8569adcbd36c70a7578c017bf5604ea5-45A80.png,And another person seemed like they needed information on where to register to vote. Do we have a link for that?
1277425655369171089,Default,,2024-08-26T00:33:29.661+00:00,nolfka,Kimberly,1276556773351887019,assets\e376c06c1b2ab2ede01d35055dde4d53-A71ED.png,https://iwillvote.com/
1277426568594985082,Default,,2024-08-26T00:37:07.391+00:00,nolfka,Kimberly,1276556773351887019,assets\e376c06c1b2ab2ede01d35055dde4d53-A71ED.png,https://www.pavoterservices.pa.gov/Pages/VoterRegistrationApplication.aspx
1277654651008974910,Reply,1277381964998901921,2024-08-26T15:43:26.476+00:00,andrearogersvalen,"AndreaV, KY Call Mod",965992907981074443,assets\72d82e393a66b89996d99840a07990ec-C9EFF.png,Not sure if you still needed help... You can send them to here: https://democrats.org/take-action/
