id,type,ref_to,timestamp,author_name,author_nickname,author_id,author_avatar_url,content
1294094094632615977,Default,,2024-10-11T00:27:55.266+00:00,annalyra,Anna K,247834718563860482,assets\1a67e979f460349ff4f1e6987db7b546-A9CA6.png,"I normally get my dialer links from the office’s head peeps for when I run my phone bank shifts, but it seems that they’re… occupied at the moment. Where do I look for dialer links?"
1294094533927239771,Default,,2024-10-11T00:29:40.002+00:00,starkittynmom,Jen Medeiros [CA] • [Lead Mod],1276944250491113656,assets\a_2aba4b7f19fcab5fe5391fcdb73d735d-D670A.gif,<@247834718563860482> - do you have the link to the DVC Hub?
1294094694405640254,Default,,2024-10-11T00:30:18.263+00:00,annalyra,Anna K,247834718563860482,assets\1a67e979f460349ff4f1e6987db7b546-A9CA6.png,"I don’t think so. I did just get a link from the chief organizer here, though"
1294094858570436692,Default,,2024-10-11T00:30:57.403+00:00,annalyra,Anna K,247834718563860482,assets\1a67e979f460349ff4f1e6987db7b546-A9CA6.png,also a quick secondary question: what’s an AEVL call?
1294112608458117231,Reply,1294094533927239771,2024-10-11T01:41:29.306+00:00,annalyra,Anna K,247834718563860482,assets\1a67e979f460349ff4f1e6987db7b546-A9CA6.png,The link we got has expired; any chance I can get a new one?
1294113545746780200,Reply,1294112608458117231,2024-10-11T01:45:12.773+00:00,hollymateluber,Holly Mate-Luber [Call Mod],1267643778043482122,assets\d1341d3c05d207da49a6fa548b4c1086-4BE71.png,Looking into this for you!
1294115411922780262,Reply,1294112608458117231,2024-10-11T01:52:37.704+00:00,jean9_28218_79932,Jeannine M • Lead Mod,1266879741785538682,assets\54ff5e8dfab835d878a961f9f7b7d161-6C0EE.png,"Hello! Yes! Let me grab the sheet for you. Just a minute, please 🙂"
1294115692726980720,Default,,2024-10-11T01:53:44.653+00:00,jean9_28218_79932,Jeannine M • Lead Mod,1266879741785538682,assets\54ff5e8dfab835d878a961f9f7b7d161-6C0EE.png,<@247834718563860482> Here you go! Here's the (link taken out while I check on sharing in a public channel). Just click on click to call and that will be the live list
1294115824843624528,Default,,2024-10-11T01:54:16.152+00:00,annalyra,Anna K,247834718563860482,assets\1a67e979f460349ff4f1e6987db7b546-A9CA6.png,Thank you! I’ll get them on it right away
1294116238934540321,Default,,2024-10-11T01:55:54.879+00:00,jean9_28218_79932,Jeannine M • Lead Mod,1266879741785538682,assets\54ff5e8dfab835d878a961f9f7b7d161-6C0EE.png,"Thank you so much, Anna!"
