id,type,ref_to,timestamp,author_name,author_nickname,author_id,author_avatar_url,content
1296622427530592286,Default,,2024-10-17T23:54:36.803+00:00,douglasdenver,Douglas Olivas [NM/CO],912225955697786890,assets\467cc8b79a48629653d32198318749df-5AEAC.png,When we get an answering machine are we to be leaving messages?
1296622491657310208,Default,,2024-10-17T23:54:52.092+00:00,denise.ward,Denise Ward [CO] [Call MOD],1277408157664284795,assets\43ec2b9e8ddf26e3072b9feb4516a5fd-3D55A.png,no messages!
1296622970617466942,Default,,2024-10-17T23:56:46.285+00:00,douglasdenver,Douglas Olivas [NM/CO],912225955697786890,assets\467cc8b79a48629653d32198318749df-5AEAC.png,"how about staying on script? is that ""best practice"" with the best way to reach them? or is it up to us ...if we can get the questions answered and move along the script process"
1296623260728950886,Reply,1296622970617466942,2024-10-17T23:57:55.453+00:00,denise.ward,Denise Ward [CO] [Call MOD],1277408157664284795,assets\43ec2b9e8ddf26e3072b9feb4516a5fd-3D55A.png,Make it your own as long as you answer the survey questions and hit the bolded issues (as far as you can take them).  Only thing you must say for legal reasons is you are calling from the Harris - Walz campaign (or the Democrats).
1296623883348348989,Default,,2024-10-18T00:00:23.897+00:00,douglasdenver,Douglas Olivas [NM/CO],912225955697786890,assets\467cc8b79a48629653d32198318749df-5AEAC.png,perfect. I did that on all calls so far. I'll work on a lil intro and get familiar with the script. day one was a lil rough ..but i'm on the phones all day in Healthcare for insurance/medicaid/medicare so if I practice I'll get better.  ..no way to watch our count right? I was going for 50
1296624323171319808,Reply,1296623883348348989,2024-10-18T00:02:08.759+00:00,denise.ward,Denise Ward [CO] [Call MOD],1277408157664284795,assets\43ec2b9e8ddf26e3072b9feb4516a5fd-3D55A.png,a lot of our callers keep a little tick sheet to track.  Sounds like you are off to a great start.  The scripts can be a little much so making it your own is great!
1296624977503850507,Default,,2024-10-18T00:04:44.764+00:00,douglasdenver,Douglas Olivas [NM/CO],912225955697786890,assets\467cc8b79a48629653d32198318749df-5AEAC.png,i'll do my best! ok thanks for the info! i'm looking at the preview script and some good links and numbers ..so I'll make myself a lil cheat sheet and try again tomorrow.
1296625027579514931,Reply,1296623883348348989,2024-10-18T00:04:56.703+00:00,kyaizen,Jared R [CO] • Lead Mod,112080668296564736,assets\a_de0e3d4a3f9b486ad3ad6df0d72323da-D0252.gif,Just wanted to pop in and say <a:ThanksRainbow:1278765693579431967> for being here and helping out! You rock!
1296625210937835593,Default,,2024-10-18T00:05:40.419+00:00,douglasdenver,Douglas Olivas [NM/CO],912225955697786890,assets\467cc8b79a48629653d32198318749df-5AEAC.png,noo thank YOU GUYS for making this happen. I appreciate it.
1296625388793106452,Default,,2024-10-18T00:06:22.823+00:00,denise.ward,Denise Ward [CO] [Call MOD],1277408157664284795,assets\43ec2b9e8ddf26e3072b9feb4516a5fd-3D55A.png,I just noticed your profile name.  Are you from Denver?
1296625493596045415,Default,,2024-10-18T00:06:47.81+00:00,douglasdenver,Douglas Olivas [NM/CO],912225955697786890,assets\467cc8b79a48629653d32198318749df-5AEAC.png,"i'm from Santa Fe, NM ..but been dwntwn by coors field for like 23yrs"
1296625681379233865,Default,,2024-10-18T00:07:32.581+00:00,douglasdenver,Douglas Olivas [NM/CO],912225955697786890,assets\467cc8b79a48629653d32198318749df-5AEAC.png,does [CO] mean Colorado?
1296625762648064042,Default,,2024-10-18T00:07:51.957+00:00,denise.ward,Denise Ward [CO] [Call MOD],1277408157664284795,assets\43ec2b9e8ddf26e3072b9feb4516a5fd-3D55A.png,I am from Denver.  I thought it was important for me to help from our amazing blue state.  You can drop into the calls team any day 9am-11:30pm ET and we'll get you on the dialer and tell you who we are talking to.
1296625907603214460,Default,,2024-10-18T00:08:26.517+00:00,douglasdenver,Douglas Olivas [NM/CO],912225955697786890,assets\467cc8b79a48629653d32198318749df-5AEAC.png,oh very cool. ok i'll start calling as much as possilbe these last days
1296625929157738588,Reply,1296625681379233865,2024-10-18T00:08:31.656+00:00,kyaizen,Jared R [CO] • Lead Mod,112080668296564736,assets\a_de0e3d4a3f9b486ad3ad6df0d72323da-D0252.gif,Yep!
1296626014109040640,Reply,1296625907603214460,2024-10-18T00:08:51.91+00:00,denise.ward,Denise Ward [CO] [Call MOD],1277408157664284795,assets\43ec2b9e8ddf26e3072b9feb4516a5fd-3D55A.png,19 days to go.  Let's GOOOOO!
1296626972570550314,Default,,2024-10-18T00:12:40.425+00:00,douglasdenver,Douglas Olivas [NM/CO],912225955697786890,assets\467cc8b79a48629653d32198318749df-5AEAC.png,on it!! (...studying tonight but I dove in and gave it a shot! trying to get more w/ me to make some calls. : )
1296639235872391203,Default,,2024-10-18T01:01:24.224+00:00,douglasdenver,Douglas Olivas [NM/CO],912225955697786890,assets\467cc8b79a48629653d32198318749df-5AEAC.png,i speak spanish ...do i just translate what's being asked if I get a spanish speaker? or is there a way to dial that demographic?
1296639434200186910,ChannelNameChange,,2024-10-18T01:02:11.509+00:00,douglasdenver,Douglas Olivas [NM/CO],912225955697786890,assets\467cc8b79a48629653d32198318749df-5AEAC.png,"Changed the channel name: Various Questions ""day 1"""
1296639836337344554,Default,,2024-10-18T01:03:47.386+00:00,denise.ward,Denise Ward [CO] [Call MOD],1277408157664284795,assets\43ec2b9e8ddf26e3072b9feb4516a5fd-3D55A.png,Yes if you speak Spanish you can continue the call and answer the survey responses.  We do have specific Spanish Speaking zoom phone banks too https://events.democrats.org/event/647512/.
1296640161240846407,Default,,2024-10-18T01:05:04.849+00:00,douglasdenver,Douglas Olivas [NM/CO],912225955697786890,assets\467cc8b79a48629653d32198318749df-5AEAC.png,perfect! thank you!!
1296841964926402694,Reply,1296640161240846407,2024-10-18T14:26:58.597+00:00,gail_13473,Gail Levine CA (CALL Mod D.C.),1266903886434799708,assets\9a73536ac815ab8b7516ce92a4c36681-C7CBF.png,We are calling Michigan this morning if you want to join us. 🌊
1296968823894835223,Default,,2024-10-18T22:51:04.132+00:00,douglasdenver,Douglas Olivas [NM/CO],912225955697786890,assets\467cc8b79a48629653d32198318749df-5AEAC.png,I've been on the phone all day for Medicaid/Medicare for our Care Management Program with Anthem BCBS ...buttt now I'm making some calls! : )) ............question:
1296969245732769813,Default,,2024-10-18T22:52:44.706+00:00,douglasdenver,Douglas Olivas [NM/CO],912225955697786890,assets\467cc8b79a48629653d32198318749df-5AEAC.png,I'm getting to: the voter part of the questionere but the call is disconnected. (in this situation ...he said he just got a call like this 5 min ago ...and I was going to help him not receive another call ...but he didn't stay on the line with me long enough to get through the questions ..about voting) ....shall I back out and log it so he won't get another call? ...or what's best?
1296969275655065641,Reply,1296968823894835223,2024-10-18T22:52:51.84+00:00,denise.ward,Denise Ward [CO] [Call MOD],1277408157664284795,assets\43ec2b9e8ddf26e3072b9feb4516a5fd-3D55A.png,"Glad to have you back, we are calling Georgia."
1296969372996341840,Default,,2024-10-18T22:53:15.048+00:00,douglasdenver,Douglas Olivas [NM/CO],912225955697786890,assets\467cc8b79a48629653d32198318749df-5AEAC.png,I'mGA Medicaid out there lol
1296969451379359766,Reply,1296969245732769813,2024-10-18T22:53:33.736+00:00,denise.ward,Denise Ward [CO] [Call MOD],1277408157664284795,assets\43ec2b9e8ddf26e3072b9feb4516a5fd-3D55A.png,hang up is probably the best response for that one
1296969486121046086,Default,,2024-10-18T22:53:42.019+00:00,douglasdenver,Douglas Olivas [NM/CO],912225955697786890,assets\467cc8b79a48629653d32198318749df-5AEAC.png,hang up? ok TY!!
1296969632002871336,Default,,2024-10-18T22:54:16.8+00:00,kyaizen,Jared R [CO] • Lead Mod,112080668296564736,assets\a_de0e3d4a3f9b486ad3ad6df0d72323da-D0252.gif,"Also, FYI, if people say they've gotten multiple calls that same day, let them know that *many* organizations are calling about the election"
1296971103654379583,Default,,2024-10-18T23:00:07.669+00:00,douglasdenver,Douglas Olivas [NM/CO],912225955697786890,assets\467cc8b79a48629653d32198318749df-5AEAC.png,that's true. I will definitely say that
1296971203000533053,Default,,2024-10-18T23:00:31.355+00:00,douglasdenver,Douglas Olivas [NM/CO],912225955697786890,assets\467cc8b79a48629653d32198318749df-5AEAC.png,whew! this is rough! but did 30min so far
1296971549022355486,Reply,1296971203000533053,2024-10-18T23:01:53.853+00:00,denise.ward,Denise Ward [CO] [Call MOD],1277408157664284795,assets\43ec2b9e8ddf26e3072b9feb4516a5fd-3D55A.png,Hop into <#1242256751445934262> Megan Morris just posted her 2 hr stats (she tracks herself)
1296972408959533179,Default,,2024-10-18T23:05:18.878+00:00,douglasdenver,Douglas Olivas [NM/CO],912225955697786890,assets\467cc8b79a48629653d32198318749df-5AEAC.png,"very cool. i'll go find that ..this might be my first time on discord ...so getting familiar.    .................I just got a ""strong supporter"" for Harris ...he disconnected at the voting part of the script.  ....so i ""back out"" and click hang up? or.."
1296972763713503242,Reply,1296972408959533179,2024-10-18T23:06:43.458+00:00,denise.ward,Denise Ward [CO] [Call MOD],1277408157664284795,assets\43ec2b9e8ddf26e3072b9feb4516a5fd-3D55A.png,you can end the survey after the strong harris entry
1296973101371752490,Default,,2024-10-18T23:08:03.962+00:00,douglasdenver,Douglas Olivas [NM/CO],912225955697786890,assets\467cc8b79a48629653d32198318749df-5AEAC.png,perfect! ok i'll do it like that ...that makes more sense now
1296974568942075986,Reply,1296972408959533179,2024-10-18T23:13:53.858+00:00,denise.ward,Denise Ward [CO] [Call MOD],1277408157664284795,assets\43ec2b9e8ddf26e3072b9feb4516a5fd-3D55A.png,its gets a little chatty over there sometimes but its inspiring to see who else is on the dialer with you.
1296975031104180226,Default,,2024-10-18T23:15:44.046+00:00,mike_99000,Mike,1296970903095087176,assets\4-4551A.png,"Are the numbers being called cell phones, land lines, or some of both?"
1296975113782169673,Reply,1296975031104180226,2024-10-18T23:16:03.758+00:00,denise.ward,Denise Ward [CO] [Call MOD],1277408157664284795,assets\43ec2b9e8ddf26e3072b9feb4516a5fd-3D55A.png,you will reach both
1296975294883827815,Default,,2024-10-18T23:16:46.936+00:00,mike_99000,Mike,1296970903095087176,assets\4-4551A.png,Is the intent to randomly contact voters regardless of any intel on their politics?
1296975490258567220,Default,,2024-10-18T23:17:33.517+00:00,mike_99000,Mike,1296970903095087176,assets\4-4551A.png,Asking because canvasers in my neoghborhood already know my voter registration and they avoid registered Rs.
1296975847546294272,Reply,1296975294883827815,2024-10-18T23:18:58.701+00:00,denise.ward,Denise Ward [CO] [Call MOD],1277408157664284795,assets\43ec2b9e8ddf26e3072b9feb4516a5fd-3D55A.png,"no, for the most part we are calling cultivated lists based on voter behavior.  Tonight we are calling into GA to ask voting intentions and ask about their voting plans.  We'll reach all parties though."
1296976104464056470,Default,,2024-10-18T23:19:59.955+00:00,mike_99000,Mike,1296970903095087176,assets\4-4551A.png,"OK - cool. Thanks. And one more question; does this work? I mean, does it really make a difference?"
1296976299302195210,Default,,2024-10-18T23:20:46.408+00:00,mike_99000,Mike,1296970903095087176,assets\4-4551A.png,I ask because I've never been called.
1296976704253984870,Reply,1296976104464056470,2024-10-18T23:22:22.956+00:00,denise.ward,Denise Ward [CO] [Call MOD],1277408157664284795,assets\43ec2b9e8ddf26e3072b9feb4516a5fd-3D55A.png,visit the <#1242256751445934262> channel where you can see comments from those currently on our dialer.  <@1283417540244275311> is one of our phone bank facilitators.  Can you tell Mike the stat about voters who speak with phone banks?
1296976875108700160,Default,,2024-10-18T23:23:03.691+00:00,kyaizen,Jared R [CO] • Lead Mod,112080668296564736,assets\a_de0e3d4a3f9b486ad3ad6df0d72323da-D0252.gif,
1296977026237861938,Reply,1296976875108700160,2024-10-18T23:23:39.723+00:00,denise.ward,Denise Ward [CO] [Call MOD],1277408157664284795,assets\43ec2b9e8ddf26e3072b9feb4516a5fd-3D55A.png,thanks <@112080668296564736> I knew someone had it close by!
1296977080839569418,Default,,2024-10-18T23:23:52.741+00:00,mike_99000,Mike,1296970903095087176,assets\4-4551A.png,OK! Thanks - I'll. get started ASAP.
1296977095192481804,Default,,2024-10-18T23:23:56.163+00:00,kyaizen,Jared R [CO] • Lead Mod,112080668296564736,assets\a_de0e3d4a3f9b486ad3ad6df0d72323da-D0252.gif,I was just looking at the new deck and thought I'd share 😄
1296977307176534118,Reply,1296977080839569418,2024-10-18T23:24:46.704+00:00,denise.ward,Denise Ward [CO] [Call MOD],1277408157664284795,assets\43ec2b9e8ddf26e3072b9feb4516a5fd-3D55A.png,Here is the link to our dialer if you'd like to get a preview first https://www.youtube.com/watch?v=5FYlZK0essc
1296979440626176031,Reply,1296974568942075986,2024-10-18T23:33:15.358+00:00,douglasdenver,Douglas Olivas [NM/CO],912225955697786890,assets\467cc8b79a48629653d32198318749df-5AEAC.png,that's what I was lookin' for! it's helpful to see ....what's workin'!  ...day 2 ...getting better.
