id,type,ref_to,timestamp,author_name,author_nickname,author_id,author_avatar_url,content
1300229368672419861,Default,,2024-10-27T22:47:18.585+00:00,robby_03921,Robby,1295566669418336288,assets\4-4551A.png,"I'm scheduled for a 6:30 EDT Confirms Phonebank zoom today, but 15 minutes later, it still says ""Waiting for host to start meeting."" I can make confirm phonebank calls without a zoom meeting if I had the link..."
1300229617881452567,Default,,2024-10-27T22:48:18.001+00:00,epowers7,Emily Powers (CO) [Call MOD],937887742262673429,assets\d91f2745c5a60026d6f81161ae61335f-53ED9.png,Let me look into this for you!
1300229961638219797,Default,,2024-10-27T22:49:39.959+00:00,robby_03921,Robby,1295566669418336288,assets\4-4551A.png,"Thanks, Emily.  Would it help if I shared the Zoom link with you?"
1300230517928493097,Reply,1300229961638219797,2024-10-27T22:51:52.589+00:00,epowers7,Emily Powers (CO) [Call MOD],937887742262673429,assets\d91f2745c5a60026d6f81161ae61335f-53ED9.png,Do you have the mobilize link that you used to sign up?
1300230709641875457,Default,,2024-10-27T22:52:38.297+00:00,robby_03921,Robby,1295566669418336288,assets\4-4551A.png,"I've got the mobilize link sent in the email that says: ""You’re signed up for Confirms Phonebank.

Sunday, Oct 27, 2024
6:30pm - 7:30pm EDT 
Add to Calendar: Google | Yahoo
Join event @ 6:30pm EDT


Contact the organizer


Cancel RSVP



How to join this event

Click here to join the call at 6:30pm EDT on Sunday, Oct 27, 2024.
If you cannot open the link above, please paste https://www.mobilize.us/join/32742172/1:60a2b1933af471f2751c51c3d53ebcfce892dccb1aa3c20caad92dd9219b1cd9/ts/5018821/ into your browser."""
1300231201856159875,Default,,2024-10-27T22:54:35.65+00:00,robby_03921,Robby,1295566669418336288,assets\4-4551A.png,"When I go to the link where I signed up, it gives me the option to sign up for tomorrow."
1300231382077018194,Default,,2024-10-27T22:55:18.618+00:00,epowers7,Emily Powers (CO) [Call MOD],937887742262673429,assets\d91f2745c5a60026d6f81161ae61335f-53ED9.png,Thank you! Sorry I am still looking into this for you. It may be because the meeting before ran late. I am so sorry for the delay.
1300231536205103165,Default,,2024-10-27T22:55:55.365+00:00,robby_03921,Robby,1295566669418336288,assets\4-4551A.png,"If I had the dialer link, I could start making calls right away. Any way to get that without being on the zoom?"
1300231727238742049,Default,,2024-10-27T22:56:40.911+00:00,epowers7,Emily Powers (CO) [Call MOD],937887742262673429,assets\d91f2745c5a60026d6f81161ae61335f-53ED9.png,"Unfortunately, I don't think so."
1300232026246348850,Default,,2024-10-27T22:57:52.2+00:00,robby_03921,Robby,1295566669418336288,assets\4-4551A.png,It's only an hour meeting and we're 27 minutes into it. I wonder if it got cancelled...
1300232325195497502,Default,,2024-10-27T22:59:03.475+00:00,epowers7,Emily Powers (CO) [Call MOD],937887742262673429,assets\d91f2745c5a60026d6f81161ae61335f-53ED9.png,I just checked in with the staff member I believe it is getting started now
1300232716112887809,Reply,1300232026246348850,2024-10-27T23:00:36.677+00:00,epowers7,Emily Powers (CO) [Call MOD],937887742262673429,assets\d91f2745c5a60026d6f81161ae61335f-53ED9.png,He is checking on the status now. Sorry for the confusion and thank you for hanging in there with me!
1300232736619102278,Default,,2024-10-27T23:00:41.566+00:00,sergiog_23,Sergio Godinez [HQ Staff],1284539093941878917,assets\ee799161042b479e8333da3e6691d0e8-CDB84.png,Hi <@1295566669418336288> Can you give me your email!
1300232812028231821,Default,,2024-10-27T23:00:59.545+00:00,robby_03921,Robby,1295566669418336288,assets\4-4551A.png,harris4prez@spotlightmusic.com
1300233468768157707,Default,,2024-10-27T23:03:36.124+00:00,sergiog_23,Sergio Godinez [HQ Staff],1284539093941878917,assets\ee799161042b479e8333da3e6691d0e8-CDB84.png,Ok so looks like the confirms for today was cancelled! So sorry this was not communicated sooner. If you would like you could join our current phonebank and still make calls to swing state voters
1300234021204262933,Default,,2024-10-27T23:05:47.835+00:00,robby_03921,Robby,1295566669418336288,assets\4-4551A.png,"I try, but I fear it's literally bad for my health."
1300235117809238067,Default,,2024-10-27T23:10:09.286+00:00,robby_03921,Robby,1295566669418336288,assets\4-4551A.png,Thanks for your help.
1300238545138487306,Reply,1300235117809238067,2024-10-27T23:23:46.425+00:00,epowers7,Emily Powers (CO) [Call MOD],937887742262673429,assets\d91f2745c5a60026d6f81161ae61335f-53ED9.png,Sorry it was cancelled Robby. Thank you for being here!
