id,type,ref_to,timestamp,author_name,author_nickname,author_id,author_avatar_url,content
1277312244442595433,Default,,2024-08-25T17:02:50.389+00:00,kathyyoung0574,Kathy Young,1276936638525739042,assets\8569adcbd36c70a7578c017bf5604ea5-75171.png,"this is Kathy’s daughter, I’m trying to help her get logged in to the zoom room. Email links are not getting her where she needs to go, and I haven’t a clue about any of it. Is anyone able to point us in the right direction of how to get into the Zoom room? Or possibly provide a meeting id and passcode? I have no doubt we are missing some key info…<@&1266883962727432304>"
1277313352946679869,Default,,2024-08-25T17:07:14.677+00:00,hungry.hiker,Laura M (CO) • Call Mod,756314488113987654,assets\4aa5ed3c3ad66beef8f10bd0d3979dae-08843.png,Were you able to get in? Sometimes it takes a few minutes for the hosts to be ready to start.
1277313838567657492,Default,,2024-08-25T17:09:10.458+00:00,kathyyoung0574,Kathy Young,1276936638525739042,assets\8569adcbd36c70a7578c017bf5604ea5-75171.png,"No… this is only screen we come to.  It is the link from the email  for the current shift….

And thanks for your reply…🦋"
1277314372703883388,Default,,2024-08-25T17:11:17.806+00:00,hungry.hiker,Laura M (CO) • Call Mod,756314488113987654,assets\4aa5ed3c3ad66beef8f10bd0d3979dae-08843.png,"That sounds frustrating. As a fellow volunteer, I'm not sure how to help."
1277314750220337333,Default,,2024-08-25T17:12:47.813+00:00,abigailpritchard,Abigail P.(Data Captain),1174129892019941411,assets\6f513b8af09f9314bc65d892f3473a23-9D45C.png,<@1206655433905930251>
1277314824098807899,Default,,2024-08-25T17:13:05.427+00:00,kathyyoung0574,Kathy Young,1276936638525739042,assets\8569adcbd36c70a7578c017bf5604ea5-75171.png,Well Ty I appreciate your reply. I’ve posted my issue in another thread and they told me to post here with the tag <@&1266883962727432304>
1277315023995277353,Default,,2024-08-25T17:13:53.086+00:00,growth,Mlep [TX] • Lead Mod,276010165549924353,assets\8db27bf35eb7f0b046b8bf1514edce01-02FA5.png,"Hi!  I'm hoping someone here will be able to help in this thread.  I don't know the solution, myself.  I will keep asking around."
1277315521213370580,Default,,2024-08-25T17:15:51.632+00:00,kathyyoung0574,Kathy Young,1276936638525739042,assets\8569adcbd36c70a7578c017bf5604ea5-75171.png,"no worries, we appreciate the help."
1277316331905089618,Default,,2024-08-25T17:19:04.916+00:00,abigailpritchard,Abigail P.(Data Captain),1174129892019941411,assets\6f513b8af09f9314bc65d892f3473a23-9D45C.png,<@1273024393932574734>
1277330732062081087,Default,,2024-08-25T18:16:18.181+00:00,kathyyoung0574,Kathy Young,1276936638525739042,assets\8569adcbd36c70a7578c017bf5604ea5-75171.png,"I saw in slack that weekday call hours are 1-9cdt and today’s  hours are from 1 to 5 cdt. My mom has shifts she signed up for that our outside of the times listed. And while she does make calls before 1 pm on weekdays, she was not able to get into a Zoom room until 1pm today. I’m questioning the validity of the information on Slack. Could someone please set me straight. Many thanks for the help.🐢"
1277337970684461178,Default,,2024-08-25T18:45:04.003+00:00,sdgc_76906,Erica Ramos [CA] [Call Mod],1206655433905930251,assets\d89cc8ea1b8dc7f778a48cfb80348315-7B1A6.png,Hi Kathy's daughter! Call hours and hours for training may vary. This list has all of the training sessions that are available. https://events.democrats.org/event/664004/
1277338183616692417,Default,,2024-08-25T18:45:54.77+00:00,sdgc_76906,Erica Ramos [CA] [Call Mod],1206655433905930251,assets\d89cc8ea1b8dc7f778a48cfb80348315-7B1A6.png,"Today's options are:

Sun, Aug 25, 4:00pm–6:00pm EDT
Sun, Aug 25, 6:00pm–8:00pm EDT
Sun, Aug 25, 9:00pm–11:00pm EDT

I'll be on the 6 pm if you all need any support! 🙂"
1277338452291223592,Default,,2024-08-25T18:46:58.827+00:00,abigailpritchard,Abigail P.(Data Captain),1174129892019941411,assets\6f513b8af09f9314bc65d892f3473a23-9D45C.png,"I’ll be on at 4pm so if you’re struggling, just let me know."
1277339669159481416,Reply,1277316331905089618,2024-08-25T18:51:48.951+00:00,lynfarrow,AnnapolisLyn [Call MOD],1273024393932574734,assets\ee1f838c4f1b6fc37ee52bef5abcace5-B2D34.png,???
1277341441642729472,Default,,2024-08-25T18:58:51.544+00:00,abigailpritchard,Abigail P.(Data Captain),1174129892019941411,assets\6f513b8af09f9314bc65d892f3473a23-9D45C.png,"All cleared up, they were just looking for help."
1277429597155098634,Default,,2024-08-26T00:49:09.456+00:00,tomjohng,TomJohnG,1146172409574064199,assets\06fb66c89342c139e1270c9ee93bd880-5A62B.png,Hi I am trying to sign into the 9-11pm zoom meeting and I am having trouble logging in
1277431504082964573,Reply,1277429597155098634,2024-08-26T00:56:44.103+00:00,sdgc_76906,Erica Ramos [CA] [Call Mod],1206655433905930251,assets\d89cc8ea1b8dc7f778a48cfb80348315-7B1A6.png,Hi Tom! Are you trying to join from an invite/email link? Waht is the message when you click on it?
1277432398115766342,Default,,2024-08-26T01:00:17.257+00:00,tomjohng,TomJohnG,1146172409574064199,assets\06fb66c89342c139e1270c9ee93bd880-5A62B.png,Email and I received a text message link
1277432527241478254,Default,,2024-08-26T01:00:48.043+00:00,sdgc_76906,Erica Ramos [CA] [Call Mod],1206655433905930251,assets\d89cc8ea1b8dc7f778a48cfb80348315-7B1A6.png,What is the message that you get when you click on the link?
1277655800097017858,Reply,1277432398115766342,2024-08-26T15:48:00.44+00:00,andrearogersvalen,"AndreaV, KY Call Mod",965992907981074443,assets\72d82e393a66b89996d99840a07990ec-C9EFF.png,"Hi Tom -- Since that session is now complete, please ask again if you have any trouble joining future sessions."
