id,type,ref_to,timestamp,author_name,author_nickname,author_id,author_avatar_url,content
1279869546735603743,21,1279869122385281136,2024-09-01T18:24:38.768+00:00,legendary_dragon_91983,Yara - Call Mod,951370826102472715,assets\480d1c5701c498f041da79e30a39cb69-A9F40.png,
1279869548253675521,Default,,2024-09-01T18:24:39.13+00:00,legendary_dragon_91983,Yara - Call Mod,951370826102472715,assets\480d1c5701c498f041da79e30a39cb69-A9F40.png,We can certainly try :). Please hang on a bit longer if you can.
1279869588926103573,Default,,2024-09-01T18:24:48.827+00:00,j100000,Jimmy Blackmon,742484998267076708,assets\3-FB033.png,Hangin' on! Thanks!
1279871255398453357,Default,,2024-09-01T18:31:26.145+00:00,j100000,Jimmy Blackmon,742484998267076708,assets\3-FB033.png,"Got let in, but only as the data captain training was starting."
1279871522776809604,Default,,2024-09-01T18:32:29.893+00:00,j100000,Jimmy Blackmon,742484998267076708,assets\3-FB033.png,"<@951370826102472715> would it be possible to be sent the slideshow/next steps info from the chat captain training, so I don't have to wait to do it again after missing the last bit?"
1279872025594433618,Default,,2024-09-01T18:34:29.774+00:00,legendary_dragon_91983,Yara - Call Mod,951370826102472715,assets\480d1c5701c498f041da79e30a39cb69-A9F40.png,I'm asking for you and seeing if I can get the name of the current facilitator as well.
1279872094863102066,Default,,2024-09-01T18:34:46.289+00:00,j100000,Jimmy Blackmon,742484998267076708,assets\3-FB033.png,"Now that I'm back in, I can tell you the facilitator's name!"
1279872113611771936,Default,,2024-09-01T18:34:50.759+00:00,j100000,Jimmy Blackmon,742484998267076708,assets\3-FB033.png,Sarah Jane Merritt
1279872172877414471,Default,,2024-09-01T18:35:04.889+00:00,j100000,Jimmy Blackmon,742484998267076708,assets\3-FB033.png,I can also ask about the slideshow etc at the end of the training
1279872174177517669,Default,,2024-09-01T18:35:05.199+00:00,legendary_dragon_91983,Yara - Call Mod,951370826102472715,assets\480d1c5701c498f041da79e30a39cb69-A9F40.png,"Haha. Technology, right 😂"
1279872199892799592,Default,,2024-09-01T18:35:11.33+00:00,j100000,Jimmy Blackmon,742484998267076708,assets\3-FB033.png,she's just mid-presentation etc
1279872241932435468,Default,,2024-09-01T18:35:21.353+00:00,j100000,Jimmy Blackmon,742484998267076708,assets\3-FB033.png,So thought it might be easier to get it sorted via slack
1279872251998633995,Default,,2024-09-01T18:35:23.753+00:00,j100000,Jimmy Blackmon,742484998267076708,assets\3-FB033.png,"Discord, that is"
1279872949436026882,Default,,2024-09-01T18:38:10.035+00:00,legendary_dragon_91983,Yara - Call Mod,951370826102472715,assets\480d1c5701c498f041da79e30a39cb69-A9F40.png,"Try mentioning what happened to you on their chat so they can keep at eye out for you in case it happens again. I'll also keep this thread open, so we can stay in touch."
1279880897713410089,Default,,2024-09-01T19:09:45.052+00:00,j100000,Jimmy Blackmon,742484998267076708,assets\3-FB033.png,Think it all got worked out. Thanks!
1279881710766657610,Default,,2024-09-01T19:12:58.899+00:00,legendary_dragon_91983,Yara - Call Mod,951370826102472715,assets\480d1c5701c498f041da79e30a39cb69-A9F40.png,That's wonderful! Enjoy the rest of your Sunday.
