id,type,ref_to,timestamp,author_name,author_nickname,author_id,author_avatar_url,content
1271588071233556501,21,1271587763124174879,2024-08-09T21:57:01.146+00:00,jjoannid,Jack Joannides KC text admin,477560366432256000,assets\791c521e62160be1f3df04992f6e5470-36A38.png,
1271588072349241354,Default,,2024-08-09T21:57:01.412+00:00,jjoannid,Jack Joannides KC text admin,477560366432256000,assets\791c521e62160be1f3df04992f6e5470-36A38.png,Did you take a training?
1271588159842549830,Default,,2024-08-09T21:57:22.272+00:00,jjoannid,Jack Joannides KC text admin,477560366432256000,assets\791c521e62160be1f3df04992f6e5470-36A38.png,And please update your diaplay name.
1271588220483797063,Default,,2024-08-09T21:57:36.73+00:00,brad0741,Bradley Wiederspan (NJ),1173375926839549962,assets\11161c9a4c03388e4338da74c9cfe691-33131.png,"No.  How would I start the training, and how can I update my display name?"
1271588562185228359,Default,,2024-08-09T21:58:58.198+00:00,jjoannid,Jack Joannides KC text admin,477560366432256000,assets\791c521e62160be1f3df04992f6e5470-36A38.png,You can sign up here: https://events.democrats.org/event/654680/?referring_vol=6476689&share_context=dashboard-event-details&sharer_role=SharerRole.ORGANIZER
1271588704976113766,Default,,2024-08-09T21:59:32.242+00:00,brad0741,Bradley Wiederspan (NJ),1173375926839549962,assets\11161c9a4c03388e4338da74c9cfe691-33131.png,Thank you
1271588747078668449,Default,,2024-08-09T21:59:42.28+00:00,jjoannid,Jack Joannides KC text admin,477560366432256000,assets\791c521e62160be1f3df04992f6e5470-36A38.png,NP
1271589236587626609,Default,,2024-08-09T22:01:38.988+00:00,brad0741,Bradley Wiederspan (NJ),1173375926839549962,assets\11161c9a4c03388e4338da74c9cfe691-33131.png,I just signed up for tomorrow's text training 🙂
1271589261354864751,Default,,2024-08-09T22:01:44.893+00:00,jjoannid,Jack Joannides KC text admin,477560366432256000,assets\791c521e62160be1f3df04992f6e5470-36A38.png,Great.
1271590254280704063,Default,,2024-08-09T22:05:41.625+00:00,brad0741,Bradley Wiederspan (NJ),1173375926839549962,assets\11161c9a4c03388e4338da74c9cfe691-33131.png,What would you like me to change my display name to for this server?  Just curious 🙂
1271592518357745745,Default,,2024-08-09T22:14:41.423+00:00,jjoannid,Jack Joannides KC text admin,477560366432256000,assets\791c521e62160be1f3df04992f6e5470-36A38.png,To first name last name. Or first name last intial
1271592568966353057,Default,,2024-08-09T22:14:53.489+00:00,jjoannid,Jack Joannides KC text admin,477560366432256000,assets\791c521e62160be1f3df04992f6e5470-36A38.png,That works
1271592956591345766,Default,,2024-08-09T22:16:25.906+00:00,brad0741,Bradley Wiederspan (NJ),1173375926839549962,assets\11161c9a4c03388e4338da74c9cfe691-33131.png,Thanks
1271927291475263531,Default,,2024-08-10T20:24:57.554+00:00,ramnath_82012,Subrahmanyan Ramnath,1269422916261380199,assets\3dcae54c652af0bfd3397abd34b0d6c3-70C34.png,"Have the text channels opened? My dshboard still shows locked.   I have taken the training, submitted the text agreement form and also made sure my display name is first name last name."
1271928198925652122,Reply,1271927291475263531,2024-08-10T20:28:33.907+00:00,jjoannid,Jack Joannides KC text admin,477560366432256000,assets\791c521e62160be1f3df04992f6e5470-36A38.png,Let me send you some guidance.
1271929107310973011,Default,,2024-08-10T20:32:10.483+00:00,ramnath_82012,Subrahmanyan Ramnath,1269422916261380199,assets\3dcae54c652af0bfd3397abd34b0d6c3-70C34.png,thanks
