id,type,ref_to,timestamp,author_name,author_nickname,author_id,author_avatar_url,content
1281270448432091146,21,1281270011821953185,2024-09-05T15:11:19.76+00:00,mlvanburen,Michele Van Buren CA,1267547424814272626,assets\2c19bb0700746090ef08c5944a22c96d-D2162.png,
1281270450294624276,Default,,2024-09-05T15:11:20.204+00:00,mlvanburen,Michele Van Buren CA,1267547424814272626,assets\2c19bb0700746090ef08c5944a22c96d-D2162.png,"It has all of the markings of an official campaign email. References ActBlue to donations, correct logo, etc."
1281270554787184712,Default,,2024-09-05T15:11:45.117+00:00,shesepuede,Tai (PA) [Mod/Kamala's Captain],957309531308822639,assets\455d163d4abd434dfbbea9e687c97e27-74EF4.png,Right.
1281270588274512044,Default,,2024-09-05T15:11:53.101+00:00,shesepuede,Tai (PA) [Mod/Kamala's Captain],957309531308822639,assets\455d163d4abd434dfbbea9e687c97e27-74EF4.png,But the message was the suspicious part.
1281270620247818384,Default,,2024-09-05T15:12:00.724+00:00,shesepuede,Tai (PA) [Mod/Kamala's Captain],957309531308822639,assets\455d163d4abd434dfbbea9e687c97e27-74EF4.png,Totally agreed. Glad you flagged!
1281270644469796865,Default,,2024-09-05T15:12:06.499+00:00,shesepuede,Tai (PA) [Mod/Kamala's Captain],957309531308822639,assets\455d163d4abd434dfbbea9e687c97e27-74EF4.png,I was like... what?!
1281270672047214656,Default,,2024-09-05T15:12:13.074+00:00,shesepuede,Tai (PA) [Mod/Kamala's Captain],957309531308822639,assets\455d163d4abd434dfbbea9e687c97e27-74EF4.png,On it!
1281270710660108369,Default,,2024-09-05T15:12:22.28+00:00,shesepuede,Tai (PA) [Mod/Kamala's Captain],957309531308822639,assets\455d163d4abd434dfbbea9e687c97e27-74EF4.png,Since I was wanting an answer too!
1281273932607131748,Default,,2024-09-05T15:25:10.452+00:00,shesepuede,Tai (PA) [Mod/Kamala's Captain],957309531308822639,assets\455d163d4abd434dfbbea9e687c97e27-74EF4.png,Staff is on it <@1267547424814272626>!
1281273972574654566,Default,,2024-09-05T15:25:19.981+00:00,shesepuede,Tai (PA) [Mod/Kamala's Captain],957309531308822639,assets\455d163d4abd434dfbbea9e687c97e27-74EF4.png,Thanks again for flagging! I would like answers too.
1281274076496789715,Reply,1281273972574654566,2024-09-05T15:25:44.758+00:00,mlvanburen,Michele Van Buren CA,1267547424814272626,assets\2c19bb0700746090ef08c5944a22c96d-D2162.png,Should I forward the email to someone on Staff?
1281274385969184768,Default,,2024-09-05T15:26:58.542+00:00,shesepuede,Tai (PA) [Mod/Kamala's Captain],957309531308822639,assets\455d163d4abd434dfbbea9e687c97e27-74EF4.png,Nope! But thanks for the offer! If they want it I can circle back!
1281281273545101312,Default,,2024-09-05T15:54:20.668+00:00,.pizzamonster555,Jamie Joeyen-Waldorf (New York),463218697499181056,assets\8ba3564717ef3771da8c004ea12ceffb-0FC5F.png,Following for updates as I absolutely did everything the email said without questioning it 😂
1281281521742778408,Default,,2024-09-05T15:55:19.843+00:00,shesepuede,Tai (PA) [Mod/Kamala's Captain],957309531308822639,assets\455d163d4abd434dfbbea9e687c97e27-74EF4.png,Still looking into it at hq
1281281587631231018,Default,,2024-09-05T15:55:35.552+00:00,shesepuede,Tai (PA) [Mod/Kamala's Captain],957309531308822639,assets\455d163d4abd434dfbbea9e687c97e27-74EF4.png,will let you know if we have any
1281283649114869873,Reply,1281274385969184768,2024-09-05T16:03:47.048+00:00,shesepuede,Tai (PA) [Mod/Kamala's Captain],957309531308822639,assets\455d163d4abd434dfbbea9e687c97e27-74EF4.png,Pretty sure HQ has the emails 🙂
1281284466366484533,Reply,1281281273545101312,2024-09-05T16:07:01.896+00:00,shesepuede,Tai (PA) [Mod/Kamala's Captain],957309531308822639,assets\455d163d4abd434dfbbea9e687c97e27-74EF4.png,Yeah seemed legit but some of the wording made it suspicious
