id,type,ref_to,timestamp,author_name,author_nickname,author_id,author_avatar_url,content
1277419191409967144,Default,,2024-08-26T00:07:48.533+00:00,emilyraccoon,Emily H [CA] • Mod,814957737275949076,assets\8545ea5f7a8cc07362bd066b76a19f97-749B2.png,I just attended the VOTE Team Post-Convention Info Session and they mentioned a need for Discord mods. I have experience as a moderator and would be interested in helping out!
1277428818469978182,Default,,2024-08-26T00:46:03.803+00:00,carb.on,Carolyn B [CA] • Lead Mod,568257600228032512,assets\28a90c77b5793d80eb62484a43c66748-D8837.png,Thank you <@814957737275949076> it's great to see you interested. It would be great if you could show us some engagement in https://discord.com/channels/1242249109298221066/1242249109298221069 so we can get familiar with your style.
1277464621682393119,Default,,2024-08-26T03:08:19.954+00:00,jayrio76,Jay E  (TX)  OE Mod,782870341445353522,assets\41ef520387924aa4413513eda28784df-34D82.png,"Thanks, I have the same interest. 🙂"
1277478620121661481,Default,,2024-08-26T04:03:57.442+00:00,carb.on,Carolyn B [CA] • Lead Mod,568257600228032512,assets\28a90c77b5793d80eb62484a43c66748-D8837.png,Thank you <@782870341445353522>  it's great to see you interested. It would be great if you could show us some engagement in https://discord.com/channels/1242249109298221066/1242249109298221069 so we can get familiar with your style.
1277655253239468196,Default,,2024-08-26T15:45:50.059+00:00,asroberge,ASRob,829022616449843221,assets\2bd05980bef58ef188dc7428b69883f9-718D2.png,Interested too! I will engage in general conversation so you can get a sense of my style! Ty! I use discord for my bicycle club.
1277666876457091103,Reply,1277478620121661481,2024-08-26T16:32:01.25+00:00,jayrio76,Jay E  (TX)  OE Mod,782870341445353522,assets\41ef520387924aa4413513eda28784df-34D82.png,"I have been engaging in channels, but not that one, so I will add it to favorites.  Thank you."
1277692265195896923,ChannelNameChange,,2024-08-26T18:12:54.397+00:00,carb.on,Carolyn B [CA] • Lead Mod,568257600228032512,assets\28a90c77b5793d80eb62484a43c66748-D8837.png,Changed the channel name: Apply to be a mod
1277711365339090996,Default,,2024-08-26T19:28:48.226+00:00,franceshaydock_20619,Frances Haydock (HFP HQ!),1257469301435400238,assets\8286d5b1308e7b3d80a3523e4ec50548-C029D.png,HI <@814957737275949076> <@782870341445353522> <@829022616449843221> Just DM'ed you about the first step in the mod onboarding/interview process
1277762350908440708,Default,,2024-08-26T22:51:24.133+00:00,sysadmin21,Sysadmin (Carl) [NY],212556981234302976,assets\b7e14eaba743e3bf87f1a6f49d1d2e1b-8D931.png,I would also be interested if possible!
1277764810875994264,Default,,2024-08-26T23:01:10.635+00:00,imcastin,cas!,788310105635422218,assets\4b24822eb51726ea0a388ddde126cc84-A693A.png,"just joined, but i am interested! 😊"
1277766409174388859,Default,,2024-08-26T23:07:31.699+00:00,carb.on,Carolyn B [CA] • Lead Mod,568257600228032512,assets\28a90c77b5793d80eb62484a43c66748-D8837.png,Thank you <@212556981234302976> and <@788310105635422218>  it's wonderful to see you here. It would be great if you could show us some engagement in ⁠general-conversation so we can get familiar with your style.
1277771206703054979,Reply,1277711365339090996,2024-08-26T23:26:35.519+00:00,jayrio76,Jay E  (TX)  OE Mod,782870341445353522,assets\41ef520387924aa4413513eda28784df-34D82.png,"Thanks, looking forward to the next step. 🙂"
1277774375663435973,Reply,1277766409174388859,2024-08-26T23:39:11.058+00:00,sysadmin21,Sysadmin (Carl) [NY],212556981234302976,assets\b7e14eaba743e3bf87f1a6f49d1d2e1b-8D931.png,Absolutely
