id,type,ref_to,timestamp,author_name,author_nickname,author_id,author_avatar_url,content
1283513148942319767,Default,,2024-09-11T19:43:01.229+00:00,joecarr_91589,Joe Carr,1277407870010527850,assets\241163116aa2adce2aa3914a6e9b55d2-C395B.png,"I have about 50-60 households willing to put up signs in their yard, but practically none of them will spend $20. I also have a sign making company I can use to make bulk quantities, but I would like to use official graphics (18' X 24"") with the recently updated font and that brilliant blue. I can't seem to find a website or person who can provide me with the art file that I can use with the printer.   I am willing to pay about $365 for 50 signs with wire stands to give signs to those voters. All I need is the official graphics. Otherwise, I have to create my own unofficial graphics. Here are low-res photos of official signs, although I'd prefer to use the brighter brilliant blue if possible. Can anybody point me to somebody in the campaign who has the art files for these signs?"
1283515909012590704,Default,,2024-09-11T19:53:59.281+00:00,carb.on,Carolyn B [CA] • Lead Mod,568257600228032512,assets\28a90c77b5793d80eb62484a43c66748-D8837.png,"Hi <@1277407870010527850> this is very generous of you! You might try going to the Reach library and searching ""sign"" it will give you a lot of sign images that were made for social media use. One of those (might need cropping) but could be better than a low res photo."
1283516232863191133,Reply,1283515909012590704,2024-09-11T19:55:16.493+00:00,joecarr_91589,Joe Carr,1277407870010527850,assets\241163116aa2adce2aa3914a6e9b55d2-C395B.png,Good idea. Thanks.
1283516485402099816,Default,,2024-09-11T19:56:16.703+00:00,carb.on,Carolyn B [CA] • Lead Mod,568257600228032512,assets\28a90c77b5793d80eb62484a43c66748-D8837.png,"this is screenshot, you should be able to download the actual file from Reach."
1283517509428969595,Default,,2024-09-11T20:00:20.85+00:00,joecarr_91589,Joe Carr,1277407870010527850,assets\241163116aa2adce2aa3914a6e9b55d2-C395B.png,It is the same low-res photo that I already pulled from Kamala's main website. It seems that somebody in the campaign would know ehere to get the orginal art file.
1283525370401787916,Default,,2024-09-11T20:31:35.052+00:00,carb.on,Carolyn B [CA] • Lead Mod,568257600228032512,assets\28a90c77b5793d80eb62484a43c66748-D8837.png,"I think the problem is, the campaign legally needs to pay for the printing of official signs and also receive funds from sale of official signs. So they aren't going to be supportive of you getting the signs printed elsewhere."
1283546048509513748,Reply,1283525370401787916,2024-09-11T21:53:45.097+00:00,joecarr_91589,Joe Carr,1277407870010527850,assets\241163116aa2adce2aa3914a6e9b55d2-C395B.png,"Carolyn, that's very interesting, but that doesn't seem right. As a non-employee (I am a volunteer), I am spending my time and money (by working fewer hours at my job) so that I can spread messages, memes, graphics and articles across my 15+ social media groups as part of the online engagement team. So how is that different from me paying for my own physical signs to give to voters who are willing to put the signs in their yards? In fact, isn't it my First Amendment right to use my own resources (time and money) to make signs or my own voice to promote anybody or anything I want? No campaign money is involved; just my money and time. Is there any kind of org chart for the entire campaign organization so I can find a legal dept person to make sure I am not violating any campaign laws by making my own unofficial signs (with a note saying something like  ""Privately funded by Joe Carr, not provided by the Harris Walz campaign""). Also, if there is a campaign org chart, is there a group that deals with the production and sale of merchandise and signs? Maybe they could help me. Thank you for your replies!!"
1283546848396836921,Default,,2024-09-11T21:56:55.805+00:00,carb.on,Carolyn B [CA] • Lead Mod,568257600228032512,assets\28a90c77b5793d80eb62484a43c66748-D8837.png,"I didn't explain very well. You can definitely make your own non-official signs, please do that. I was trying to explain why you can't get the official image files and print those yourself, also those official image files would have ""paid for by HFP"""
1283547480985833614,Default,,2024-09-11T21:59:26.626+00:00,carb.on,Carolyn B [CA] • Lead Mod,568257600228032512,assets\28a90c77b5793d80eb62484a43c66748-D8837.png,"It is confusing since volunteers are using official campaign materials in their social media, somehow there is a difference between digital media and printed material."
1284178434423128075,Reply,1283546048509513748,2024-09-13T15:46:37.648+00:00,timmyjoe_58970,Tim Carroll  [IL],1276140736240156733,assets\964f8e8a73f2d1906ee9c3763d5a14fe-F1695.png,"Here you go Joe, have your printer adjust the blue to the color you are looking for. Image is 24"" x 18"" (7200 pixels x 5400 pixels, just convert it from 72ppi to 300ppi). From the campaign's web site."
1284188534814801971,Default,,2024-09-13T16:26:45.769+00:00,snowbunslc,Mimi P. [UT] • Lead Moo 🐄,690265089013842114,assets\a_af687ec26437850595306bad054786e9-735FE.gif,"Tim, the images you provided for sign printing clearly state ""Paid for by Harris Victory Fund"". This is official campaign material, and printing them without having paid for them has the potential to be a legal nightmare for all parties involved given copyright law and intellectual property rules. You are free to use unofficial material you find on Reach, or even design your own, but these can not be used as they are. I'm going to go ahead and delete the images. Please let me know if you have any questions."
1284189111229485153,Reply,1284188534814801971,2024-09-13T16:29:03.197+00:00,timmyjoe_58970,Tim Carroll  [IL],1276140736240156733,assets\964f8e8a73f2d1906ee9c3763d5a14fe-F1695.png,"Hi Mimi, these images are free for anyone to download, off the Harris web site. https://store.kamalaharris.com/harris-walz-yard-signs-digital-download/"
1284189505229688853,Reply,1284188534814801971,2024-09-13T16:30:37.134+00:00,timmyjoe_58970,Tim Carroll  [IL],1276140736240156733,assets\964f8e8a73f2d1906ee9c3763d5a14fe-F1695.png,"It's called the Harris-Walz Yard Signs - Digital Downloads. It's for people who want to print their own yard signs. Certainly you cannot print these and then sell them, but that's not what I thought Joe was trying to do."
1284189533826580512,Default,,2024-09-13T16:30:43.952+00:00,snowbunslc,Mimi P. [UT] • Lead Moo 🐄,690265089013842114,assets\a_af687ec26437850595306bad054786e9-735FE.gif,"Please make sure to link to the website for printing, and not from here."
1284189716748439616,Reply,1284189533826580512,2024-09-13T16:31:27.564+00:00,timmyjoe_58970,Tim Carroll  [IL],1276140736240156733,assets\964f8e8a73f2d1906ee9c3763d5a14fe-F1695.png,I'm not following?
1284189814219866253,Default,,2024-09-13T16:31:50.803+00:00,snowbunslc,Mimi P. [UT] • Lead Moo 🐄,690265089013842114,assets\a_af687ec26437850595306bad054786e9-735FE.gif,Did you download and/or alter the images in any way?
1284190093770227762,Reply,1284189814219866253,2024-09-13T16:32:57.453+00:00,timmyjoe_58970,Tim Carroll  [IL],1276140736240156733,assets\964f8e8a73f2d1906ee9c3763d5a14fe-F1695.png,I used Photoshop to make it the size Joe needed.
1284190405247762507,Default,,2024-09-13T16:34:11.715+00:00,carb.on,Carolyn B [CA] • Lead Mod,568257600228032512,assets\28a90c77b5793d80eb62484a43c66748-D8837.png,"I see. The digital download is a new option, first time I've seen it, but still I think it needs to be 8.5x11 original size."
1284190566053183538,Default,,2024-09-13T16:34:50.054+00:00,snowbunslc,Mimi P. [UT] • Lead Moo 🐄,690265089013842114,assets\a_af687ec26437850595306bad054786e9-735FE.gif,"So, and there's the crux. The provided free size is what was put out by the campaign for free use. Altering and then providing the altered product is not."
1284190618595098766,Reply,1284190405247762507,2024-09-13T16:35:02.581+00:00,snowbunslc,Mimi P. [UT] • Lead Moo 🐄,690265089013842114,assets\a_af687ec26437850595306bad054786e9-735FE.gif,Correct.
1284190973680947363,Default,,2024-09-13T16:36:27.24+00:00,nieta0412,"Nieta G, MA (Call MOD)",1266164208928686110,assets\c82b3fa769ed6e6ffdea579381ed5f5c-A9936.png,"Resizing is not considered a modification to the work, but anything that changes the visual presentation of the image is considered a modification that requires permission."
1284191050272997410,Reply,1284190566053183538,2024-09-13T16:36:45.501+00:00,timmyjoe_58970,Tim Carroll  [IL],1276140736240156733,assets\964f8e8a73f2d1906ee9c3763d5a14fe-F1695.png,"Folks, do what you want. I'm trying to help out a fellow volunteer who is merely trying to print up and put up Harris-Walz signs in his neighborhood. Something I would think the campaign would support."
1284191323255078923,Default,,2024-09-13T16:37:50.585+00:00,carb.on,Carolyn B [CA] • Lead Mod,568257600228032512,assets\28a90c77b5793d80eb62484a43c66748-D8837.png,<@1276140736240156733> did you change the color?
1284191574003290235,Reply,1284191323255078923,2024-09-13T16:38:50.368+00:00,timmyjoe_58970,Tim Carroll  [IL],1276140736240156733,assets\964f8e8a73f2d1906ee9c3763d5a14fe-F1695.png,"The top image is the original color. Joe asked for the color to be the one on the campaign web site, the darker blue. The second image is the darker blue from the campaign web site."
1284192573547872286,Default,,2024-09-13T16:42:48.678+00:00,carb.on,Carolyn B [CA] • Lead Mod,568257600228032512,assets\28a90c77b5793d80eb62484a43c66748-D8837.png,Please read Neita's message above https://discord.com/channels/1242249109298221066/1283513148942319767/1284190973680947363
1284192981632417864,Reply,1284192573547872286,2024-09-13T16:44:25.973+00:00,timmyjoe_58970,Tim Carroll  [IL],1276140736240156733,assets\964f8e8a73f2d1906ee9c3763d5a14fe-F1695.png,"Okay, we all good now?"
1284193401847152661,Reply,1284192981632417864,2024-09-13T16:46:06.16+00:00,carb.on,Carolyn B [CA] • Lead Mod,568257600228032512,assets\28a90c77b5793d80eb62484a43c66748-D8837.png,"*anything that changes the visual presentation of the image is considered a modification that requires permission.*
changing the color is a modification."
