id,type,ref_to,timestamp,author_name,author_nickname,author_id,author_avatar_url,content
1279577334797566042,Default,,2024-08-31T23:03:30.013+00:00,.billh,billh,911700060360818688,assets\0-EB806.png,Have used for a year and can learn more. Have time.
1279578800480456885,Default,,2024-08-31T23:09:19.459+00:00,carb.on,Carolyn B [CA] • Lead Mod,568257600228032512,assets\28a90c77b5793d80eb62484a43c66748-D8837.png,We have a nice intro video to support your learning. https://youtu.be/cA32MMsN61g and if you want to minimize the overwhelm there is this one https://youtu.be/cA32MMsN61g
1279590097230233664,Default,,2024-08-31T23:54:12.814+00:00,dortheakingsimpson,Dorthea King-Simpson,1268700656743612417,assets\65475662df73c5875bc4a1d6f590e5fe-10DB5.png,"Well...I have posted everywhere I have been instructed for more than two weeks...I can't get the answer to o my question. It doesn't feel good to be shuffled from one channel to the next.

Qu. How do I set up a fundraiser at a watch party?

Thanks so much!"
1279599285754925142,Default,,2024-09-01T00:30:43.529+00:00,starkittynmom,Jen Medeiros [CA] • [Lead Mod],1276944250491113656,assets\a_2aba4b7f19fcab5fe5391fcdb73d735d-D670A.gif,<@1268700656743612417>  the <#1245826306780823563> channel would be a good place to ask questions like this. Here's a link to a similar question another member posted earlier today: https://discord.com/channels/1242249109298221066/1245826306780823563/1277816160884232214
1279599474758516787,Default,,2024-09-01T00:31:28.591+00:00,dortheakingsimpson,Dorthea King-Simpson,1268700656743612417,assets\65475662df73c5875bc4a1d6f590e5fe-10DB5.png,<@1276944250491113656>  Thanks so much!
1279600072136458250,Default,,2024-09-01T00:33:51.017+00:00,dortheakingsimpson,Dorthea King-Simpson,1268700656743612417,assets\65475662df73c5875bc4a1d6f590e5fe-10DB5.png,"<@1276944250491113656> I can host, but the second g part of my question seems to be more challenging."
1279601189234933780,Default,,2024-09-01T00:38:17.354+00:00,carb.on,Carolyn B [CA] • Lead Mod,568257600228032512,assets\28a90c77b5793d80eb62484a43c66748-D8837.png,Hi <@1268700656743612417> due to campaign law we only promote DNC and HFP official fundraising events.
1279601391739867158,Default,,2024-09-01T00:39:05.635+00:00,carb.on,Carolyn B [CA] • Lead Mod,568257600228032512,assets\28a90c77b5793d80eb62484a43c66748-D8837.png,There are apps like eventbrite that will manage your own personal fundraising.
1279601711090241568,Default,,2024-09-01T00:40:21.774+00:00,dortheakingsimpson,Dorthea King-Simpson,1268700656743612417,assets\65475662df73c5875bc4a1d6f590e5fe-10DB5.png,"<@568257600228032512> ho Carolyn, what is DNV and HFP?

I would like to have it all go straight to the campaign and pur group be recognized for organizing the donations."
1279601878555951197,Default,,2024-09-01T00:41:01.701+00:00,carb.on,Carolyn B [CA] • Lead Mod,568257600228032512,assets\28a90c77b5793d80eb62484a43c66748-D8837.png,"Democratic National Campaign
Harris For President
also Harris Victory Fund"
1279602015571415050,Default,,2024-09-01T00:41:34.368+00:00,dortheakingsimpson,Dorthea King-Simpson,1268700656743612417,assets\65475662df73c5875bc4a1d6f590e5fe-10DB5.png,Wouldn't that be the Harris for president link?
1279603122775261265,Reply,1279602015571415050,2024-09-01T00:45:58.346+00:00,carb.on,Carolyn B [CA] • Lead Mod,568257600228032512,assets\28a90c77b5793d80eb62484a43c66748-D8837.png,You could use this as your donation link at your event https://kamalaharris.com
1279791021730824294,Default,,2024-09-01T13:12:36.948+00:00,dortheakingsimpson,Dorthea King-Simpson,1268700656743612417,assets\65475662df73c5875bc4a1d6f590e5fe-10DB5.png,"<@568257600228032512> I appreciate you sharing this. How can we as ROC 4 Harris be credited with the donations that come in?

Is there a place to make a note?"
1279798134502850570,Reply,1279791021730824294,2024-09-01T13:40:52.765+00:00,opheliawild,Ophelia W • Lead Mod,957714233217409174,assets\8b706a86e5f9b8dcaaa950a7500b77b8-E1341.png,"Hi Dorothea! I believe you can set up your host event on https://events.democrats.org and once it's approved, it should tie to your campaign drive, giving your group credit. I would confirm this though with <@1250880260338094331> since you didn't receive an answer in the host channel."
1279815771790245888,Default,,2024-09-01T14:50:57.822+00:00,dortheakingsimpson,Dorthea King-Simpson,1268700656743612417,assets\65475662df73c5875bc4a1d6f590e5fe-10DB5.png,<@957714233217409174> <@957714233217409174> ok...My event is set up already. I will reach out to her.
1279815881672626287,Default,,2024-09-01T14:51:24.02+00:00,dortheakingsimpson,Dorthea King-Simpson,1268700656743612417,assets\65475662df73c5875bc4a1d6f590e5fe-10DB5.png,<@957714233217409174> Thank you so much.
