id,type,ref_to,timestamp,author_name,author_nickname,author_id,author_avatar_url,content
1290297530642599969,Default,,2024-09-30T13:01:43.874+00:00,tfordemocracy_18114,Taylor Lynn [MD],1279970871162835079,assets\2-ADBB4.png,Hi I don't receive any push notifications on my phone for text team & haven't since I joined the text team. am I not on a list or something so I am not notified when there is any texting to be done? I get the call team notifications. Thanks.
1290298933628895263,Default,,2024-09-30T13:07:18.372+00:00,remarkable_beetle_72908,Lee Warner (NJ) • Mod,1268363534132183122,assets\993758d16f77a3b44e8daefcbe6f8a4d-997B4.png,Hi <@1279970871162835079> GM!! And welcome. Did you ask this over at <#1266829704204386334> or <#1259238714157305936>? They should be able to help you out there. If they can't please let me know
1290302742602055701,Reply,1290298933628895263,2024-09-30T13:22:26.502+00:00,tfordemocracy_18114,Taylor Lynn [MD],1279970871162835079,assets\2-ADBB4.png,good morning to you as well.I think I did ask this in texting questions the other day. iirc someone advised to ask in general ( I think). just searched thru texting questions & couldn't find my original post. I did get a push notification when you replied to me.
1290303249441624145,Reply,1290302742602055701,2024-09-30T13:24:27.342+00:00,remarkable_beetle_72908,Lee Warner (NJ) • Mod,1268363534132183122,assets\993758d16f77a3b44e8daefcbe6f8a4d-997B4.png,"Let me see if I can get a better answer for you. In the meantime if you want to explore other ways to help (can you believe it's 36 days?) take a look at the Dials from Dawn 'til Dusk campaign...

## <:bluewave3:1270555729836900453>   [Make a big impact with Dials from Dawn 'til Dusk](https://cdn.discordapp.com/attachments/1265762143559618624/1289981396680704111/95281r.jpg?ex=66facc4b&is=66f97acb&hm=e29070173ee0e73b1b15ec63d46036346717ee04be03c9b9067c37aba90ce462&) over in <#1242256751445934262> 
## [or sign up to Phone Bank with Team Harris-Walz](https://events.democrats.org/event/664004/?utm_source=Discord&utm_medium=Posts&utm_campaign=Daily%20Engagement) <:bluewave3:1270555729836900453>"
1290307097225068544,Default,,2024-09-30T13:39:44.725+00:00,remarkable_beetle_72908,Lee Warner (NJ) • Mod,1268363534132183122,assets\993758d16f77a3b44e8daefcbe6f8a4d-997B4.png,<@1279970871162835079> you can also try this[ ](https://support.discord.com/hc/en-us/articles/215253258-Notifications-Settings-101) Thanks again for being here!
1290307200220139682,Default,,2024-09-30T13:40:09.281+00:00,remarkable_beetle_72908,Lee Warner (NJ) • Mod,1268363534132183122,assets\993758d16f77a3b44e8daefcbe6f8a4d-997B4.png,https://support.discord.com/hc/en-us/articles/218892547--Mobile-Notifications-Settings-101
1290316508836270271,Default,,2024-09-30T14:17:08.628+00:00,tfordemocracy_18114,Taylor Lynn [MD],1279970871162835079,assets\2-ADBB4.png,thanks will check it out.
1290317046768468060,Default,,2024-09-30T14:19:16.881+00:00,remarkable_beetle_72908,Lee Warner (NJ) • Mod,1268363534132183122,assets\993758d16f77a3b44e8daefcbe6f8a4d-997B4.png,Thank you Taylor- let me know if you have any other questions.
1290331566681100434,Default,,2024-09-30T15:16:58.698+00:00,carb.on,Carolyn B [CA] • Lead Mod,568257600228032512,assets\28a90c77b5793d80eb62484a43c66748-D8837.png,"Hello <@1279970871162835079> you can change you Discord notifications for the whole text category or for individual channels. On the computer, right-click on the item you want to change and choose notifications and then choose all messages. These notifications will come to your phone. You can also change the settings on your phone by tapping on the item and then tapping ""notification settings"" and choosing all messages.
Let me know if you want to change the notifications from Spoke or Scale to Win."
1290335710796185611,Reply,1290331566681100434,2024-09-30T15:33:26.732+00:00,tfordemocracy_18114,Taylor Lynn [MD],1279970871162835079,assets\2-ADBB4.png,"Thank you Carolyn. i had looked over my settings on  my phone after reading Lee's article above. Almost all seemed to be on.  after reading your instructions & helpful pic here, I changed the setting on laptop for text team announcements to ""all."" hopefully that will help."
