id,type,ref_to,timestamp,author_name,author_nickname,author_id,author_avatar_url,content
1268172183478341695,Default,,2024-07-31T11:43:30.041+00:00,danielleconger,Danielle Conger (MD/ FL),1266796930743271489,assets\8afd75fe2c93e7ef932537117d5f157d-751E0.png,"Will there be a forum for hosting events? I have some ideas that I'd like to try in my area that might be reproducible across the country, but I'm totally new to this and looking for support."
1268192901729619988,Default,,2024-07-31T13:05:49.657+00:00,wholeheartedleaders_18372,Wholehearted Leaders,1266875045867819009,assets\1-B2132.png,"I am also trying to host events.  I have two planned on August 13 and August 15 and will invite about 250 folks who helped me mobilize voters in battleground states in 2020.  However, the only kinds of events I am currently allowed to host with the Mobilize platform are Phone Banks and DNC Watch parties.  I need the expanded access for community events.  Can someone help?"
1268213232913612942,Default,,2024-07-31T14:26:36.989+00:00,utki07,aisha🩵,797423538655068171,assets\9e26eee71a246c52d0a304b280ca3ea3-2CE2E.png,Same here! ^^ Stoners For Kamala 🥥🌴
1268214072298700913,Default,,2024-07-31T14:29:57.114+00:00,rob056147,Robin Foxx,1265870590099853372,assets\72f9b7544e1b1f68ab719d9b29997f5d-55F09.png,Same here. Thanks for the post
1268697570184794132,Default,,2024-08-01T22:31:11.993+00:00,alex_edu,Alexandra,1143918166792224948,assets\a40cebd8da55066e53f37c0bed987f96-73BB1.png,me too
1268733833293856771,Reply,1268697570184794132,2024-08-02T00:55:17.792+00:00,rootsmusic,rootsmusic,791857656897732648,assets\a30e650576a6d42a3c9ee24648f67c90-2AE37.png,Go to <#1245826306780823563> <@797423538655068171>
1273818668223955016,Default,,2024-08-16T01:40:36.911+00:00,rob056147,Robin Foxx,1265870590099853372,assets\72f9b7544e1b1f68ab719d9b29997f5d-55F09.png,just did the DNC watch party tip and tricks session....so excited!!
1274523913011069060,Default,,2024-08-18T00:23:00.371+00:00,jean9_28218_79932,Jeannine M • Lead Mod,1266879741785538682,assets\54ff5e8dfab835d878a961f9f7b7d161-6C0EE.png,Great questions! I'm going to tag <@1250880260338094331> who might be able to answer!
1274764438787854356,Default,,2024-08-18T16:18:46.185+00:00,lucy_70352,Lucy,1273348785740709898,assets\3-FB033.png,"Hi. Lucy Frost here from Austin, TX. We need to change the published location of our DNC Watch party.  How do we do that?"
1274773589610074134,Reply,1274764438787854356,2024-08-18T16:55:07.911+00:00,jean9_28218_79932,Jeannine M • Lead Mod,1266879741785538682,assets\54ff5e8dfab835d878a961f9f7b7d161-6C0EE.png,"Hi, Lucy! Why don't you DM me the info on the party and I will see what I can do!"
1276264016691331243,Default,,2024-08-22T19:37:33.418+00:00,rob056147,Robin Foxx,1265870590099853372,assets\72f9b7544e1b1f68ab719d9b29997f5d-55F09.png,Anyone have a one pager of project 2025 I can print for my watch party tonight?
1276264177786294404,Default,,2024-08-22T19:38:11.826+00:00,rob056147,Robin Foxx,1265870590099853372,assets\72f9b7544e1b1f68ab719d9b29997f5d-55F09.png,A little bummed I didn’t get my swag out for the watch party…..
1276269590048931935,Reply,1276264016691331243,2024-08-22T19:59:42.21+00:00,rootsmusic,rootsmusic,791857656897732648,assets\a30e650576a6d42a3c9ee24648f67c90-2AE37.png,"It's really difficult to condense 900+ pages into a one-pager, but the campaign's [Project 2025 site](https://kamalaharris.com/project2025/) links to other explainers."
