id,type,ref_to,timestamp,author_name,author_nickname,author_id,author_avatar_url,content
1278720240997371936,Default,,2024-08-29T14:17:42.927+00:00,courtneyemken_57857,Courtney Emken,1242180847642345535,assets\4-4551A.png,"Where do I go to get answers to questions I'm getting from my social posts? In regards to her lowering prices: Like, ""Why did prices increase while she was Vice President if she is capable of doing this? Do you think taxing unrealized capital gains will do this? What about higher corporate tax rates? What exactly is the mechanism she will implement to reduce inflation? Price controls?"" <#1252676126698897429> @staff"
1278721033137950833,Default,,2024-08-29T14:20:51.788+00:00,franceshaydock_20619,Frances Haydock (HFP HQ!),1257469301435400238,assets\8286d5b1308e7b3d80a3523e4ec50548-C029D.png,Hi Courtney! This is a good question to ask in the <#1250550849998946417> channel!
1278774205361426462,Reply,1278721033137950833,2024-08-29T17:52:09.034+00:00,rootsmusic,rootsmusic,791857656897732648,assets\a30e650576a6d42a3c9ee24648f67c90-2AE37.png,<#1250550849998946417> doesn't have talking points.
1280560492313710626,Default,,2024-09-03T16:10:13.031+00:00,keeve0703,"Laurie Hamburg, New York",1280552979975503973,assets\ed90d319d5bed95c02d76e2c8544d45f-2D67B.png,I can't get into that channel!
1280560741774266442,Reply,1280560492313710626,2024-09-03T16:11:12.507+00:00,franceshaydock_20619,Frances Haydock (HFP HQ!),1257469301435400238,assets\8286d5b1308e7b3d80a3523e4ec50548-C029D.png,Just gave you the role so you should be able to access this!
1280560937887334464,Default,,2024-09-03T16:11:59.264+00:00,keeve0703,"Laurie Hamburg, New York",1280552979975503973,assets\ed90d319d5bed95c02d76e2c8544d45f-2D67B.png,
1280561013959164006,Default,,2024-09-03T16:12:17.401+00:00,keeve0703,"Laurie Hamburg, New York",1280552979975503973,assets\ed90d319d5bed95c02d76e2c8544d45f-2D67B.png,"Now, I need to figure out how to start texting!"
1280561337545658368,Reply,1280560937887334464,2024-09-03T16:13:34.55+00:00,franceshaydock_20619,Frances Haydock (HFP HQ!),1257469301435400238,assets\8286d5b1308e7b3d80a3523e4ec50548-C029D.png,You can attend a text bank training here: https://events.democrats.org/event/672393/
1280564534049771671,Default,,2024-09-03T16:26:16.656+00:00,keeve0703,"Laurie Hamburg, New York",1280552979975503973,assets\ed90d319d5bed95c02d76e2c8544d45f-2D67B.png,Thank you! I'm signed up for Thursday.
1281618402334736467,Default,,2024-09-06T14:13:58.435+00:00,hope24_07067,Hope24,1281612937957740558,assets\2-ADBB4.png,"I downloaded Reach and searched the Economy Channel and the word Rural to find information to discuss with rural community members.  There was one article under Rural.  There was nothing under the Economy regarding tariffs.  Is there a way to add or suggest articles on specific topics, such as the impact of past Trump Tariffs on agriculture?"
1281663308335681556,Default,,2024-09-06T17:12:24.86+00:00,carb.on,Carolyn B [CA] • Lead Mod,568257600228032512,assets\28a90c77b5793d80eb62484a43c66748-D8837.png,"Hi <@1281612937957740558> you can go to Channels & Roles and choose Engage with your Online Communities, which will open https://discord.com/channels/1242249109298221066/1250550849998946417 and you can share your idea with the team."
