id,type,ref_to,timestamp,author_name,author_nickname,author_id,author_avatar_url,content
1277830766449131530,Default,,2024-08-27T03:23:15.669+00:00,jackferreira.246012,Jack Ferreira (KC),1276396030375624789,assets\cd48a61b3416a1c6fe47335cfcfc484e-EE993.png,Are we allowed to create our own invite link to invite our family and friends?
1277831802593083473,Default,,2024-08-27T03:27:22.705+00:00,carb.on,Carolyn B [CA] • Lead Mod,568257600228032512,assets\28a90c77b5793d80eb62484a43c66748-D8837.png,"## Yes!
Go to the server menu and choose Invite Friends."
1277831945677439118,Default,,2024-08-27T03:27:56.819+00:00,jackferreira.246012,Jack Ferreira (KC),1276396030375624789,assets\cd48a61b3416a1c6fe47335cfcfc484e-EE993.png,I assume theres a strict verification process to make sure we dont get any trolls or MAGA?
1277833162529181796,Default,,2024-08-27T03:32:46.939+00:00,carb.on,Carolyn B [CA] • Lead Mod,568257600228032512,assets\28a90c77b5793d80eb62484a43c66748-D8837.png,"We can track the invited folks back to you. So if you do invite trolls, they'll be banned and so will you."
1277833309505851392,Default,,2024-08-27T03:33:21.981+00:00,jackferreira.246012,Jack Ferreira (KC),1276396030375624789,assets\cd48a61b3416a1c6fe47335cfcfc484e-EE993.png,What if that was never the intention?
1277833394209689651,Default,,2024-08-27T03:33:42.176+00:00,carb.on,Carolyn B [CA] • Lead Mod,568257600228032512,assets\28a90c77b5793d80eb62484a43c66748-D8837.png,"We believe you are good person, supporting Kamala and Tim, and you have good friends that will join us here to support Kamala and Tim."
1277833558219685909,Default,,2024-08-27T03:34:21.279+00:00,jackferreira.246012,Jack Ferreira (KC),1276396030375624789,assets\cd48a61b3416a1c6fe47335cfcfc484e-EE993.png,Is there another way someone can find the link?
1277833802277716011,Default,,2024-08-27T03:35:19.467+00:00,carb.on,Carolyn B [CA] • Lead Mod,568257600228032512,assets\28a90c77b5793d80eb62484a43c66748-D8837.png,"We give the link to everyone that comes to a training event https://events.democrats.org or on Reach, it was also broadcast at the DNC convention"
1277833893499637861,Default,,2024-08-27T03:35:41.216+00:00,jackferreira.246012,Jack Ferreira (KC),1276396030375624789,assets\cd48a61b3416a1c6fe47335cfcfc484e-EE993.png,I'll do that insted.  Dont want to take any chances
1277833945379115094,Default,,2024-08-27T03:35:53.585+00:00,jackferreira.246012,Jack Ferreira (KC),1276396030375624789,assets\cd48a61b3416a1c6fe47335cfcfc484e-EE993.png,Many thanks!
1277834401274925231,Default,,2024-08-27T03:37:42.279+00:00,carb.on,Carolyn B [CA] • Lead Mod,568257600228032512,assets\28a90c77b5793d80eb62484a43c66748-D8837.png,"We prefer folks come to training first, that way they know more about what we do, and they are more engaged."
1277834945460699240,Default,,2024-08-27T03:39:52.023+00:00,jackferreira.246012,Jack Ferreira (KC),1276396030375624789,assets\cd48a61b3416a1c6fe47335cfcfc484e-EE993.png,Is it ok share this link with my friend?: https://events.democrats.org/event/671638/
1277835124792098826,Default,,2024-08-27T03:40:34.779+00:00,carb.on,Carolyn B [CA] • Lead Mod,568257600228032512,assets\28a90c77b5793d80eb62484a43c66748-D8837.png,"Yes, you can share that with your friend. That is a great place to start."
