id,type,ref_to,timestamp,author_name,author_nickname,author_id,author_avatar_url,content
1276171999902961664,Default,,2024-08-22T13:31:54.906+00:00,baudi_,Mike Baudistel,562727475537379342,assets\3-FB033.png,"I see that someone set up a Kamala HQ automated mirror account on Bluesky.  It mirrors posts from Twitter/X.  Given that many of us have moved from Twitter, has the Harris campaign considered creating an official Bluesky account?

https://bsky.app/profile/kamalahqrepeater.bsky.social"
1276304158282092720,Default,,2024-08-22T22:17:03.919+00:00,egallager,Eric Gallager (NH02),379278050212315148,assets\3455937c80f8c69cd430cbb4f671a3ab-A02E8.png,yeah I would be highly supportive of such an account
1276383072849494047,Default,,2024-08-23T03:30:38.618+00:00,kyra.davies,Kyra Davies (MA),449057300590886912,assets\4dcea12906594faec9995d20ca01b543-803E9.png,Same! There are some very active communities of journalists and activists over there
1276568347873509430,Default,,2024-08-23T15:46:51.626+00:00,kcmpolitical,Kris Morrell (CA) - KC TextAdmin,1254144571089354868,assets\f7ebcd4727f2b8e05b4382b1b1eb6d74-1D9FE.png,"Same! I like BlueSky, seem to spend more time over there than anywhere other than Discord and Slack"
1276573514949857332,Default,,2024-08-23T16:07:23.553+00:00,kimmai,Kimmai T. (PA) • Mod,381286854059884545,assets\8f2f5a21a6665091a4e51dc7687cb6f3-AAC42.png,I also use BlueSky!
1276688931651584112,Default,,2024-08-23T23:46:01.039+00:00,egallager,Eric Gallager (NH02),379278050212315148,assets\3455937c80f8c69cd430cbb4f671a3ab-A02E8.png,This is my profile on it: https://bsky.app/profile/egall.bsky.social
1276694217971994698,Reply,1276688931651584112,2024-08-24T00:07:01.396+00:00,kimmai,Kimmai T. (PA) • Mod,381286854059884545,assets\8f2f5a21a6665091a4e51dc7687cb6f3-AAC42.png,I just followed you!
1276974885192597514,Default,,2024-08-24T18:42:17.676+00:00,mdfranz,Matt Franz,735273034595827775,assets\64de5f499fea1426f79831f0483e013c-99A90.png,Also don’t do FB or Twitter and have been following the  mirror!
1277001132354568314,Default,,2024-08-24T20:26:35.487+00:00,opheliawild,Ophelia W • Lead Mod,957714233217409174,assets\8b706a86e5f9b8dcaaa950a7500b77b8-E1341.png,"We're not sure if they are doing this or not but as soon as we hear, if they do, we'll let everyone know."
1277060935177076786,Default,,2024-08-25T00:24:13.591+00:00,wheeless_,Wheeless,875421074320412672,assets\321c541a5aa9afcdcaaf130167321fdb-C6411.png,Is there a widget that is a countdown to election night that we can add to our cell phones? I want to create a sense of urgency and thought this would help... but I'm not tech savvy.
1277066408122908764,Default,,2024-08-25T00:45:58.443+00:00,carb.on,Carolyn B [CA] • Lead Mod,568257600228032512,assets\28a90c77b5793d80eb62484a43c66748-D8837.png,"Hi <@875421074320412672>  there several for webpages and blogs. but I can't find a phone widget. You could do this with regular countdown app, but it would't be personalized to the election."
