id,type,ref_to,timestamp,author_name,author_nickname,author_id,author_avatar_url,content
1290753488133029899,Default,,2024-10-01T19:13:32.611+00:00,jalanc,Jalan C AL,1288289159416643707,assets\6c5996770c985bcd6e5b68131ff2ba04-00CB0.png,Hi I recently did a training for the mobile inbox team on last Tuesday. But I haven't be able to receive access to the digital-corr-start here or the mobile inbox. I was really interested in starting to volunteer this week for the campaigns
1290767613160460429,Default,,2024-10-01T20:09:40.28+00:00,carb.on,Carolyn B [CA] • Lead Mod,568257600228032512,assets\28a90c77b5793d80eb62484a43c66748-D8837.png,"Hi <@1288289159416643707> if you click on Channels & Roles near the top of the main menu and choose Respond to Voter Inquiries, digit-corr-start-here will open."
1290791153959960640,Reply,1290767613160460429,2024-10-01T21:43:12.844+00:00,jalanc,Jalan C AL,1288289159416643707,assets\6c5996770c985bcd6e5b68131ff2ba04-00CB0.png,I've tried doing that and it is not opening for me. I'm only able to see mobile inbox and email inbox resources but nothing else
1290792621995986986,Reply,1290791153959960640,2024-10-01T21:49:02.851+00:00,katherineunderwood,Katherine U [Email-Mod] [GA],1255219043741204532,assets\78a349e0c09e5babd677770a8c5bb37b-E89FE.png,Do you see the  <#1260316455753486377> channel?
1290792828137639947,Reply,1290792621995986986,2024-10-01T21:49:51.999+00:00,carb.on,Carolyn B [CA] • Lead Mod,568257600228032512,assets\28a90c77b5793d80eb62484a43c66748-D8837.png,"that shows at ""no access"" for me, probably same for Jalan"
1290794872307191868,Reply,1290792621995986986,2024-10-01T21:57:59.367+00:00,jalanc,Jalan C AL,1288289159416643707,assets\6c5996770c985bcd6e5b68131ff2ba04-00CB0.png,"Yes I see the ""no access"" channel"
1290794976640499785,Reply,1290792828137639947,2024-10-01T21:58:24.242+00:00,jalanc,Jalan C AL,1288289159416643707,assets\6c5996770c985bcd6e5b68131ff2ba04-00CB0.png,Yes that's what it shows for me
1290795211651289109,Default,,2024-10-01T21:59:20.273+00:00,carb.on,Carolyn B [CA] • Lead Mod,568257600228032512,assets\28a90c77b5793d80eb62484a43c66748-D8837.png,"We had a security update yesterday, and it closed of a lot of thing. We are working to fix that now."
1290797241459806279,Reply,1290794976640499785,2024-10-01T22:07:24.217+00:00,carb.on,Carolyn B [CA] • Lead Mod,568257600228032512,assets\28a90c77b5793d80eb62484a43c66748-D8837.png,"I opened mobile inbox for you. I still can't get the digi-corr-start-here, but I think you only need that to choose the mobile-inbox"
1290815078320308244,Reply,1290797241459806279,2024-10-01T23:18:16.856+00:00,jalanc,Jalan C AL,1288289159416643707,assets\6c5996770c985bcd6e5b68131ff2ba04-00CB0.png,Thanks so much I'm able to see it now! Truly appreciate your assistance
1290822770359271505,Default,,2024-10-01T23:48:50.781+00:00,carb.on,Carolyn B [CA] • Lead Mod,568257600228032512,assets\28a90c77b5793d80eb62484a43c66748-D8837.png,"Thank you for volunteering, you are doing great work!"
1290826182480367686,Reply,1290822770359271505,2024-10-02T00:02:24.294+00:00,jalanc,Jalan C AL,1288289159416643707,assets\6c5996770c985bcd6e5b68131ff2ba04-00CB0.png,One last thing is it possible to be added the  scale to win or sent an invite link to my email it saying I can't do the campaigns because I'm not accepted
1290827109178150975,Default,,2024-10-02T00:06:05.236+00:00,carb.on,Carolyn B [CA] • Lead Mod,568257600228032512,assets\28a90c77b5793d80eb62484a43c66748-D8837.png,"Hi Jalan, Scale to Win is outside of the Discord, you set up an account on the Scale to Win page and then you connect that to the texting campaigns that we facilitate. you can get more info from https://discord.com/channels/1242249109298221066/1266829704204386334 let me know if you cant see that channel."
1290829319903514717,Reply,1290827109178150975,2024-10-02T00:14:52.314+00:00,jalanc,Jalan C AL,1288289159416643707,assets\6c5996770c985bcd6e5b68131ff2ba04-00CB0.png,Thanks so much
