id,type,ref_to,timestamp,author_name,author_nickname,author_id,author_avatar_url,content
1287479300559208538,Default,,2024-09-22T18:23:05.462+00:00,roberta_24935,Roberta Bavin CA KC Greeter/Mod,1269872908759597148,assets\df6d19d97b04a49ffcafbe7be14c7839-D9CE4.png,"<@568257600228032512> Hi Carolyn; can you please help texter Morry Galonoy litchinut with tech issues? Thanks so much!  (If I didn't do this request correctly, please let me know). <:thankyou:1252806147396735057>"
1287480152552509482,Default,,2024-09-22T18:26:28.593+00:00,carb.on,Carolyn B [CA] • Lead Mod,568257600228032512,assets\28a90c77b5793d80eb62484a43c66748-D8837.png,"Hi <@1200131270773047427> , I'm reaching out from the Harris-Walz campaign to help you solve the tech issues. We can chat here or in DMs."
1287500195390816276,Default,,2024-09-22T19:46:07.178+00:00,prisicilla_24566,Priscilla London - CA,1265019193737089176,assets\1-B2132.png,"I am Priscilla London (CA) I have gone through all thte training, have everything set up on discord. When I click on the cmapaign link I am sent to spoke to sign up. I do that and then am sent a message that I'll receivean authenticator code. But the code is never sent. Please help me. This has been going on for more than a week. I text with other organizations using discord and do not have this problem with them."
1287501803339911211,Reply,1287500195390816276,2024-09-22T19:52:30.543+00:00,opheliawild,Ophelia W • Lead Mod,957714233217409174,assets\8b706a86e5f9b8dcaaa950a7500b77b8-E1341.png,"You may need an authenticator app to generate the code (it comes from these apps). I used google authenticator and was surprised how easy it worked with that. Carolyn may have other advice but if you'd like to try that now, let us know if it works and solves the problem!"
1287506527741153382,Default,,2024-09-22T20:11:16.928+00:00,prisicilla_24566,Priscilla London - CA,1265019193737089176,assets\1-B2132.png,Google Authenticator is asking to enter an account.  How do I do that.  Is it QR code or an account name.
1287507548504592485,Reply,1287500195390816276,2024-09-22T20:15:20.297+00:00,carb.on,Carolyn B [CA] • Lead Mod,568257600228032512,assets\28a90c77b5793d80eb62484a43c66748-D8837.png,the mod roles on this server require authentication. Here are the instructions for setting that up. https://support.discord.com/hc/en-us/articles/219576828-Setting-up-Multi-Factor-Authentication#h_01J7XZBQJH4W0MV165Y70EY05P
1287510107613167648,Default,,2024-09-22T20:25:30.436+00:00,prisicilla_24566,Priscilla London - CA,1265019193737089176,assets\1-B2132.png,Have downloaded the google authenticator but still having issues. Can someone please call me to walk me through this. I am beyond frustrated.
1287513467980611647,Default,,2024-09-22T20:38:51.61+00:00,carb.on,Carolyn B [CA] • Lead Mod,568257600228032512,assets\28a90c77b5793d80eb62484a43c66748-D8837.png,"Hi <@1265019193737089176> I appreciate your frustration. This page has better screenshots. https://support.discord.com/hc/en-us/articles/26304482627095-Using-an-Authenticator-App-on-Discord#h_01J7XYH0C4N3YPJ6AKMB92S6DE
I can walk you through it on a Zoom call if you want."
1287530493096628275,Default,,2024-09-22T21:46:30.714+00:00,prisicilla_24566,Priscilla London - CA,1265019193737089176,assets\1-B2132.png,Where do I call you on zoom
1287547647619633233,Default,,2024-09-22T22:54:40.671+00:00,carb.on,Carolyn B [CA] • Lead Mod,568257600228032512,assets\28a90c77b5793d80eb62484a43c66748-D8837.png,"I have to send you the link. When are you available?
Please tell me time and time zone. TY"
1287839196366770209,Default,,2024-09-23T18:13:11.309+00:00,prisicilla_24566,Priscilla London - CA,1265019193737089176,assets\1-B2132.png,Carolyn.  It is now 11:11 in Los Angeles.  Is it possible to contact at 1PM pacific time. Please let me know. I so appreciate the help.  Priscilla
1287844145385443359,Default,,2024-09-23T18:32:51.247+00:00,prisicilla_24566,Priscilla London - CA,1265019193737089176,assets\1-B2132.png,I am running out and will be back in 45 minutes or less.  PRL
1287845528578687046,Default,,2024-09-23T18:38:21.026+00:00,carb.on,Carolyn B [CA] • Lead Mod,568257600228032512,assets\28a90c77b5793d80eb62484a43c66748-D8837.png,1pm is fine. I will be here.
1287866300781301811,Default,,2024-09-23T20:00:53.505+00:00,prisicilla_24566,Priscilla London - CA,1265019193737089176,assets\1-B2132.png,I'm ready when you are ready
1287867808008503388,Default,,2024-09-23T20:06:52.856+00:00,prisicilla_24566,Priscilla London - CA,1265019193737089176,assets\1-B2132.png,are you sending me the zoom link here
1287868736346521601,Default,,2024-09-23T20:10:34.189+00:00,carb.on,Carolyn B [CA] • Lead Mod,568257600228032512,assets\28a90c77b5793d80eb62484a43c66748-D8837.png,"I'm here now, sorry for the delay"
1287868812271685703,Default,,2024-09-23T20:10:52.291+00:00,carb.on,Carolyn B [CA] • Lead Mod,568257600228032512,assets\28a90c77b5793d80eb62484a43c66748-D8837.png,"I'm sending you a zoom link, I'll meet you in the zoom space"
1287868916751925332,Default,,2024-09-23T20:11:17.201+00:00,carb.on,Carolyn B [CA] • Lead Mod,568257600228032512,assets\28a90c77b5793d80eb62484a43c66748-D8837.png,https://fhda-edu.zoom.us/my/carolynb
1287895578440630323,Default,,2024-09-23T21:57:13.843+00:00,prisicilla_24566,Priscilla London - CA,1265019193737089176,assets\1-B2132.png,"Carolyn,  I haven't heard from Roberta.  Have you been able to contact her"
1287896782721912844,Default,,2024-09-23T22:02:00.966+00:00,carb.on,Carolyn B [CA] • Lead Mod,568257600228032512,assets\28a90c77b5793d80eb62484a43c66748-D8837.png,"I left a message for her and the other team members, they are often busy during the day. let's give them a little more time."
1287901642431135805,Default,,2024-09-23T22:21:19.611+00:00,prisicilla_24566,Priscilla London - CA,1265019193737089176,assets\1-B2132.png,thanks
1287909499318964307,Reply,1287895578440630323,2024-09-23T22:52:32.839+00:00,roberta_24935,Roberta Bavin CA KC Greeter/Mod,1269872908759597148,assets\df6d19d97b04a49ffcafbe7be14c7839-D9CE4.png,Hi Priscilla- Did you see the DM I sent you? Thanks!
1287910828254691368,Default,,2024-09-23T22:57:49.682+00:00,prisicilla_24566,Priscilla London - CA,1265019193737089176,assets\1-B2132.png,I just sent you a response.  I have to run out to take my dog for a walk.  I'll be right back
1287926364636450896,Reply,1287910828254691368,2024-09-23T23:59:33.844+00:00,roberta_24935,Roberta Bavin CA KC Greeter/Mod,1269872908759597148,assets\df6d19d97b04a49ffcafbe7be14c7839-D9CE4.png,Hi <@1265019193737089176> This is the channel to reach <@568257600228032512>
1287926671197868184,Reply,1287926364636450896,2024-09-24T00:00:46.934+00:00,carb.on,Carolyn B [CA] • Lead Mod,568257600228032512,assets\28a90c77b5793d80eb62484a43c66748-D8837.png,we are going in circles. I Zoomed with Priscilla earlier today. I can see her list of Scale to Win accounts and Harris-Walz isn't there. How does she get an invite to add our Scale to Win to her account?
