id,type,ref_to,timestamp,author_name,author_nickname,author_id,author_avatar_url,content
1280932561501159445,Default,,2024-09-04T16:48:41.238+00:00,malinoisowner,Robyn Crosby (MO),1279893710573932695,assets\f9eed096a54c4d940a8154d5b8e09420-BF71C.png,"Hello, I hope I tagged you okay? I am looking for help to figure out how to clear the red #2 by Kamala's picture on the left of my screen and the red ""2 new mentions"" at the bottom of my screen. I am very new (2 days) to Discord--and I just can't figure out what these actually mean and how to clear them out. Can you please help me? Or perhaps help me tag someone who can? Thank you in advance! 🌊 <:KamalaTanSuit:1275479319640150146> <:blueheart:1252803082849488956> 🗳️ 🇺🇲 <:thankyou:1252806147396735057>"
1280933182161686578,Default,,2024-09-04T16:51:09.215+00:00,tenaciousg27,Gillian D [TX] • Lead Mod,763374129772363776,assets\bfccaff89d7c287575ef163d39d3bde8-053E1.png,"Hi Robyn! Have you had a chance to watch Carolyn's intro to discord video? That's a great place to start for getting to know the platform. https://www.youtube.com/watch?v=cA32MMsN61g
I'm happy to provide further assistance if you need it!"
1280940222464524492,Default,,2024-09-04T17:19:07.754+00:00,tenaciousg27,Gillian D [TX] • Lead Mod,763374129772363776,assets\bfccaff89d7c287575ef163d39d3bde8-053E1.png,<@1279893710573932695> just wanted to follow up and see if this video was helpful for you! Were you able to figure things out? Is there anything else I can help you with? Thanks so much! <:blueheart:1252803082849488956>
1281034956138745900,Default,,2024-09-04T23:35:34.022+00:00,malinoisowner,Robyn Crosby (MO),1279893710573932695,assets\f9eed096a54c4d940a8154d5b8e09420-BF71C.png,"Hi! I'm watching it now, and good news- I'm able to figure some stuff out! AND got the app for my Mac! Thank you so very very much!"
1281112228057190442,Default,,2024-09-05T04:42:37.083+00:00,robbi_40553,Robbi,1277011910176280727,assets\4-4551A.png,I don't understand how to use Discord either or how to view my messages.
1281120329808351303,Default,,2024-09-05T05:14:48.691+00:00,carb.on,Carolyn B [CA] • Lead Mod,568257600228032512,assets\28a90c77b5793d80eb62484a43c66748-D8837.png,Hi <@1277011910176280727> when you have a message there will be red dot on the game player icon in the top-left of your screen .
1281348797959770112,Default,,2024-09-05T20:22:39.743+00:00,benitastills,Benita Stills,1266771108980326481,assets\8569adcbd36c70a7578c017bf5604ea5-3DF1E.png,"<@763374129772363776> I need help, I have a tablet but it's a ten older one. I have downloaded discord on it and I can't get in. Having problems 😪 help it won't accept my reach app. Password . I need help before Saturday at 6 pm I'm on the text team Saturday. Please message me back !"
1281351131737489418,Reply,1281348797959770112,2024-09-05T20:31:56.159+00:00,snowbunslc,Mimi P. [UT] • Lead Moo 🐄,690265089013842114,assets\9a1cf4df2df35afc17dbc2d78b623d4a-06B66.png,"Hi Benita. Are you able to log into Discord on another device, and do you have an active Discord account already? You would need to create one as it wouldn't be the same as your Reach app account."
1281351596483018894,Default,,2024-09-05T20:33:46.963+00:00,benitastills,Benita Stills,1266771108980326481,assets\8569adcbd36c70a7578c017bf5604ea5-3DF1E.png,"On my cell phone, I don't know if they want to do so. That's the only choice as of right until I get another computer."
1281353353959444520,Default,,2024-09-05T20:40:45.978+00:00,snowbunslc,Mimi P. [UT] • Lead Moo 🐄,690265089013842114,assets\9a1cf4df2df35afc17dbc2d78b623d4a-06B66.png,"Sorry to try and confirm the obvious, but you are trying to use your Discord log in on your tablet, not your reach app log in information? They are not connected."
1281364451500490753,Default,,2024-09-05T21:24:51.838+00:00,benitastills,Benita Stills,1266771108980326481,assets\8569adcbd36c70a7578c017bf5604ea5-3DF1E.png,<@690265089013842114> I have a surface pro computer and Tablet all in one. I will try that and get back to you. Tomorrow ( Friday)
1281365588631093320,Reply,1281364451500490753,2024-09-05T21:29:22.951+00:00,snowbunslc,Mimi P. [UT] • Lead Moo 🐄,690265089013842114,assets\9a1cf4df2df35afc17dbc2d78b623d4a-06B66.png,Thank you for checking!
1281779040797200487,Default,,2024-09-07T00:52:17.629+00:00,benitastills,Benita Stills,1266771108980326481,assets\8569adcbd36c70a7578c017bf5604ea5-3DF1E.png,<@690265089013842114> I will probably make phone calls on my mobile phone
1281780311725834250,Reply,1281364451500490753,2024-09-07T00:57:20.642+00:00,carb.on,Carolyn B [CA] • Lead Mod,568257600228032512,assets\28a90c77b5793d80eb62484a43c66748-D8837.png,"Hi Benita, you can access Discord in your browser on your Surface Pro. Take care to use your Discord password instead of your Reach password."
1281780903906902166,Default,,2024-09-07T00:59:41.829+00:00,benitastills,Benita Stills,1266771108980326481,assets\8569adcbd36c70a7578c017bf5604ea5-3DF1E.png,"I will need a new password for Discord. I use the reach password for Discord, but that was on my mobile phone ."
1281781532997976074,Default,,2024-09-07T01:02:11.816+00:00,benitastills,Benita Stills,1266771108980326481,assets\8569adcbd36c70a7578c017bf5604ea5-3DF1E.png,"Ok, it's because it's on a browser. I will try that before I do texting @6pm to 7pm"
1281782137422614539,Default,,2024-09-07T01:04:35.922+00:00,benitastills,Benita Stills,1266771108980326481,assets\8569adcbd36c70a7578c017bf5604ea5-3DF1E.png,Is it www.Discord.com?? Or something else?
1281785219334148208,Default,,2024-09-07T01:16:50.707+00:00,carb.on,Carolyn B [CA] • Lead Mod,568257600228032512,assets\28a90c77b5793d80eb62484a43c66748-D8837.png,"https://discord.com/ if you made your account with the same password as reach that is fine if it's easier for you to remember, just less secure than different passwords"
