id,type,ref_to,timestamp,author_name,author_nickname,author_id,author_avatar_url,content
1283049641558147156,Default,,2024-09-10T13:01:12.457+00:00,sdav54,Sharon,1233108524020662353,assets\28a31548820cbe836dc3e49b6cb90bf3-EB3DF.png,I am not able to upload links from Reach into Threads. Is there a solution for this?
1283052347765035080,Default,,2024-09-10T13:11:57.667+00:00,opheliawild,Ophelia W • Lead Mod,957714233217409174,assets\8b706a86e5f9b8dcaaa950a7500b77b8-E1341.png,"Hi Sharon, I could not find any solutions for you online but am tagging someone who might know. <@&1252689433208291358>"
1283052763537735761,Default,,2024-09-10T13:13:36.795+00:00,sdav54,Sharon,1233108524020662353,assets\28a31548820cbe836dc3e49b6cb90bf3-EB3DF.png,Thanks
1283438573995167854,Reply,1283052763537735761,2024-09-11T14:46:41.176+00:00,jessica033389,Jessica Puchala (MD) [OE Lead],869778676986814514,assets\37de34190564f7c9acae5895cc884c8a-6F9C7.png,"Sometimes Reach doesn't work perfectly with every social network. For example, it will take me to BlueSky but the image won't populate. In cases like that I simply upload the image from my phone to the social network (do a workaround). That may be the case with Threads. Thanks for your help sharing this important content with your connections. We appreciate it!"
1283450017746518077,Reply,1283438573995167854,2024-09-11T15:32:09.579+00:00,sdav54,Sharon,1233108524020662353,assets\28a31548820cbe836dc3e49b6cb90bf3-EB3DF.png,I thought you had fixed it. It started working with Threads last night.  Just in time for the debate. <:blueheart:1252803082849488956>
1283457636611657749,Reply,1283450017746518077,2024-09-11T16:02:26.058+00:00,opheliawild,Ophelia W • Lead Mod,957714233217409174,assets\8b706a86e5f9b8dcaaa950a7500b77b8-E1341.png,Sounds like it glitched. Seems like everything gets glitchy these days from Discord to Reach to my phone. 😂 Glad it's working now!
1283483914295316480,Default,,2024-09-11T17:46:51.146+00:00,scottinoregon,ScottInOregon,603364908691750933,assets\3d6a4829a653d1b62b8e0dc65322c487-F6EF8.png,"Is there a campaign code

Elsewhere on this server it was listed as ZUMT5Q but that's not working."
1283484874258382880,Reply,1283483914295316480,2024-09-11T17:50:40.019+00:00,kyaizen,Jared R [CO] • Lead Mod,112080668296564736,assets\a_de0e3d4a3f9b486ad3ad6df0d72323da-D0252.gif,It shouldn't have changed. Maybe try deleting your cache and refreshing to try again?
1283494693556191244,Reply,1283483914295316480,2024-09-11T18:29:41.122+00:00,carb.on,Carolyn B [CA] • Lead Mod,568257600228032512,assets\28a90c77b5793d80eb62484a43c66748-D8837.png,"Hi Scott, that is the campaign code. Try to swipe away your Reach app, or power cycle your device. ANd copy paste the code instead of typing it."
1283500267504930836,Default,,2024-09-11T18:51:50.055+00:00,scottinoregon,ScottInOregon,603364908691750933,assets\3d6a4829a653d1b62b8e0dc65322c487-F6EF8.png,Thanks
