id,type,ref_to,timestamp,author_name,author_nickname,author_id,author_avatar_url,content
1276605102106611752,Default,,2024-08-23T18:12:54.518+00:00,katherine_81059,Katherine,1275884567005237339,assets\5-E9BDB.png,"Hi! So I am hosting a virtual phone bank and submitted a request for a training facilitator and a tech captain volunteer on the google form. I haven’t heard back yet, but the dates of my planned phone bank have changed and I was wondering how to proceed with re-requesting. Thanks!"
1276605777569906708,Default,,2024-08-23T18:15:35.561+00:00,franceshaydock_20619,Frances Haydock (HFP HQ!),1257469301435400238,assets\8286d5b1308e7b3d80a3523e4ec50548-C029D.png,We’ll be in contact shortly!
1277507531215868015,Default,,2024-08-26T05:58:50.384+00:00,maryjane03892,Mary Jane,1276605419363762408,assets\8569adcbd36c70a7578c017bf5604ea5-03F73.png,
1278441329268883457,Default,,2024-08-28T19:49:25.189+00:00,karen_36843,Karen,1276014775444443136,assets\6b23d2b7a77ab8b64b25e4aa68297394-2184A.png,As a former teacher I would love to be a training facilitator. Just let me know what & when! Train me on the topic & I'll be happy to help!
1278443011138785281,Reply,1278441329268883457,2024-08-28T19:56:06.178+00:00,rootsmusic,rootsmusic,791857656897732648,assets\a30e650576a6d42a3c9ee24648f67c90-2AE37.png,See  https://discord.com/channels/1242249109298221066/1272735444672712767/1272928548553752638
1278464796567666799,Default,,2024-08-28T21:22:40.229+00:00,jean9_28218_79932,Jeannine M • Lead Mod,1266879741785538682,assets\54ff5e8dfab835d878a961f9f7b7d161-6C0EE.png,This is a great question for our Vote team! Let me see if we can get someone to help here 🙂
1278465605808160891,Reply,1278441329268883457,2024-08-28T21:25:53.167+00:00,jean9_28218_79932,Jeannine M • Lead Mod,1266879741785538682,assets\54ff5e8dfab835d878a961f9f7b7d161-6C0EE.png,"Hi, <@1276014775444443136>! To be a facilitator you need to go through training. I believe <@791857656897732648> has linked to the trainings below if you are interested in joining!"
1278467139119878217,Default,,2024-08-28T21:31:58.737+00:00,andrearogersvalen,"AndreaV, KY Call Mod",965992907981074443,assets\72d82e393a66b89996d99840a07990ec-C9EFF.png,"Our VOTE team has 3 distinct positions, including Facilitator. To train to be a part of our VOTE team, refer to this document: https://docs.google.com/document/d/1WfH8QHMgx-bFDLojWoJOtuMmx5tu2AOPZo-FMP0Aoig/edit#heading=h.sg8e2cha55q3"
1278467272318652418,Default,,2024-08-28T21:32:30.494+00:00,andrearogersvalen,"AndreaV, KY Call Mod",965992907981074443,assets\72d82e393a66b89996d99840a07990ec-C9EFF.png,This doc and more info is located here: https://discord.com/channels/1242249109298221066/1270926045499101338
1278473067949064333,Default,,2024-08-28T21:55:32.28+00:00,jean9_28218_79932,Jeannine M • Lead Mod,1266879741785538682,assets\54ff5e8dfab835d878a961f9f7b7d161-6C0EE.png,"Thank you, <@965992907981074443>! The question on training came up after, but the opening poster has a question on submitting a date change for a phone bank they are hosting and have asked for some Vote team folks to help with. Could you take a look at the top of this thread and see if you can help?"
1278480326150324350,Default,,2024-08-28T22:24:22.77+00:00,andrearogersvalen,"AndreaV, KY Call Mod",965992907981074443,assets\72d82e393a66b89996d99840a07990ec-C9EFF.png,<@1257469301435400238> was saying she'd look into it for them. I think that's our best course of action. What are the dates for the change? I think that will help Frances planning-wise.
1278681854060531806,Default,,2024-08-29T11:45:10.768+00:00,karen_36843,Karen,1276014775444443136,assets\6b23d2b7a77ab8b64b25e4aa68297394-2184A.png,<@791857656897732648>
1278774366972416032,Default,,2024-08-29T17:52:47.565+00:00,karen_36843,Karen,1276014775444443136,assets\6b23d2b7a77ab8b64b25e4aa68297394-2184A.png,"When I click on the updated resource guide the window is very tiny, thus I can't read it! Help!"
1278774751896277012,Reply,1278774366972416032,2024-08-29T17:54:19.338+00:00,rootsmusic,rootsmusic,791857656897732648,assets\a30e650576a6d42a3c9ee24648f67c90-2AE37.png,"The ""tiny window"" will open if you click on it."
1278776592063008859,Default,,2024-08-29T18:01:38.068+00:00,karen_36843,Karen,1276014775444443136,assets\6b23d2b7a77ab8b64b25e4aa68297394-2184A.png,"Have a great day, everyone! Let's bring a win for HW!!"
