id,type,ref_to,timestamp,author_name,author_nickname,author_id,author_avatar_url,content
1269377021100822541,Default,,2024-08-03T19:31:05.715+00:00,lefty_lucy_60633,Kathryn Jean [MA],1264664181697675285,assets\a9fc9fbd48b893a8bf777da59a460813-9D27B.png,"Hello! Under State Engagement, the only state I see is Mississippi. Is there a channel for each state?"
1269381272682106992,Default,,2024-08-03T19:47:59.371+00:00,opheliawild,Ophelia W • Lead Mod,957714233217409174,assets\8b706a86e5f9b8dcaaa950a7500b77b8-E1341.png,"There is, but if you want to campaign locally in more than one, let me know and I can add a few others so you can have access."
1269391701642842193,Default,,2024-08-03T20:29:25.829+00:00,lefty_lucy_60633,Kathryn Jean [MA],1264664181697675285,assets\a9fc9fbd48b893a8bf777da59a460813-9D27B.png,I am in MA
1269392519796363355,Default,,2024-08-03T20:32:40.892+00:00,carb.on,Carolyn B [CA] • Lead Mod,568257600228032512,assets\28a90c77b5793d80eb62484a43c66748-D8837.png,"You have both MA and MS now, if you don't want MS i can remove it."
1269392789666402386,Default,,2024-08-03T20:33:45.234+00:00,lefty_lucy_60633,Kathryn Jean [MA],1264664181697675285,assets\a9fc9fbd48b893a8bf777da59a460813-9D27B.png,"Yes, I love MS but I won't be campaigning there this time around. Thank you very much!"
1269393109008121976,Default,,2024-08-03T20:35:01.371+00:00,carb.on,Carolyn B [CA] • Lead Mod,568257600228032512,assets\28a90c77b5793d80eb62484a43c66748-D8837.png,done <:blueheart:1252803082849488956>
1270463621310316617,Default,,2024-08-06T19:28:51.393+00:00,kpl0nty,Karen P (MA),1266383929275846690,assets\5375c65a4b2c46bb8c35a1c5758a3435-14A31.png,Hi - I have the same question as LeftyLucy. I’m from MA but I was assigned to the @MS role and not the @MA role. Can someone please add me to @MA and remove me from @MS?
1270491636425822299,Reply,1270463621310316617,2024-08-06T21:20:10.717+00:00,tenaciousg27,Gillian D [TX] • Lead Mod,763374129772363776,assets\bfccaff89d7c287575ef163d39d3bde8-053E1.png,done <:blueheart:1252803082849488956>
1270570536967209012,Reply,1270491636425822299,2024-08-07T02:33:42.072+00:00,kpl0nty,Karen P (MA),1266383929275846690,assets\5375c65a4b2c46bb8c35a1c5758a3435-14A31.png,Thanks!
1277425132880662575,Default,,2024-08-26T00:31:25.09+00:00,glcap03,Grace (NYC/CT),1277409909624799284,assets\687adbf7f172a15dffcc103240e59b59-2840E.png,"Hi there, similar question! Can I be added to Connecticut as well as New York?"
1277426294195224718,Reply,1277425132880662575,2024-08-26T00:36:01.969+00:00,carb.on,Carolyn B [CA] • Lead Mod,568257600228032512,assets\28a90c77b5793d80eb62484a43c66748-D8837.png,"Hi Grace you have CT and NY, you can choose as many as you want in the Channels and Roles at the top of the server menu."
1277426388835631248,Reply,1277426294195224718,2024-08-26T00:36:24.533+00:00,glcap03,Grace (NYC/CT),1277409909624799284,assets\687adbf7f172a15dffcc103240e59b59-2840E.png,"Oh, I see! Thank you so much"
