id,type,ref_to,timestamp,author_name,author_nickname,author_id,author_avatar_url,content
1286069870743650304,Default,,2024-09-18T21:02:31.208+00:00,dchallans1952,Debby Challans IL,1266489519008645253,assets\c2e5a32c5930dcb7993a3735359b37a1-B33E8.png,"I recently completed text training for the Kamala Harris virtual office.  I'm already a texter in the Gavin Newsome virtual office and Scale to Win (Spoke).  I got a link from a moderator to log in or create an account for Scale To Win for Harris texting.  When I initiate the link and try to log in it says the password may be wrong.  I tried to change the password by asking for a link to be sent to my email address.  It says it sent it, but I'm not receiving it and it isn't in SPAM.  Please help!"
1286071283335036958,Default,,2024-09-18T21:08:07.996+00:00,gomommago,MaryBeth V [CO] MOD,1061334122716479618,assets\1c5b81e52321d16fe092ed1beedc9650-6BAD6.png,"Hi Debby!  Welcome to the server, and to this lovely group of volunteers.  You should have access to <#1266829704204386334> .  A moderator there should be able to help you further, or you could continue the conversation with the moderator who sent you the original link."
1286071740413251736,Default,,2024-09-18T21:09:56.972+00:00,dchallans1952,Debby Challans IL,1266489519008645253,assets\c2e5a32c5930dcb7993a3735359b37a1-B33E8.png,I've DM'd the moderator several times today with no response.  I'm wondering if I have a problem with sending DM's.
1286074790511120509,Default,,2024-09-18T21:22:04.172+00:00,carb.on,Carolyn B [CA] • Lead Mod,568257600228032512,assets\28a90c77b5793d80eb62484a43c66748-D8837.png,"Hi <@1266489519008645253> can you click on Channels & Roles near the top of the left menu and in that window pick ""text voters in key states"" this will open the text-team-welcome channel for you."
1286074946472251484,Reply,1286071740413251736,2024-09-18T21:22:41.356+00:00,gomommago,MaryBeth V [CO] MOD,1061334122716479618,assets\1c5b81e52321d16fe092ed1beedc9650-6BAD6.png,"Moderators often work in 2 hour shifts -- we are volunteers, too.  So your best bet is to post your query in <#1266829704204386334> .  Patience is hard some times, but we're worth it, I promise! 🙂"
1286076269691277333,Default,,2024-09-18T21:27:56.836+00:00,gomommago,MaryBeth V [CO] MOD,1061334122716479618,assets\1c5b81e52321d16fe092ed1beedc9650-6BAD6.png,"Oh!  And you apparently need to select ""Text Voters in Key States"" in the customize section of <id:customize>  to get access to <#1266829704204386334> .  Sorry about that omission!"
1286076867857874965,Reply,1286074946472251484,2024-09-18T21:30:19.45+00:00,dchallans1952,Debby Challans IL,1266489519008645253,assets\c2e5a32c5930dcb7993a3735359b37a1-B33E8.png,"I did post it in text team welcome which I've had all day.   And, text voters in key states was already selected."
1286077356016013323,Default,,2024-09-18T21:32:15.836+00:00,carb.on,Carolyn B [CA] • Lead Mod,568257600228032512,assets\28a90c77b5793d80eb62484a43c66748-D8837.png,I forwarded this to the text admins.
1286077398835527761,Default,,2024-09-18T21:32:26.045+00:00,dchallans1952,Debby Challans IL,1266489519008645253,assets\c2e5a32c5930dcb7993a3735359b37a1-B33E8.png,There's something going on with the sign in to Scale to Win.  I can get there through the GN virtual office but not the KH one.
1286077510018400368,Default,,2024-09-18T21:32:52.553+00:00,dchallans1952,Debby Challans IL,1266489519008645253,assets\c2e5a32c5930dcb7993a3735359b37a1-B33E8.png,Thank you!
