id,type,ref_to,timestamp,author_name,author_nickname,author_id,author_avatar_url,content
1279852324281520210,Default,,2024-09-01T17:16:12.615+00:00,marian_13468,Marian Wallis (FL),1279572287389044757,assets\1-B2132.png,"Hi,  yesterday I trained for texting and not sure where to go from here. I did not get a link. Unsure how to start. thanks!"
1279852834455556168,Default,,2024-09-01T17:18:14.25+00:00,kyaizen,Jared R [CO] • Lead Mod,112080668296564736,assets\a_de0e3d4a3f9b486ad3ad6df0d72323da-D0252.gif,"Hi, Marian. <@477560366432256000> Could you or another text mod help?"
1279853841520787487,Default,,2024-09-01T17:22:14.353+00:00,jjoannid,Jack Joannides KC text admin,477560366432256000,assets\791c521e62160be1f3df04992f6e5470-36A38.png,Yea in an second.
1279853875741982741,Default,,2024-09-01T17:22:22.512+00:00,jjoannid,Jack Joannides KC text admin,477560366432256000,assets\791c521e62160be1f3df04992f6e5470-36A38.png,Can you add your display name.
1279854085318770729,Default,,2024-09-01T17:23:12.479+00:00,marian_13468,Marian Wallis (FL),1279572287389044757,assets\1-B2132.png,is this it?   marian_13468
1279856405477851207,Default,,2024-09-01T17:32:25.648+00:00,kyaizen,Jared R [CO] • Lead Mod,112080668296564736,assets\a_de0e3d4a3f9b486ad3ad6df0d72323da-D0252.gif,"You'll want to edit your server profile to your first & last name. If you right click your name in the members section <a:arrow4:1269736547213901865> there should be ""Edit Server Profile"""
1279857208930078733,Default,,2024-09-01T17:35:37.206+00:00,kyaizen,Jared R [CO] • Lead Mod,112080668296564736,assets\a_de0e3d4a3f9b486ad3ad6df0d72323da-D0252.gif,"""We ask that everyone has a first and last name listed as their Display Name in Discord. This is important so we can quickly assign you texts if needed, or take a look at a conversation if you have a texting question. You don't need to use your real last name if you prefer not to - it just has to be the same last name in Discord and in Scale to Win!"""
1279859686455377921,Default,,2024-09-01T17:45:27.894+00:00,marian_13468,Marian Wallis (FL),1279572287389044757,assets\1-B2132.png,"I added my last name. Can you check to see if I did this correctly? Sorry, but I have to use my real last name and it has to be the same in discord. I'm  just not following what needs to be done."
1279859911999750226,Default,,2024-09-01T17:46:21.668+00:00,kyaizen,Jared R [CO] • Lead Mod,112080668296564736,assets\a_de0e3d4a3f9b486ad3ad6df0d72323da-D0252.gif,That's perfect! Jack should be able to assist when he has a moment.
1279860671558848582,Default,,2024-09-01T17:49:22.761+00:00,jjoannid,Jack Joannides KC text admin,477560366432256000,assets\791c521e62160be1f3df04992f6e5470-36A38.png,You should be added in 24-72 hours from the point that you took the training.
1279861672365789316,Default,,2024-09-01T17:53:21.372+00:00,marian_13468,Marian Wallis (FL),1279572287389044757,assets\1-B2132.png,okay thank you.!
1279861923340619806,Default,,2024-09-01T17:54:21.209+00:00,jjoannid,Jack Joannides KC text admin,477560366432256000,assets\791c521e62160be1f3df04992f6e5470-36A38.png,No problem.
