id,type,ref_to,timestamp,author_name,author_nickname,author_id,author_avatar_url,content
1289790726133252167,Default,,2024-09-29T03:27:52.263+00:00,pmcall5087,Pam M [Data Capt Phonebank],511092884397621250,assets\466b372848caf0625d0c08920cd34354-9C311.png,"Hi, I just did my shadow shift as a data captain and would like to get into the relevant channels so I can finish reviewing all the info. Thanks!"
1289804294391861318,Default,,2024-09-29T04:21:47.188+00:00,carb.on,Carolyn B [CA] • Lead Mod,568257600228032512,assets\28a90c77b5793d80eb62484a43c66748-D8837.png,Hi <@511092884397621250> the KC team leads should be reaching out with a DM (direct message) soon.
1289961835008888974,Default,,2024-09-29T14:47:47.798+00:00,klala007,Kayla B-N,1277436429466861606,assets\d5f560e414b25eb0516b7dc2b583e893-B2AC0.png,I’m also looking forward to joining the relevant KC channels 🙂 It was great shadowing with you yesterday evening <@511092884397621250> ! Looking forward to my first chat captain shift tonight <:harris_walz_blue:1274776851805372508> 🚀
1290317687209328660,Default,,2024-09-30T14:21:49.574+00:00,apainter2023,apainter,1102024350800040029,assets\ba7ffc166f0d46fcc81f8886e3e7ddc4-5CE8A.png,Our country is under attack from within. We must all sound the alarm. How can we get this video of the want-to-be dictator and his allies out to Kamala supporters.  The video shows clearly the danger and why we must elect Harris/Walz: https://www.facebook.com/permalink.php?story_fbid=pfbid0xS9HJ4WLwQwf95hY7nok5F4D5gtY57QivKNfz6UiTxUjrp5qbc4HwM7qJju3SbGEl&id=61563578667705
1290332227221323786,Default,,2024-09-30T15:19:36.183+00:00,carb.on,Carolyn B [CA] • Lead Mod,568257600228032512,assets\28a90c77b5793d80eb62484a43c66748-D8837.png,Hello <@1102024350800040029> I encourage you to ask about your video in https://discord.com/channels/1242249109298221066/1250550849998946417
1290333595235520533,Default,,2024-09-30T15:25:02.343+00:00,apainter2023,apainter,1102024350800040029,assets\ba7ffc166f0d46fcc81f8886e3e7ddc4-5CE8A.png,Thank you. Shall do!
1290437145453924362,Default,,2024-09-30T22:16:30.639+00:00,kpastor0967,Kpastor,1242632205931646986,assets\5e3f71866923858aa86b4e8de7b04d21-B4E02.png,where do i sign up for my shadow shift?
1290440744431124480,Default,,2024-09-30T22:30:48.702+00:00,carb.on,Carolyn B [CA] • Lead Mod,568257600228032512,assets\28a90c77b5793d80eb62484a43c66748-D8837.png,Hi <@1242632205931646986> is the shadow with Kamalas Captains?
1290440820385644546,Default,,2024-09-30T22:31:06.811+00:00,kpastor0967,Kpastor,1242632205931646986,assets\5e3f71866923858aa86b4e8de7b04d21-B4E02.png,yes
1290464294806356071,Reply,1289790726133252167,2024-10-01T00:04:23.549+00:00,ekbraun_89321,ekbraun,1251730894046367785,assets\4-4551A.png,"<@511092884397621250> <@1277436429466861606> Just checking: Did you fill out a KC debrief a? When I was going through training, this is where I submitted my discord ID info, so I could be added to the KC channels.

I will DM you the debrief link. Look for the DM in the upper left corner of the screen.

If you get stuck, DM and I will help you out."
1290464946232102984,Reply,1290464294806356071,2024-10-01T00:06:58.861+00:00,kyaizen,Jared R [CO] • Lead Mod,112080668296564736,assets\a_de0e3d4a3f9b486ad3ad6df0d72323da-D0252.gif,"Hi, thanks for helping out. Can you remove that doc link please? Feel free to send via DM but this is a public channel."
1290465016448942132,Reply,1290437145453924362,2024-10-01T00:07:15.602+00:00,ekbraun_89321,ekbraun,1251730894046367785,assets\4-4551A.png,"Hi -- You can just show up to any shift and rename yourself, ""Shadow Chat Captain Kpastor"" or ""Shadow Data Captain Kpastor"" and then introduce yourself to the other KCs. They will help you out, but mostly it is about watching the run of flow.

After the shift, the KC team has a 15 min debrief. Move yourself to the ""KC Room"" at the top of the hour to get any questions answered. 

Pls DM if you have any q's."
1290472152432119818,Default,,2024-10-01T00:35:36.953+00:00,kpastor0967,Kpastor,1242632205931646986,assets\5e3f71866923858aa86b4e8de7b04d21-B4E02.png,Thank you 💙
1290493814468902922,Reply,1290464294806356071,2024-10-01T02:01:41.585+00:00,pmcall5087,Pam M [Data Capt Phonebank],511092884397621250,assets\466b372848caf0625d0c08920cd34354-9C311.png,Actually I’m quite sure I did the debrief form. I’m already in the captains channels. Did I miss something? Are you helping with the onboarding?
1290501992808058974,Reply,1290493814468902922,2024-10-01T02:34:11.453+00:00,ekbraun_89321,ekbraun,1251730894046367785,assets\4-4551A.png,"Great! So glad to have you on the team! We had a big surge of new KC (which is wonderful, as the phone banks, etc, are scaling) and a bunch of new shadows have gotten a bit stuck during the process. Just wanted to make sure that you are plugged in and know your next steps. Feel free to reach out, if anything comes up.

I usually do the 9a ET shift, so pls reach out and say hi!"
1290534992815980555,Reply,1290437145453924362,2024-10-01T04:45:19.268+00:00,pmcall5087,Pam M [Data Capt Phonebank],511092884397621250,assets\466b372848caf0625d0c08920cd34354-9C311.png,https://events.democrats.org/event/708517/
1290553143658025031,Default,,2024-10-01T05:57:26.766+00:00,klala007,Kayla B-N,1277436429466861606,assets\d5f560e414b25eb0516b7dc2b583e893-B2AC0.png,"Thanks everyone, all set! And had a great first Chat Captain shift yesterday 💙"
