id,type,ref_to,timestamp,author_name,author_nickname,author_id,author_avatar_url,content
1290800136858894401,Default,,2024-10-01T22:18:54.534+00:00,kathleenjones0851,Kathleen jones [CA],1277052930255622148,assets\1-B2132.png,Is there a way to join an event happening now...I did sign up but can not find the link for all aboard telling your story...
1290800372331581491,Default,,2024-10-01T22:19:50.675+00:00,kathleenjones0851,Kathleen jones [CA],1277052930255622148,assets\1-B2132.png,(it is not on the stage...)
1290801473286049842,Reply,1290800136858894401,2024-10-01T22:24:13.163+00:00,tenaciousg27,Gillian D [TX] • Lead Mod,763374129772363776,assets\bfccaff89d7c287575ef163d39d3bde8-053E1.png,"Hi <@1277052930255622148> ! So sorry for the confusion, but I believe this event is no longer happening. We do have [Dials from Dawn 'til Dusk](https://events.democrats.org/event/704955) going right now though if you'd like to jump in! Live support is available during your calls in our <#1242256751445934262> channel!"
1290802315971788803,Default,,2024-10-01T22:27:34.075+00:00,kathleenjones0851,Kathleen jones [CA],1277052930255622148,assets\1-B2132.png,"Im still a friggin chicken....ok ok I'll do my studying and push myself....haha I thought I could use that ""my story"" event to work on it...."
1290802350906150932,Default,,2024-10-01T22:27:42.404+00:00,kathleenjones0851,Kathleen jones [CA],1277052930255622148,assets\1-B2132.png,thanks for checking for me
1290802460801368139,Default,,2024-10-01T22:28:08.605+00:00,kathleenjones0851,Kathleen jones [CA],1277052930255622148,assets\1-B2132.png,I do have a different event at 4...thanks:)
1290803446147973142,Reply,1290802315971788803,2024-10-01T22:32:03.53+00:00,tenaciousg27,Gillian D [TX] • Lead Mod,763374129772363776,assets\bfccaff89d7c287575ef163d39d3bde8-053E1.png,"Happy to help, <@1277052930255622148> <:blueheart:1252803082849488956>  The great thing about Dials from Dawn 'til Dusk is you can jump in whenever it fits your schedule, and stay as long as you like! You're doing amazing and vital work! Thank you for being brave and taking the plunge!! <:wecandoit:1002662493669298256>"
1290804546360180736,Default,,2024-10-01T22:36:25.841+00:00,kathleenjones0851,Kathleen jones [CA],1277052930255622148,assets\1-B2132.png,Thanks...I have been texting but that is very very slow and could probably be done by just a few...I really feel like they send texts to respond to just to keep us engaged bc there are so few ....and meanwhile the calls are very busy...
1290804659455524948,Reply,1290800136858894401,2024-10-01T22:36:52.805+00:00,carb.on,Carolyn B [CA] • Lead Mod,568257600228032512,assets\28a90c77b5793d80eb62484a43c66748-D8837.png,"Hi Kathleen you can sign up again. Usually the link comes to my text messages, but today links are coming to my email, so check your spam box."
1290804962707636285,Default,,2024-10-01T22:38:05.106+00:00,kathleenjones0851,Kathleen jones [CA],1277052930255622148,assets\1-B2132.png,<:thumbup:1252804076849074276>
1290805468180123680,Reply,1290804659455524948,2024-10-01T22:40:05.62+00:00,kathleenjones0851,Kathleen jones [CA],1277052930255622148,assets\1-B2132.png,"I dont have a link in my spam either....do you have the specific link for the ""using my story"" event if it is repeating?"
1290806707227721862,Default,,2024-10-01T22:45:01.032+00:00,carb.on,Carolyn B [CA] • Lead Mod,568257600228032512,assets\28a90c77b5793d80eb62484a43c66748-D8837.png,I think I have to wait to get that after the event today is finished. I'll check in a couple hours when I'm back here.
1290808311888871484,Default,,2024-10-01T22:51:23.613+00:00,kathleenjones0851,Kathleen jones [CA],1277052930255622148,assets\1-B2132.png,Great if you find it but dont worry too much...Ill check here later but also I can just peruse through the mobilize and see if I can find it 😉
1290899560373420086,Default,,2024-10-02T04:53:58.947+00:00,carb.on,Carolyn B [CA] • Lead Mod,568257600228032512,assets\28a90c77b5793d80eb62484a43c66748-D8837.png,"Hi <@1277052930255622148> I found out that event is cancelled. But we have a lot of other fun events. Folks have been saying great things about Dials Dawn to Dusk, you get to do it on your own time with 100% support from our incredible team. And if calls don't make you feel the best, I can share some alternatives."
1290904091777830947,Default,,2024-10-02T05:11:59.318+00:00,kathleenjones0851,Kathleen jones [CA],1277052930255622148,assets\1-B2132.png,Thanks;)
