id,type,ref_to,timestamp,author_name,author_nickname,author_id,author_avatar_url,content
1294269546290745355,Default,,2024-10-11T12:05:06.201+00:00,aet0765,AMY T,1289672099132346448,assets\39203a97c0b1ee545a57a6c7bc53a079-E7957.png,How do I see my password ? I cannot remember it and it is not showing up on my profile.
1294270101469663274,Default,,2024-10-11T12:07:18.566+00:00,remarkable_beetle_72908,Lee Warner (NJ) • Mod,1268363534132183122,assets\993758d16f77a3b44e8daefcbe6f8a4d-997B4.png,"HI <@1289672099132346448> i can TRY to help...do you see the little ""icon"" bottom left of you. It will say your Discord name with the little picture??"
1294281895483539567,Reply,1294270101469663274,2024-10-11T12:54:10.478+00:00,aet0765,AMY T,1289672099132346448,assets\39203a97c0b1ee545a57a6c7bc53a079-E7957.png,Yes thank you — I think I am set but I seemed to be caught in an infinite loop when I try to access discord on a computer
1294282028925325342,Default,,2024-10-11T12:54:42.293+00:00,remarkable_beetle_72908,Lee Warner (NJ) • Mod,1268363534132183122,assets\993758d16f77a3b44e8daefcbe6f8a4d-997B4.png,but you figured it out??
1294282108629684273,Default,,2024-10-11T12:55:01.296+00:00,aet0765,AMY T,1289672099132346448,assets\39203a97c0b1ee545a57a6c7bc53a079-E7957.png,Still trying to login from computer
1294282401266012170,Default,,2024-10-11T12:56:11.066+00:00,remarkable_beetle_72908,Lee Warner (NJ) • Mod,1268363534132183122,assets\993758d16f77a3b44e8daefcbe6f8a4d-997B4.png,So i take it you're on your phone now or some other device?
1294282560251367526,Default,,2024-10-11T12:56:48.971+00:00,aet0765,AMY T,1289672099132346448,assets\39203a97c0b1ee545a57a6c7bc53a079-E7957.png,Phone I cannot get this to work
1294282668451696680,Default,,2024-10-11T12:57:14.768+00:00,aet0765,AMY T,1289672099132346448,assets\39203a97c0b1ee545a57a6c7bc53a079-E7957.png,I’ve tried three times to change the password with no luck on the computer
1294282716484993024,Default,,2024-10-11T12:57:26.22+00:00,aet0765,AMY T,1289672099132346448,assets\39203a97c0b1ee545a57a6c7bc53a079-E7957.png,I’m afraid to log out on the phone
1294282853542137876,Default,,2024-10-11T12:57:58.897+00:00,aet0765,AMY T,1289672099132346448,assets\39203a97c0b1ee545a57a6c7bc53a079-E7957.png,One problem is the delay in password reset email
1294283305159491707,Default,,2024-10-11T12:59:46.571+00:00,aet0765,AMY T,1289672099132346448,assets\39203a97c0b1ee545a57a6c7bc53a079-E7957.png,Okay something worked but now
1294283358452453478,Default,,2024-10-11T12:59:59.277+00:00,aet0765,AMY T,1289672099132346448,assets\39203a97c0b1ee545a57a6c7bc53a079-E7957.png,I cannot get past the security key
1294283575834706024,Default,,2024-10-11T13:00:51.105+00:00,aet0765,AMY T,1289672099132346448,assets\39203a97c0b1ee545a57a6c7bc53a079-E7957.png,And I don’t have an 8 digit backup code
1294283736468426933,Default,,2024-10-11T13:01:29.403+00:00,remarkable_beetle_72908,Lee Warner (NJ) • Mod,1268363534132183122,assets\993758d16f77a3b44e8daefcbe6f8a4d-997B4.png,ok. hang tight. Going to try to get you help
1294284326644482080,Default,,2024-10-11T13:03:50.112+00:00,aet0765,AMY T,1289672099132346448,assets\39203a97c0b1ee545a57a6c7bc53a079-E7957.png,I did it ! Using the QR code
1294284402506858638,Default,,2024-10-11T13:04:08.199+00:00,opheliawild,Ophelia W • Lead Mod,957714233217409174,assets\8b706a86e5f9b8dcaaa950a7500b77b8-E1341.png,"Hi <@1289672099132346448>! That's fantastic news, yay! So glad it's working now!"
1294284723937349746,Default,,2024-10-11T13:05:24.834+00:00,aet0765,AMY T,1289672099132346448,assets\39203a97c0b1ee545a57a6c7bc53a079-E7957.png,Oh boy for someone my age this is really overwhelming I thought I was hip being  so savvy with email and websites
1294284780812374046,Default,,2024-10-11T13:05:38.394+00:00,aet0765,AMY T,1289672099132346448,assets\39203a97c0b1ee545a57a6c7bc53a079-E7957.png,I need a tutorial on discord
1294284808398311455,Reply,1294284723937349746,2024-10-11T13:05:44.971+00:00,remarkable_beetle_72908,Lee Warner (NJ) • Mod,1268363534132183122,assets\993758d16f77a3b44e8daefcbe6f8a4d-997B4.png,It can be very confusing- I totally understand
