id,type,ref_to,timestamp,author_name,author_nickname,author_id,author_avatar_url,content
1273289194395009074,Default,,2024-08-14T14:36:40.513+00:00,rob056147,Robin Foxx,1265870590099853372,assets\72f9b7544e1b1f68ab719d9b29997f5d-55F09.png,"Hello, looking to host a postcard writing session. Can someone help me by sending a link to order the postcards and if there is a list of people to send them to? <#1267941954243526756>"
1273297729531154443,Default,,2024-08-14T15:10:35.448+00:00,koko4857,Kelly Hewitt (WI),162720466467815424,assets\17a8aff93ff9a4a03f0ab690834ea4a7-D9DFF.png,You can check https://turnoutpac.org/postcards/
1273297825677054084,Default,,2024-08-14T15:10:58.371+00:00,koko4857,Kelly Hewitt (WI),162720466467815424,assets\17a8aff93ff9a4a03f0ab690834ea4a7-D9DFF.png,https://www.activateamerica.vote/postcards
1274412991529488525,Default,,2024-08-17T17:02:14.629+00:00,eg04927,🥳EG🌸❗,1271235477797736541,assets\4-4551A.png,"I got my get out the vote postcards yesterday, now how do I get to the names/addresses to fill them out and send them? There were no instructions in the package and now I forget which organization I got them from!"
1274430699868524605,Default,,2024-08-17T18:12:36.626+00:00,carb.on,Carolyn B [CA] • Lead Mod,568257600228032512,assets\28a90c77b5793d80eb62484a43c66748-D8837.png,"Try https://events.democrats.org/ and tap the postcard button or type ""postcard"" in the filter, you can also filter with your zip code to get events closer to you."
1274513024543096852,Reply,1274412991529488525,2024-08-17T23:39:44.358+00:00,koko4857,Kelly Hewitt (WI),162720466467815424,assets\17a8aff93ff9a4a03f0ab690834ea4a7-D9DFF.png,"Not sure, I would go to the place you signed up to get them and then contact them that way."
1274520641353027624,Reply,1274412991529488525,2024-08-18T00:10:00.347+00:00,carb.on,Carolyn B [CA] • Lead Mod,568257600228032512,assets\28a90c77b5793d80eb62484a43c66748-D8837.png,Does the package have a return address? You can look that up to see which organization sent it to you.
1278701448112115776,Default,,2024-08-29T13:03:02.354+00:00,deveautrain8014,deveautrain,692908285602562110,assets\e2c6942a0cbfd2c11f3b9a7b889ca5ce-DE3C4.png,I am looking for support for  bilingual volunteers who wants to work with targeted letter or postcard writing. If there are needs for writing postcards in spanish and mandarin would someone please connect me so I can connect them?
1278734730912600085,Reply,1278701448112115776,2024-08-29T15:15:17.592+00:00,rootsmusic,rootsmusic,791857656897732648,assets\a30e650576a6d42a3c9ee24648f67c90-2AE37.png,See list of ALL postcarding campaigns at https://discord.com/channels/1242249109298221066/1268426751164551199/1278734455951065119
1278806589775806547,Reply,1273297729531154443,2024-08-29T20:00:50.08+00:00,hearmyselfthink,HearMyselfThink,504769364738703360,assets\71d5aadfd2ab50aae7e689933099122f-AACFE.png,the turnoutpac link istn't working for me
1278807773114531943,Reply,1278806589775806547,2024-08-29T20:05:32.21+00:00,carb.on,Carolyn B [CA] • Lead Mod,568257600228032512,assets\28a90c77b5793d80eb62484a43c66748-D8837.png,"It looks like their internet is down, check again in a few minutes"
1278845596505079930,Default,,2024-08-29T22:35:50.009+00:00,fltadmlwolf,Jordan K.,201533180434448385,assets\29da332e3f8721844d4eab7d9c8b42fa-62E9F.png,Here's another postcarding campaign: https://action.momsrising.org/survey/2024_Postcards_May/
1279512247001153628,Default,,2024-08-31T18:44:51.873+00:00,rootsmusic,rootsmusic,791857656897732648,assets\a30e650576a6d42a3c9ee24648f67c90-2AE37.png,[Postcards for America](https://www.postcardsforamerica.com/gotv-postcards.html) is the largest postcarding community and has a master list of postcarding campaigns.
1279545732692709397,Reply,1278845596505079930,2024-08-31T20:57:55.484+00:00,heather0392370,Heather Lisy,1277789858928136264,assets\fa981c65f09aac449df30e921bd3e327-5B2D3.png,MomsRising is one of the few organizations that send postcards with stamps.
