id,type,ref_to,timestamp,author_name,author_nickname,author_id,author_avatar_url,content
1277629803947884637,21,1277629422849228810,2024-08-26T14:04:42.475+00:00,martarichenburg_59797,Marta Richenburg,1260983976483356767,assets\a57efb34b9ef35ed7f644aca5ab803aa-F2CBD.png,
1277629805621149759,Default,,2024-08-26T14:04:42.874+00:00,martarichenburg_59797,Marta Richenburg,1260983976483356767,assets\a57efb34b9ef35ed7f644aca5ab803aa-F2CBD.png,Happy to help! What is the question?
1277632235540840560,Default,,2024-08-26T14:14:22.212+00:00,lapfel2024_81383,apfel4harris (NY/abroad),1274293080794595339,assets\1303b6be213537796f03663d46f2634d-369E3.png,"Hello Marta: I'm a US citizen who lives abroad, with past careers in journalism, communications/PR, and law (my profession for the last +12 years has been technical program management). I've applied to help both the main Harris/Walz HQ content brigade and a comms team run by Dems Abroad, but haven't heard back yet from either. I'm interested in drafting texts (whatever's needed) for the campaign teams to polish up and use. For online engagement, I'd be happy to draft posts or responses for others to edit as they/you see fit and use. As for posting messages myself: I only have a LinkedIn account nowadays, so my own reach is limited. I haven't joined an Online Engagement training yet because I don't have a US phone number—would set up a G-Voice number to use for registration if it makes sense for me to join a training."
1277632440613212305,Default,,2024-08-26T14:15:11.105+00:00,lapfel2024_81383,apfel4harris (NY/abroad),1274293080794595339,assets\1303b6be213537796f03663d46f2634d-369E3.png,"Sorry to be such a snowflake. Probably my best bet would be to join the Dems Abroad comms team, as Dems Abroad have insta-infrastructure for those of us living abroad. But I've not heard back and time's passing..."
1277632883061686386,Default,,2024-08-26T14:16:56.593+00:00,lapfel2024_81383,apfel4harris (NY/abroad),1274293080794595339,assets\1303b6be213537796f03663d46f2634d-369E3.png,FWIW I will help Dems Abroad with phone banking later this week (did the training but have a language exam on Fri so will wait till then to start)
1277639995620065352,Default,,2024-08-26T14:45:12.359+00:00,martarichenburg_59797,Marta Richenburg,1260983976483356767,assets\a57efb34b9ef35ed7f644aca5ab803aa-F2CBD.png,Hi! I am going to send this over to my team and see what they say!
1277642991804092530,Default,,2024-08-26T14:57:06.705+00:00,lapfel2024_81383,apfel4harris (NY/abroad),1274293080794595339,assets\1303b6be213537796f03663d46f2634d-369E3.png,Thanks so much for the help
1277681720505667604,Default,,2024-08-26T17:31:00.347+00:00,rootsmusic,rootsmusic,791857656897732648,assets\a30e650576a6d42a3c9ee24648f67c90-2AE37.png,<@1260983976483356767> Other professional writers in the U.S. with a similar question at https://discord.com/channels/1242249109298221066/1276962283112628305/1276962283112628305
1277766830873772134,Reply,1277681720505667604,2024-08-26T23:09:12.24+00:00,lapfel2024_81383,apfel4harris (NY/abroad),1274293080794595339,assets\1303b6be213537796f03663d46f2634d-369E3.png,Thanks -- just left a brief message there reitering my interest
1277767622573817947,Reply,1277632235540840560,2024-08-26T23:12:20.996+00:00,rootsmusic,rootsmusic,791857656897732648,assets\a30e650576a6d42a3c9ee24648f67c90-2AE37.png,"Applications to the Content Brigade takes about a week to be reviewed, but that team is really for visual content."
1277770977366900787,Reply,1277767622573817947,2024-08-26T23:25:40.841+00:00,lapfel2024_81383,apfel4harris (NY/abroad),1274293080794595339,assets\1303b6be213537796f03663d46f2634d-369E3.png,"Ah, can't really help there so much"
1277782209306038344,Default,,2024-08-27T00:10:18.744+00:00,martarichenburg_59797,Marta Richenburg,1260983976483356767,assets\a57efb34b9ef35ed7f644aca5ab803aa-F2CBD.png,Yes! I am still hunting down the anwser here! This is not something our team is in charge of so I am hunting down the right point of contact!
