id,type,ref_to,timestamp,author_name,author_nickname,author_id,author_avatar_url,content
1277007361474691133,Default,,2024-08-24T20:51:20.625+00:00,roxannehawn_co,Roxanne Hawn [CO],1269422782182195340,assets\e3ca4980e3926ec765205a72069091cf-DD92A.png,It sure seems like almost no one sees my social media posts about the campaign -- especially if I use hashtags. Anyone else feel like their reach online has fallen?
1277236227728474164,Reply,1277007361474691133,2024-08-25T12:00:46.592+00:00,zunny74,Zunny A. (AK),1199911282623664181,assets\b4ef549817e2b5f7cbfce7d56ccac071-EE8C8.png,What platform are you using?
1277269832429207563,Reply,1277236227728474164,2024-08-25T14:14:18.577+00:00,roxannehawn_co,Roxanne Hawn [CO],1269422782182195340,assets\e3ca4980e3926ec765205a72069091cf-DD92A.png,"I use Twitter, FB, IG, and Spoutable."
1277325407774965872,Reply,1277269832429207563,2024-08-25T17:55:08.772+00:00,zunny74,Zunny A. (AK),1199911282623664181,assets\b4ef549817e2b5f7cbfce7d56ccac071-EE8C8.png,"For Twitter, https://discord.com/channels/1242249109298221066/1250550849998946417/1276618984619380847"
1277325595390382195,Default,,2024-08-25T17:55:53.503+00:00,zunny74,Zunny A. (AK),1199911282623664181,assets\b4ef549817e2b5f7cbfce7d56ccac071-EE8C8.png,Try messaging A Hwei with Words for assistance
1277351159048306688,Reply,1277325595390382195,2024-08-25T19:37:28.354+00:00,roxannehawn_co,Roxanne Hawn [CO],1269422782182195340,assets\e3ca4980e3926ec765205a72069091cf-DD92A.png,I cannot find a user by that name. I don't find Discord intuitive. (ha ha)
1277353430897135678,Reply,1277351159048306688,2024-08-25T19:46:30.005+00:00,zunny74,Zunny A. (AK),1199911282623664181,assets\b4ef549817e2b5f7cbfce7d56ccac071-EE8C8.png,I apoligize. I see now that her user name is Fvze. Do you see the search up in the right hand corner of the screen?
1277353925208445002,Default,,2024-08-25T19:48:27.858+00:00,zunny74,Zunny A. (AK),1199911282623664181,assets\b4ef549817e2b5f7cbfce7d56ccac071-EE8C8.png,"There have been some known problems on Twitter. When I searched before I saw she was having good results with a method she was using. I think she can help you more effectively than I can. As for your other posts, are others trolling your account or just not seeing your posts?"
1277375383825551360,Default,,2024-08-25T21:13:43.991+00:00,fvze,A Hwei with Words,123909927218577410,assets\fc92ed0b2e4c41a9279086118f3e9de6-0564D.png,Hello!
1277375560338903143,Reply,1277007361474691133,2024-08-25T21:14:26.075+00:00,fvze,A Hwei with Words,123909927218577410,assets\fc92ed0b2e4c41a9279086118f3e9de6-0564D.png,Can I peep your twitter?
1277375622800347289,Default,,2024-08-25T21:14:40.967+00:00,fvze,A Hwei with Words,123909927218577410,assets\fc92ed0b2e4c41a9279086118f3e9de6-0564D.png,any specific posts you want insight about?
1277386706953175152,Reply,1277351159048306688,2024-08-25T21:58:43.635+00:00,zunny74,Zunny A. (AK),1199911282623664181,assets\b4ef549817e2b5f7cbfce7d56ccac071-EE8C8.png,Are you having any luck?
1277396251679391756,Default,,2024-08-25T22:36:39.275+00:00,fvze,A Hwei with Words,123909927218577410,assets\fc92ed0b2e4c41a9279086118f3e9de6-0564D.png,"I sent a dm, let's see how that goes"
1277396651547430973,Reply,1277375560338903143,2024-08-25T22:38:14.611+00:00,roxannehawn_co,Roxanne Hawn [CO],1269422782182195340,assets\e3ca4980e3926ec765205a72069091cf-DD92A.png,"Thanks. Here's my most recent Twitter post. 
https://x.com/roxannehawn/status/1827827297778373106"
1277407932840939561,Reply,1277396651547430973,2024-08-25T23:23:04.281+00:00,zunny74,Zunny A. (AK),1199911282623664181,assets\b4ef549817e2b5f7cbfce7d56ccac071-EE8C8.png,"I reshared it, lets see if that helps"
1277408940635717715,Reply,1277407932840939561,2024-08-25T23:27:04.558+00:00,roxannehawn_co,Roxanne Hawn [CO],1269422782182195340,assets\e3ca4980e3926ec765205a72069091cf-DD92A.png,Thanks!
