id,type,ref_to,timestamp,author_name,author_nickname,author_id,author_avatar_url,content
1271880755869388902,21,1271879295983292438,2024-08-10T17:20:02.601+00:00,jessica033389,Jessica Puchala (MD) [OE Lead],869778676986814514,assets\37de34190564f7c9acae5895cc884c8a-6F9C7.png,
1271880757316554886,Default,,2024-08-10T17:20:02.946+00:00,jessica033389,Jessica Puchala (MD) [OE Lead],869778676986814514,assets\37de34190564f7c9acae5895cc884c8a-6F9C7.png,Hi! Thanks so much for volunteering with us. We appreciate the question. A lot of work has been happening behind the scenes to transition the campaign to Harris. You should see NEW videos and graphics in appropriate places within Reach to use. Staff will continue to update Reach and revisit the content.
1271883158031171594,Default,,2024-08-10T17:29:35.321+00:00,skylarsharif,Shitpost Perilous,1025591741815980082,assets\ab855bf9c258d2f72bf7424524e91242-39267.png,This content is so good but the copy needs updating
1271883284082589719,Default,,2024-08-10T17:30:05.374+00:00,skylarsharif,Shitpost Perilous,1025591741815980082,assets\ab855bf9c258d2f72bf7424524e91242-39267.png,
1271886525055107203,Reply,1271883284082589719,2024-08-10T17:42:58.082+00:00,jessica033389,Jessica Puchala (MD) [OE Lead],869778676986814514,assets\37de34190564f7c9acae5895cc884c8a-6F9C7.png,"New content is created every day for the campaign by staff as well as by volunteer editors and graphic artists. It is what fills Reach. Older Biden content may not necessarily be ""updated"" as you mention, since the teams are generally focusing on the current situation in the new Harris campaign. I encourage you to view the newest volunteer created content (before it even hits Reach sometimes) right here in Discord at <#1250876565366243348>. In addition, you can see the very latest from the campaign accounts on social at <#1252676126698897429>. Yes, please use Reach. I strongly suggest focusing on the newest additions however. Thanks again for joining us!"
1271886921324560384,Default,,2024-08-10T17:44:32.56+00:00,skylarsharif,Shitpost Perilous,1025591741815980082,assets\ab855bf9c258d2f72bf7424524e91242-39267.png,"Thanks, do you ever take suggestions. One thing for my family is border and fentanyl. My nephew was addicted and thankfully sober now but showing that messages would be impactful for them bc trump just lies and stops progress and Kamala is making real impact and I need tools to show them"
1271887627590565941,Reply,1271886921324560384,2024-08-10T17:47:20.947+00:00,jessica033389,Jessica Puchala (MD) [OE Lead],869778676986814514,assets\37de34190564f7c9acae5895cc884c8a-6F9C7.png,"Thank you for sharing. Yes, the teams are very responsive to feedback. I personally suggest joining us for the weekly meeting where we regularly ask for and discuss ideas! We call that event the Weekly Messaging Briefing now. You can sign up for it here: https://events.democrats.org/event/616415/ Appreciate your help educating other voters. Enjoy the weekend."
1271887654299897867,Default,,2024-08-10T17:47:27.315+00:00,skylarsharif,Shitpost Perilous,1025591741815980082,assets\ab855bf9c258d2f72bf7424524e91242-39267.png,Also I can volunteer my time if you ever need help. I run the data strategy team for top 10 international ad agency. Here’s my LinkedIn profile
1271887665024995339,Default,,2024-08-10T17:47:29.872+00:00,skylarsharif,Shitpost Perilous,1025591741815980082,assets\ab855bf9c258d2f72bf7424524e91242-39267.png,https://www.linkedin.com/in/skylarsteward?utm_source=share&utm_campaign=share_via&utm_content=profile&utm_medium=ios_app
1271887763083628594,Default,,2024-08-10T17:47:53.251+00:00,skylarsharif,Shitpost Perilous,1025591741815980082,assets\ab855bf9c258d2f72bf7424524e91242-39267.png,I’ve donated and willing to help however I can
1271889283317366786,Default,,2024-08-10T17:53:55.703+00:00,jessica033389,Jessica Puchala (MD) [OE Lead],869778676986814514,assets\37de34190564f7c9acae5895cc884c8a-6F9C7.png,"Thanks for donating to the campaign and volunteering. I see that you're already signed up to help us in a number of ways. While I'm not aware of opportunities to volunteer best utilizing your skills as a data strategist, we do offer opportunities to join our texting team, our event hosting team, and more. You can find many opportunities posted here: https://events.democrats.org Thanks again for your support!"
