id,type,ref_to,timestamp,author_name,author_nickname,author_id,author_avatar_url,content
1275819185347493944,21,1275809025463812178,2024-08-21T14:09:57.361+00:00,rootsmusic,rootsmusic,791857656897732648,assets\a30e650576a6d42a3c9ee24648f67c90-2AE37.png,
1275819188098695231,Default,,2024-08-21T14:09:58.017+00:00,rootsmusic,rootsmusic,791857656897732648,assets\a30e650576a6d42a3c9ee24648f67c90-2AE37.png,"Good job!  The action points are per share.  So presumably, <@881163607474335764> shared more than once."
1275822027919462526,Default,,2024-08-21T14:21:15.083+00:00,mjr92017515,Martin Rafanan,881163607474335764,assets\923536977cf95adafe3d735dafaab791-65377.png,This is Martin.  I’m personally messaging each of my multiple Thousand linked in friends. These people trust my voice and I’m having fun contacting old friends. The response has been excellent.
1275822312360509492,Default,,2024-08-21T14:22:22.899+00:00,mjr92017515,Martin Rafanan,881163607474335764,assets\923536977cf95adafe3d735dafaab791-65377.png,I’ve had over fifty significant conversations as a result of these messages
1275822417574494304,Default,,2024-08-21T14:22:47.984+00:00,mjr92017515,Martin Rafanan,881163607474335764,assets\923536977cf95adafe3d735dafaab791-65377.png,I’m leaving now contact unturned
1275822448138260490,Default,,2024-08-21T14:22:55.271+00:00,mjr92017515,Martin Rafanan,881163607474335764,assets\923536977cf95adafe3d735dafaab791-65377.png,No
1275822682184745064,Default,,2024-08-21T14:23:51.072+00:00,mjr92017515,Martin Rafanan,881163607474335764,assets\923536977cf95adafe3d735dafaab791-65377.png,I’m always asking. Join me on Reach or donate or come to an event
1275822768155398298,Default,,2024-08-21T14:24:11.569+00:00,mjr92017515,Martin Rafanan,881163607474335764,assets\923536977cf95adafe3d735dafaab791-65377.png,No contact without an ASK
1275822988377329664,Default,,2024-08-21T14:25:04.074+00:00,mjr92017515,Martin Rafanan,881163607474335764,assets\923536977cf95adafe3d735dafaab791-65377.png,"When I post, share, or comment I’m always ASKING"
1275823200722354229,Default,,2024-08-21T14:25:54.701+00:00,mjr92017515,Martin Rafanan,881163607474335764,assets\923536977cf95adafe3d735dafaab791-65377.png,I want my good friends to answer me. This is do or die
1275823502049673287,Default,,2024-08-21T14:27:06.543+00:00,mjr92017515,Martin Rafanan,881163607474335764,assets\923536977cf95adafe3d735dafaab791-65377.png,I’m 73. I’m in this for granddaughter. I will do everything in my power to elect Kamala and Tim
1275826878162276413,Reply,1275822768155398298,2024-08-21T14:40:31.471+00:00,rootsmusic,rootsmusic,791857656897732648,assets\a30e650576a6d42a3c9ee24648f67c90-2AE37.png,Awesome Martin!  Do you and <@884394257102815232> know that Reach has [different leaderboards](https://www.reach.vote/knowledge-base/rankings/#articleTOC_1) for different metrics of contact?
1275829989031280701,Reply,1275826878162276413,2024-08-21T14:52:53.16+00:00,shawn_26185_01875,Shawn,884394257102815232,assets\62e9cd1ace441bd276fd18515d27e675-85F92.png,"Yes, haven’t figured out how to participate in the other categories yet."
1275831897645387838,Reply,1275819188098695231,2024-08-21T15:00:28.209+00:00,shawn_26185_01875,Shawn,884394257102815232,assets\62e9cd1ace441bd276fd18515d27e675-85F92.png,"You only get points for sharing action items and responding from the feedback link. I can’t imagine how I could possibly share anymore in a 24 hour period, unless there is some method to share in multiple groups and social media platforms with one click.  I pretty much have beend sharing for at least 3 days straight with very few breaks."
1275832837660217395,Reply,1275823502049673287,2024-08-21T15:04:12.326+00:00,shawn_26185_01875,Shawn,884394257102815232,assets\62e9cd1ace441bd276fd18515d27e675-85F92.png,"That is awesome, just wondering how you do it so fast? I’ve been trying to keep up but gave up this morning after I saw your sudden surge in points."
1275837148897214539,Reply,1275832837660217395,2024-08-21T15:21:20.205+00:00,rootsmusic,rootsmusic,791857656897732648,assets\a30e650576a6d42a3c9ee24648f67c90-2AE37.png,"Reach's rankings change by timespan too!  The leaderboards is a way to see the number of contacts that you've made and that other teammates are making.  We're all on Team Harris-Walz, and teammates can't give up with only 76 days left!

That's why we have channels to share tips with each other.  You've been doing great with Action Cards!  If you want help to figure out other ways of contact, there are also [trainings for other ways to use Reach](https://events.democrats.org/?event_type=12&is_virtual=true&org_ids=9)."
1275837769054158890,Reply,1275837148897214539,2024-08-21T15:23:48.062+00:00,shawn_26185_01875,Shawn,884394257102815232,assets\62e9cd1ace441bd276fd18515d27e675-85F92.png,"Oh, yes! Thank-you"
1275856543962628149,Reply,1275837769054158890,2024-08-21T16:38:24.349+00:00,rootsmusic,rootsmusic,791857656897732648,assets\a30e650576a6d42a3c9ee24648f67c90-2AE37.png,You're welcome!  Here are the [other Reach trainings](https://events.democrats.org/?event_type=12&is_virtual=true&org_ids=9).
1275910814854811669,Default,,2024-08-21T20:14:03.538+00:00,mjr92017515,Martin Rafanan,881163607474335764,assets\923536977cf95adafe3d735dafaab791-65377.png,"when folks download the REACH app, do they need a KEY to get on board?  If they need a Key, how do they get it?"
1275911082455601174,Default,,2024-08-21T20:15:07.339+00:00,mjr92017515,Martin Rafanan,881163607474335764,assets\923536977cf95adafe3d735dafaab791-65377.png,I've been inviting people to download the app and I want to make sure that they can come on board without too much hassle.
1275912818658643998,Reply,1275911082455601174,2024-08-21T20:22:01.282+00:00,rootsmusic,rootsmusic,791857656897732648,assets\a30e650576a6d42a3c9ee24648f67c90-2AE37.png,"In Reach, you can [invite users](https://www.reach.vote/knowledge-base/adding-users/) by their cell phone number without needing any campaign key."
1276315955441434758,Reply,1275912818658643998,2024-08-22T23:03:56.581+00:00,mjr92017515,Martin Rafanan,881163607474335764,assets\923536977cf95adafe3d735dafaab791-65377.png,thanks
