id,type,ref_to,timestamp,author_name,author_nickname,author_id,author_avatar_url,content
1291395751561265192,21,1291395723023089704,2024-10-03T13:45:40.145+00:00,hollymateluber,Holly Mate-Luber [Call Mod],1267643778043482122,assets\d1341d3c05d207da49a6fa548b4c1086-4BE71.png,
1291395753905750110,Default,,2024-10-03T13:45:40.704+00:00,hollymateluber,Holly Mate-Luber [Call Mod],1267643778043482122,assets\d1341d3c05d207da49a6fa548b4c1086-4BE71.png,"✨ Tell us what successful conversations you had this week! 

Let us know if there are any resources we can share that would be helpful  💻"
1291401987841327136,Default,,2024-10-03T14:10:26.99+00:00,danielledravenstadt,Danielle Dravenstadt,1229872515531280384,assets\76cf951b8e67e24cfdb9c9a41a9020e3-1474E.png,I wore my old school Kamala tee. My neighbor asked about it and I shared my enthusiasm for the campaign and some of the volunteer work I’ve been doing and ways to get involved. I have found helpful resources on Reach  and supporter content. Thank you!
1292575361942683754,Default,,2024-10-06T19:53:01.176+00:00,spiderman6203,Thoughtful Dumbass,281325212039905281,assets\14fd27236e6bb567ab5ba1919cf93dcd-D16CA.png,I've been trolling for good
1292575445111275612,Default,,2024-10-06T19:53:21.005+00:00,spiderman6203,Thoughtful Dumbass,281325212039905281,assets\14fd27236e6bb567ab5ba1919cf93dcd-D16CA.png,<a:blobturtle:1290290394126356553>
1292576366755053579,Default,,2024-10-06T19:57:00.742+00:00,frederick0421,Frederick,1280930920580382821,assets\5445ffd7ffb201a98393cbdf684ea4b1-DA305.png,My sister has organized a Democratic group in NJ and is having a party to help mail out postcards to a swing state.
1292576715327013031,Default,,2024-10-06T19:58:23.848+00:00,frederick0421,Frederick,1280930920580382821,assets\5445ffd7ffb201a98393cbdf684ea4b1-DA305.png,I’m finding I get the most response from sharing through my story on facebook.
1292576728153067593,Default,,2024-10-06T19:58:26.906+00:00,deganon2777,deganon,482681882392395787,assets\a2721a11bdb2c65c2895b18c8404dd1e-7D4DD.png,"I’ve had several civil conversations with Republican friends and those waffling, who support or are leaning to Trump. They seem to be all ending the same way, which is that they see him as a means to an end and believe all of the rhetoric around Harris being a communist and business unfriendly. Some straight, simple content/facts to counter this would be great."
1292577451096145930,Default,,2024-10-06T20:01:19.269+00:00,frederick0421,Frederick,1280930920580382821,assets\5445ffd7ffb201a98393cbdf684ea4b1-DA305.png,How about sending us some Harris signs and banners?
1292577635309981696,Reply,1292576728153067593,2024-10-06T20:02:03.189+00:00,pukekokiwi,PukekoKiwi,199870418012733440,assets\9352f27c766b15a84e7c0b4fe123fcb6-845F4.png,I end up having this problem a lot too. Lots of people who despise trump but still think he's just something you have to grit your teeth for what they perceive to be a better economy
1292577739295166576,Default,,2024-10-06T20:02:27.981+00:00,pukekokiwi,PukekoKiwi,199870418012733440,assets\9352f27c766b15a84e7c0b4fe123fcb6-845F4.png,They usually end up being tuned out of the news cycle
