id,type,ref_to,timestamp,author_name,author_nickname,author_id,author_avatar_url,content
1288857638137888779,21,1288857465768640602,2024-09-26T13:40:06.749+00:00,hollymateluber,Holly Mate-Luber [Call Mod],1267643778043482122,assets\d1341d3c05d207da49a6fa548b4c1086-4BE71.png,
1288857640365064353,Default,,2024-09-26T13:40:07.28+00:00,hollymateluber,Holly Mate-Luber [Call Mod],1267643778043482122,assets\d1341d3c05d207da49a6fa548b4c1086-4BE71.png,"✨ Tell us what successful conversations you had this week! 

Let us know if there are any resources we can share that would be helpful  💻"
1288860380906524693,Default,,2024-09-26T13:51:00.676+00:00,drkitty4kamala,Kitty Fallon RI,1268905671202443346,assets\2-ADBB4.png,"I've committed to wearing one of my campaign hats for Kamala and Tim each day, and in the past several weeks there's only been one person who has said go Trump. anyone else who makes a comment is so excited and thrilled for Kamala and Tim. There's this shared enthusiasm, like we're all on one team working together. I'm amazed how many people stop to chat!"
1288861335433515080,Default,,2024-09-26T13:54:48.253+00:00,arulane,Katil (Ohio),365932607126634506,assets\a248a4fdbb8d1ea4c469e4e2291a290b-FD6C3.png,"One of the members of one of the discords I am in had a father who has been MAGA up til now. I wish I could say it was something I helped with but what made him change his mind was receiving a Trump email asking him to come hold a sign for 15 min, for $10.  I asked him if he would see if he could provide a copy with no identifying marks, for people to use, in the hopes of changing more minds. I will post here if I get it. But just the news is great. Let’s hope there are more reactions like this one and that T’s campaign keeps sending these emails to his supporters. I do love when these people do themselves in."
1288862380612390994,Default,,2024-09-26T13:58:57.443+00:00,gregory09505,Gregory,1275503841701531780,assets\3-FB033.png,I've been phone banking for several weeks and am starting to get in the groove of how to talk to people. Multiple red and undecided listening to what's being said as answers to questions being posed versus the mean blue answers coming out on news and media.
1288862493493559417,Default,,2024-09-26T13:59:24.356+00:00,gregory09505,Gregory,1275503841701531780,assets\3-FB033.png,"Oops, red answers being mean.  I'm new at this!!"
1288867329484001311,Default,,2024-09-26T14:18:37.346+00:00,melissab0003,Melissa B (WNY) [Creator],1266797079494393942,assets\5a061fe8e45051453d2ab4bbb44bae04-7F47A.png,"I would love some advice on how to find possibly undecided voters or potentially persuadable Trumpy voters on Threads and X. My algorithms are feeding me all blue voters for the most part. X is filled with so many trolls in the comments of any posts from right-wing news accounts that it's hard to know where to bother engaging. Do we have any data on the value of engaging on X at all?

That said, I've had some good conversations with a couple of blue voters who were posting cynical takes. I point out the need for encouraging engagement through positivity and a spirit of unity, and that's been resonating. I've also been wearing down a couple of intelligent evangelical friends on FB who don't like Trump but have been lied to about Kamala. It's amazing how effective one can be when acknowledging people's concerns rather than judging and arguing!

Sincerely pro-life people are worried about the ""unintended consequences"" of the harsher abortion restrictions, and it's easy to change people's minds about economics if they're not completely absorbed into the cult."
1288871029690732655,Default,,2024-09-26T14:33:19.544+00:00,jeff4equality,Jeff Strater Texas,1260258813458776136,assets\7592570c541f01e03e0a99778e767246-6D600.png,I’ve been sharing content from Reach and before that Greenfly. What I have noticed lately is that I’m getting huge engagement from resharing KamalaHQ content on X and major engagement when I have a supportive reply to a KamalaHQ X content. Not just likes but retweets and quote tweets. As a result I have really picked up my social engagement there. A recent example is this one https://x.com/jeffstrater/status/1838655307670786296?s=46&t=znOaFPGmzhQaTWqmjMRSSA
1288872249901977632,Reply,1288871029690732655,2024-09-26T14:38:10.465+00:00,jeff4equality,Jeff Strater Texas,1260258813458776136,assets\7592570c541f01e03e0a99778e767246-6D600.png,Here’s another example of great engagement to a reply to KamalaHQ https://x.com/jeffstrater/status/1838293589287440550?s=46&t=znOaFPGmzhQaTWqmjMRSSA
1288940397636354099,Default,,2024-09-26T19:08:58.151+00:00,angie71457,Angie,1270704864002969694,assets\58ebfba68b059f8c7dd03b9ca1cf5c9e-31526.png,"Our grassroots group will meet tomorrow to address more post cards & get updates on our registration of students at our local university. Several of our members are involved with their sororities. The entire state has challenged all universities to have a registration drive, so exciting to see the involved of Gen Z!"
