id,type,ref_to,timestamp,author_name,author_nickname,author_id,author_avatar_url,content
1278415907223244972,21,1278415358683906078,2024-08-28T18:08:24.101+00:00,jjoannid,Jack Joannides KC text admin,477560366432256000,assets\791c521e62160be1f3df04992f6e5470-36A38.png,
1278415908297117697,Default,,2024-08-28T18:08:24.357+00:00,jjoannid,Jack Joannides KC text admin,477560366432256000,assets\791c521e62160be1f3df04992f6e5470-36A38.png,Yes but the spots are currently at capacity at the moment.
1278420653988380732,Default,,2024-08-28T18:27:15.818+00:00,jamescamner,James Camner CA,1278148917376061543,assets\3-FB033.png,Will there be any future need?
1278420808984821940,Default,,2024-08-28T18:27:52.772+00:00,jamescamner,James Camner CA,1278148917376061543,assets\3-FB033.png,I have a lot of experience
1278420821068746857,Default,,2024-08-28T18:27:55.653+00:00,jjoannid,Jack Joannides KC text admin,477560366432256000,assets\791c521e62160be1f3df04992f6e5470-36A38.png,Maybe later it depends on signups.
1278420924357673063,Default,,2024-08-28T18:28:20.279+00:00,jamescamner,James Camner CA,1278148917376061543,assets\3-FB033.png,So what do I do?
1278421376138608842,Default,,2024-08-28T18:30:07.992+00:00,jjoannid,Jack Joannides KC text admin,477560366432256000,assets\791c521e62160be1f3df04992f6e5470-36A38.png,Wait till you're able to sign up. In the meantime we make a lot of calls per day. You can find that info in <#1242256751445934262>
1278421639796887576,Default,,2024-08-28T18:31:10.853+00:00,jamescamner,James Camner CA,1278148917376061543,assets\3-FB033.png,How will I know if there are future opportunities to sign up to text?
1278421858760265881,Default,,2024-08-28T18:32:03.058+00:00,jjoannid,Jack Joannides KC text admin,477560366432256000,assets\791c521e62160be1f3df04992f6e5470-36A38.png,You can keep on checking this link https://events.democrats.org/event/654680/ We don't really now when spots opens up or someone takes them.
1278422078818881657,Default,,2024-08-28T18:32:55.524+00:00,jamescamner,James Camner CA,1278148917376061543,assets\3-FB033.png,Ok thanks. Good luck!
1278703061866381385,Default,,2024-08-29T13:09:27.103+00:00,nmorris237,Nicole Morris - Text Admin,935762347753103382,assets\27b1e286b65ae02b3378793b5f098411-A7B20.png,Hi <@1278148917376061543> New link is here -- training times have opened up https://events.democrats.org/event/672393/
1286119305876078594,Default,,2024-09-19T00:18:57.462+00:00,jamescamner,James Camner CA,1278148917376061543,assets\3-FB033.png,I signed up for the zoom today and the link didn’t work
1286122459770261544,Default,,2024-09-19T00:31:29.409+00:00,nmorris237,Nicole Morris - Text Admin,935762347753103382,assets\27b1e286b65ae02b3378793b5f098411-A7B20.png,"Hi <@1278148917376061543> Sorry to hear! You do need to be logged into a Zoom account before joining the meeting - or if you click the link, it'll prompt you to sign up for a Zoom account (or log in). Was that the error you were seeing?"
1286122813152956500,Default,,2024-09-19T00:32:53.662+00:00,jamescamner,James Camner CA,1278148917376061543,assets\3-FB033.png,Yes
1286123392323420191,Default,,2024-09-19T00:35:11.747+00:00,nmorris237,Nicole Morris - Text Admin,935762347753103382,assets\27b1e286b65ae02b3378793b5f098411-A7B20.png,Understood - sorry for the confusion! That is required for these Zoom trainings -- and I've sent feedback to staff to see if we can make that more clear in the confirmation emails.
1286123574972911706,Default,,2024-09-19T00:35:55.294+00:00,nmorris237,Nicole Morris - Text Admin,935762347753103382,assets\27b1e286b65ae02b3378793b5f098411-A7B20.png,You can sign up for another training at the same link - and I would suggest logging in a few minutes early to make sure you are logged into the zoom account.
1286125684166623252,Default,,2024-09-19T00:44:18.165+00:00,jamescamner,James Camner CA,1278148917376061543,assets\3-FB033.png,The message read “the host requires authentication on the commercial zoom platform to join this meeting. Please sign in with a commercial zoom account to join”. I haven’t had any problems signing in to zoom meetings until this
1286127341021696081,Default,,2024-09-19T00:50:53.19+00:00,nmorris237,Nicole Morris - Text Admin,935762347753103382,assets\27b1e286b65ae02b3378793b5f098411-A7B20.png,"I hear you -- there are additional levels of security for some of these trainings, that's why you saw that message."
1286130396412514365,Default,,2024-09-19T01:03:01.652+00:00,jamescamner,James Camner CA,1278148917376061543,assets\3-FB033.png,I have no idea of how to sign in. That security shut me out. I’m not a young person and I am not tech savvy
1286130667113025537,Default,,2024-09-19T01:04:06.192+00:00,jamescamner,James Camner CA,1278148917376061543,assets\3-FB033.png,If you send me a link it should work without complicated
1286133134840172614,Default,,2024-09-19T01:13:54.544+00:00,jamescamner,James Camner CA,1278148917376061543,assets\3-FB033.png,I signed up for another session but I don’t see how it will let me in. I need to have clear instructions or the results will be the same. To repeat it doesn’t make sense to make it complicated to sign in for a zoom meeting
1286164619798253570,Default,,2024-09-19T03:19:01.143+00:00,nmorris237,Nicole Morris - Text Admin,935762347753103382,assets\27b1e286b65ae02b3378793b5f098411-A7B20.png,"Hi James - understood. I will send you a follow up Direct Message now to ask. Please let me know if you don't see it (top left in Discord, like this if you're on your computer)"
1286164653684035634,Default,,2024-09-19T03:19:09.222+00:00,nmorris237,Nicole Morris - Text Admin,935762347753103382,assets\27b1e286b65ae02b3378793b5f098411-A7B20.png,
1286193904781103136,Default,,2024-09-19T05:15:23.227+00:00,jamescamner,James Camner CA,1278148917376061543,assets\3-FB033.png,I didn’t see anything
1286194954812653621,Default,,2024-09-19T05:19:33.574+00:00,jamescamner,James Camner CA,1278148917376061543,assets\3-FB033.png,I’m 73. I’m not adept at these levers but modesty aside I’m a very capable texter and I was on advanced teams in three states working GOTV.  I believe I can be of service if I can jump through these technological hoops. 😵‍💫
1286195361546899457,Default,,2024-09-19T05:21:10.547+00:00,nmorris237,Nicole Morris - Text Admin,935762347753103382,assets\27b1e286b65ae02b3378793b5f098411-A7B20.png,No worries! Appreciate your patience. Are you currently on a computer or tablet/phone?
1286195609996496897,Default,,2024-09-19T05:22:09.782+00:00,jamescamner,James Camner CA,1278148917376061543,assets\3-FB033.png,I’m on a phone but I have my chrome book handy
1286195796349550673,Default,,2024-09-19T05:22:54.212+00:00,nmorris237,Nicole Morris - Text Admin,935762347753103382,assets\27b1e286b65ae02b3378793b5f098411-A7B20.png,"Ah got it - ok! On a phone, you'll find the Direct Message on the top left (the purple or white speech bubble icon) and then when you click on that, you'll see my message (it may be hidden in a envelope icon that says ""1"")"
