id,type,ref_to,timestamp,author_name,author_nickname,author_id,author_avatar_url,content
1295844083809648741,21,1295841583765131335,2024-10-15T20:21:45.199+00:00,roberta_24935,Roberta Bavin CA KC Greeter/Mod,1269872908759597148,assets\df6d19d97b04a49ffcafbe7be14c7839-D9CE4.png,
1295844086972157963,Default,,2024-10-15T20:21:45.953+00:00,roberta_24935,Roberta Bavin CA KC Greeter/Mod,1269872908759597148,assets\df6d19d97b04a49ffcafbe7be14c7839-D9CE4.png,Hi there! Thanks for reaching out. Please try this link to sign up for text training. https://events.democrats.org/event/672393/
1295846124090949632,Default,,2024-10-15T20:29:51.64+00:00,beckysue8,Becks,1295833347410624658,assets\0-EB806.png,Every time it opens to a page that says I’m blocked
1295847048993833020,Default,,2024-10-15T20:33:32.154+00:00,roberta_24935,Roberta Bavin CA KC Greeter/Mod,1269872908759597148,assets\df6d19d97b04a49ffcafbe7be14c7839-D9CE4.png,"When I click on the link, it works for me. There have been some issues with Mobilize in the last few days, so please try restart you computer and try again. Thanks!"
1295848663934832663,Default,,2024-10-15T20:39:57.186+00:00,beckysue8,Becks,1295833347410624658,assets\0-EB806.png,I’m using a phone and I live in France. Could those be the problems?
1295848715017256972,Default,,2024-10-15T20:40:09.365+00:00,beckysue8,Becks,1295833347410624658,assets\0-EB806.png,I don’t know how to access this on a computer…?
1295849194833182811,Reply,1295848715017256972,2024-10-15T20:42:03.762+00:00,roberta_24935,Roberta Bavin CA KC Greeter/Mod,1269872908759597148,assets\df6d19d97b04a49ffcafbe7be14c7839-D9CE4.png,Definitely could be the problem! You won't be able to text on an iphone because you won't be able to see all of the Canned Replies or Tags you need to text. Can you try a computer? Thanks!
1295851087223586836,Default,,2024-10-15T20:49:34.943+00:00,beckysue8,Becks,1295833347410624658,assets\0-EB806.png,Will have to try tomorrow as it’s quite late here. Since this is through an app how do I access it on a computer please?
1295854817364807730,Reply,1295851087223586836,2024-10-15T21:04:24.278+00:00,roberta_24935,Roberta Bavin CA KC Greeter/Mod,1269872908759597148,assets\df6d19d97b04a49ffcafbe7be14c7839-D9CE4.png,"If you can sign on to Discord on your computer, you should be able to click on the link for the training. Thanks so much for your efforts from afar! <:thankyou:1252806147396735057>"
1295886106440499231,Default,,2024-10-15T23:08:44.175+00:00,sarahanderson_36866,Sarah Anderson,1288990172934832269,assets\3-FB033.png,is there a text training session going on now?  7pm Eastern?   I'm signed up and waiting to be let in.
