id,type,ref_to,timestamp,author_name,author_nickname,author_id,author_avatar_url,content
1295476501155811389,21,1295448063753846834,2024-10-14T20:01:06.665+00:00,jjoannid,Jack Joannides KC text admin,477560366432256000,assets\791c521e62160be1f3df04992f6e5470-36A38.png,
1295476503345369178,Default,,2024-10-14T20:01:07.187+00:00,jjoannid,Jack Joannides KC text admin,477560366432256000,assets\791c521e62160be1f3df04992f6e5470-36A38.png,Did you direct message the mod that you updated your display name?
1295772621912408064,Default,,2024-10-15T15:37:47.355+00:00,stlouie_b,Beth Sturgeon [VT],637032720031023144,assets\83d874d5f2191d0799c4229651a1ae27-B9DDE.png,"Hi <@477560366432256000> - thanks for getting back to me!  Ah, I did not DM the mod that I updated my display name...I'm a bit new to discord but I found the list of members and it looks like there are a handful of text mods.  Does it matter which text moderator I DM?  Thanks so much for the guidance!"
1295773003136761870,Default,,2024-10-15T15:39:18.246+00:00,stlouie_b,Beth Sturgeon [VT],637032720031023144,assets\83d874d5f2191d0799c4229651a1ae27-B9DDE.png,You know- I'll just reach out to a moderator and see what they say.  Thanks so much!
1295776277944471572,Reply,1295476503345369178,2024-10-15T15:52:19.021+00:00,.anathea,Angela K. (CO) KC Text Mod,949409511951724595,assets\153fa1aae579a15bd6e9b9505153de92-9DAEB.png,Hey <@477560366432256000> - Beth just reached out to me but since I'm not a greeter I don't know how to help here. Can you check and see who she needs to connect with? Thanks!
1295776329295204393,Default,,2024-10-15T15:52:31.264+00:00,jjoannid,Jack Joannides KC text admin,477560366432256000,assets\791c521e62160be1f3df04992f6e5470-36A38.png,Reach out to Roberta she likely direct message them.
1295776362409234432,Default,,2024-10-15T15:52:39.159+00:00,jjoannid,Jack Joannides KC text admin,477560366432256000,assets\791c521e62160be1f3df04992f6e5470-36A38.png,Thanks.
1295776576100765706,Default,,2024-10-15T15:53:30.107+00:00,.anathea,Angela K. (CO) KC Text Mod,949409511951724595,assets\153fa1aae579a15bd6e9b9505153de92-9DAEB.png,Okay. I'm going to tag her in here since things have gotten a bit confusing. <@1269872908759597148> - I know you're busy but can you check on Beth's onboarding for us? Thanks!
1295776771450601533,Default,,2024-10-15T15:54:16.682+00:00,stlouie_b,Beth Sturgeon [VT],637032720031023144,assets\83d874d5f2191d0799c4229651a1ae27-B9DDE.png,Thanks so much <@949409511951724595> !
1295777063302725703,Default,,2024-10-15T15:55:26.265+00:00,jjoannid,Jack Joannides KC text admin,477560366432256000,assets\791c521e62160be1f3df04992f6e5470-36A38.png,Oh wait sorry. Am on my phone. Was <@935762347753103382> actually.
1295777395659378820,Reply,1295776576100765706,2024-10-15T15:56:45.505+00:00,roberta_24935,Roberta Bavin CA KC Greeter/Mod,1269872908759597148,assets\df6d19d97b04a49ffcafbe7be14c7839-D9CE4.png,Just sent Beth a DM. Nicole sent message 10/9.
1295780244103368775,Reply,1295776277944471572,2024-10-15T16:08:04.627+00:00,roberta_24935,Roberta Bavin CA KC Greeter/Mod,1269872908759597148,assets\df6d19d97b04a49ffcafbe7be14c7839-D9CE4.png,"Had two discord accounts! Just finished onboarding <@477560366432256000> and <@935762347753103382>  so no worries about Beth! Thanks, team!"
1295780620600999976,Default,,2024-10-15T16:09:34.391+00:00,.anathea,Angela K. (CO) KC Text Mod,949409511951724595,assets\153fa1aae579a15bd6e9b9505153de92-9DAEB.png,yay! thanks for your help Roberta! Happy to have you join us Beth!
