id,type,ref_to,timestamp,author_name,author_nickname,author_id,author_avatar_url,content
1280327391582879814,21,1280327125643038773,2024-09-03T00:43:57.486+00:00,jjoannid,Jack Joannides KC text admin,477560366432256000,assets\791c521e62160be1f3df04992f6e5470-36A38.png,
1280327393768112128,Default,,2024-09-03T00:43:58.007+00:00,jjoannid,Jack Joannides KC text admin,477560366432256000,assets\791c521e62160be1f3df04992f6e5470-36A38.png,You need to update your display name.
1280327679383437345,Default,,2024-09-03T00:45:06.103+00:00,kirsten_94088,Kirsten Helmer,1275871861384806472,assets\4b45ebbb0e5afa4a1ac8686b76984f9a-4CEDD.png,What do you mean?
1280327805971726357,Default,,2024-09-03T00:45:36.284+00:00,kirsten_94088,Kirsten Helmer,1275871861384806472,assets\4b45ebbb0e5afa4a1ac8686b76984f9a-4CEDD.png,Update it with what and how?
1280327820186222625,Default,,2024-09-03T00:45:39.673+00:00,jjoannid,Jack Joannides KC text admin,477560366432256000,assets\791c521e62160be1f3df04992f6e5470-36A38.png,I can see your name is Kristen.
1280327850532278292,Default,,2024-09-03T00:45:46.908+00:00,kirsten_94088,Kirsten Helmer,1275871861384806472,assets\4b45ebbb0e5afa4a1ac8686b76984f9a-4CEDD.png,"Kirsten, yes"
1280327863060664401,Default,,2024-09-03T00:45:49.895+00:00,jjoannid,Jack Joannides KC text admin,477560366432256000,assets\791c521e62160be1f3df04992f6e5470-36A38.png,But we need your last name.
1280327892600881174,Default,,2024-09-03T00:45:56.938+00:00,jjoannid,Jack Joannides KC text admin,477560366432256000,assets\791c521e62160be1f3df04992f6e5470-36A38.png,To be added.
1280328118116024424,Default,,2024-09-03T00:46:50.705+00:00,kirsten_94088,Kirsten Helmer,1275871861384806472,assets\4b45ebbb0e5afa4a1ac8686b76984f9a-4CEDD.png,Okay. I just did.
1280328236760563813,Default,,2024-09-03T00:47:18.992+00:00,kirsten_94088,Kirsten Helmer,1275871861384806472,assets\4b45ebbb0e5afa4a1ac8686b76984f9a-4CEDD.png,Will it still take 24-48 hours from now to add me?
