id,type,ref_to,timestamp,author_name,author_nickname,author_id,author_avatar_url,content
1287465777863200840,21,1287465270251880489,2024-09-22T17:29:21.4+00:00,jjoannid,Jack Joannides KC text admin,477560366432256000,assets\791c521e62160be1f3df04992f6e5470-36A38.png,
1287465779964412056,Default,,2024-09-22T17:29:21.901+00:00,jjoannid,Jack Joannides KC text admin,477560366432256000,assets\791c521e62160be1f3df04992f6e5470-36A38.png,You'll get a direct message in 24-72 hours.
1287466036555419721,Default,,2024-09-22T17:30:23.077+00:00,sharky051193,Andrew Rein Maryland,766511749486346242,assets\5-E9BDB.png,"Cool, thanks for the update. Is there an option to get an email notice of a dm? I am new to discord and don't really know how to use this com tool."
1287466325802877068,Default,,2024-09-22T17:31:32.039+00:00,jjoannid,Jack Joannides KC text admin,477560366432256000,assets\791c521e62160be1f3df04992f6e5470-36A38.png,No.
1287466426969358458,Default,,2024-09-22T17:31:56.159+00:00,jjoannid,Jack Joannides KC text admin,477560366432256000,assets\791c521e62160be1f3df04992f6e5470-36A38.png,Please update your display name so we can locate you easier.
1287466751478468639,Default,,2024-09-22T17:33:13.528+00:00,sharky051193,Andrew Rein Maryland,766511749486346242,assets\5-E9BDB.png,"I added my last name and state, is that what you mean?"
1287468258563461130,Default,,2024-09-22T17:39:12.845+00:00,jjoannid,Jack Joannides KC text admin,477560366432256000,assets\791c521e62160be1f3df04992f6e5470-36A38.png,Yep.
1287471892252459152,Default,,2024-09-22T17:53:39.184+00:00,sharky051193,Andrew Rein Maryland,766511749486346242,assets\5-E9BDB.png,"So I need to log into discord to check my dm in 24-72 hrs, is that correct? Or is there some other way for me to find out I got a dm?"
1287472627895763034,Default,,2024-09-22T17:56:34.575+00:00,jjoannid,Jack Joannides KC text admin,477560366432256000,assets\791c521e62160be1f3df04992f6e5470-36A38.png,You would see a thing called message requests.
1287472723844399215,Default,,2024-09-22T17:56:57.451+00:00,sharky051193,Andrew Rein Maryland,766511749486346242,assets\5-E9BDB.png,Where to look for that?
1287473606883807334,Default,,2024-09-22T18:00:27.984+00:00,jjoannid,Jack Joannides KC text admin,477560366432256000,assets\791c521e62160be1f3df04992f6e5470-36A38.png,Near the gaming icon.
1287473817161170945,Default,,2024-09-22T18:01:18.118+00:00,sharky051193,Andrew Rein Maryland,766511749486346242,assets\5-E9BDB.png,I don't know what that is
1287475479225303103,Default,,2024-09-22T18:07:54.385+00:00,jjoannid,Jack Joannides KC text admin,477560366432256000,assets\791c521e62160be1f3df04992f6e5470-36A38.png,Here: https://support.discord.com/hc/en-us/articles/7924992471191-Message-Requests
1287476983084613644,Default,,2024-09-22T18:13:52.933+00:00,sharky051193,Andrew Rein Maryland,766511749486346242,assets\5-E9BDB.png,"Thanks, as I said, new to discord. Seems like Slack to me, which I hated when had to use it."
