id,type,ref_to,timestamp,author_name,author_nickname,author_id,author_avatar_url,content
1297320915637633055,21,1297319285412069437,2024-10-19T22:10:09.345+00:00,jjoannid,Jack Joannides KC text admin,477560366432256000,assets\791c521e62160be1f3df04992f6e5470-36A38.png,
1297320917915144224,Default,,2024-10-19T22:10:09.888+00:00,jjoannid,Jack Joannides KC text admin,477560366432256000,assets\791c521e62160be1f3df04992f6e5470-36A38.png,I'm sorry to hear that. We have over 2k texters. You're not the only one texting. But in the future can you ask this in <#1259238714157305936>
1297323124659851335,Default,,2024-10-19T22:18:56.017+00:00,sodhipop_31634,"Harpal Sodhi - LA, CA",1283860666830291056,assets\79f52820edc544f88f436c73874fbfd7-9A38A.png,"I'm sorry but that didn't answer my question, and I'm not texting. That's the problem. I'm asking where is the link to the campains?"
1297324187131838536,Default,,2024-10-19T22:23:09.33+00:00,jjoannid,Jack Joannides KC text admin,477560366432256000,assets\791c521e62160be1f3df04992f6e5470-36A38.png,In <#1265788349747171438>
1297324263253999706,Default,,2024-10-19T22:23:27.479+00:00,jjoannid,Jack Joannides KC text admin,477560366432256000,assets\791c521e62160be1f3df04992f6e5470-36A38.png,You should of gotten a direct message from a greeter of where to find infomation.
1297324592251142209,Default,,2024-10-19T22:24:45.918+00:00,sodhipop_31634,"Harpal Sodhi - LA, CA",1283860666830291056,assets\79f52820edc544f88f436c73874fbfd7-9A38A.png,This is the link in text campaigns and I can't do anything. Is that correct?
1297324714376560701,Default,,2024-10-19T22:25:15.035+00:00,jjoannid,Jack Joannides KC text admin,477560366432256000,assets\791c521e62160be1f3df04992f6e5470-36A38.png,This a public channel don't provide that link.
1297324726091251875,Default,,2024-10-19T22:25:17.828+00:00,jjoannid,Jack Joannides KC text admin,477560366432256000,assets\791c521e62160be1f3df04992f6e5470-36A38.png,But yes.
1297324776448196742,Default,,2024-10-19T22:25:29.834+00:00,sodhipop_31634,"Harpal Sodhi - LA, CA",1283860666830291056,assets\79f52820edc544f88f436c73874fbfd7-9A38A.png,ok
1297324909533331456,Default,,2024-10-19T22:26:01.564+00:00,sodhipop_31634,"Harpal Sodhi - LA, CA",1283860666830291056,assets\79f52820edc544f88f436c73874fbfd7-9A38A.png,that's the only campaign i see. ugh this is frustrating and not easy
1297324991024730224,Default,,2024-10-19T22:26:20.993+00:00,jjoannid,Jack Joannides KC text admin,477560366432256000,assets\791c521e62160be1f3df04992f6e5470-36A38.png,So we delete campaigns when they're done.
1297325055700762624,Default,,2024-10-19T22:26:36.413+00:00,jjoannid,Jack Joannides KC text admin,477560366432256000,assets\791c521e62160be1f3df04992f6e5470-36A38.png,So that's why. We should have still some more tonight.
1297325121937084496,Default,,2024-10-19T22:26:52.205+00:00,sodhipop_31634,"Harpal Sodhi - LA, CA",1283860666830291056,assets\79f52820edc544f88f436c73874fbfd7-9A38A.png,so there are no ones to work on right now?
1297325178161725553,Default,,2024-10-19T22:27:05.61+00:00,jjoannid,Jack Joannides KC text admin,477560366432256000,assets\791c521e62160be1f3df04992f6e5470-36A38.png,Correct.
1297325315898609775,Default,,2024-10-19T22:27:38.449+00:00,sodhipop_31634,"Harpal Sodhi - LA, CA",1283860666830291056,assets\79f52820edc544f88f436c73874fbfd7-9A38A.png,that's literally all i was asking. lol. you coulda saved us both the headache. thank you and good luck
1297325346009649172,Default,,2024-10-19T22:27:45.628+00:00,jjoannid,Jack Joannides KC text admin,477560366432256000,assets\791c521e62160be1f3df04992f6e5470-36A38.png,Sorry.
