id,type,ref_to,timestamp,author_name,author_nickname,author_id,author_avatar_url,content
1282039101008384030,21,1282035858719113256,2024-09-07T18:05:40.815+00:00,jjoannid,Jack Joannides KC text admin,477560366432256000,assets\791c521e62160be1f3df04992f6e5470-36A38.png,
1282039101943578626,Default,,2024-09-07T18:05:41.038+00:00,jjoannid,Jack Joannides KC text admin,477560366432256000,assets\791c521e62160be1f3df04992f6e5470-36A38.png,You should have gotten a direct message from Roberta. Do you see it?
1282039544832856208,Default,,2024-09-07T18:07:26.631+00:00,mattbinder_11961,Matt Binder (HI),1269078050411253833,assets\4-4551A.png,"No, I do not see a DM from anyone, except you."
1282040122094649388,Reply,1282039544832856208,2024-09-07T18:09:44.261+00:00,roberta_24935,Roberta Bavin CA KC Greeter/Mod,1269872908759597148,assets\df6d19d97b04a49ffcafbe7be14c7839-D9CE4.png,Sent you DM 9/5 at 1142am
1282041044308852970,Default,,2024-09-07T18:13:24.134+00:00,mattbinder_11961,Matt Binder (HI),1269078050411253833,assets\4-4551A.png,"When I click on the DM icon (the Discord face), the only person I see is you. Nothing from Roberta."
1282047598861090880,Reply,1282041044308852970,2024-09-07T18:39:26.861+00:00,roberta_24935,Roberta Bavin CA KC Greeter/Mod,1269872908759597148,assets\df6d19d97b04a49ffcafbe7be14c7839-D9CE4.png,I can try to re-send.... <:BlobThinkSmartBigBrainRollSafe:1277980629308411917>
1282051073586233376,Default,,2024-09-07T18:53:15.3+00:00,mattbinder_11961,Matt Binder (HI),1269078050411253833,assets\4-4551A.png,I still do not see it.
1282052184740990996,Default,,2024-09-07T18:57:40.22+00:00,jjoannid,Jack Joannides KC text admin,477560366432256000,assets\791c521e62160be1f3df04992f6e5470-36A38.png,Do you see a thing called message requests?
1282052654188466188,Default,,2024-09-07T18:59:32.145+00:00,mattbinder_11961,Matt Binder (HI),1269078050411253833,assets\4-4551A.png,"No, I do not."
1282872422898471002,Default,,2024-09-10T01:17:00.236+00:00,mattbinder_11961,Matt Binder (HI),1269078050411253833,assets\4-4551A.png,Why is this taking so long??
