id,type,ref_to,timestamp,author_name,author_nickname,author_id,author_avatar_url,content
1289628593600594041,21,1289627834406670356,2024-09-28T16:43:36.855+00:00,jjoannid,Jack Joannides KC text admin,477560366432256000,assets\791c521e62160be1f3df04992f6e5470-36A38.png,
1289628595504812065,Default,,2024-09-28T16:43:37.309+00:00,jjoannid,Jack Joannides KC text admin,477560366432256000,assets\791c521e62160be1f3df04992f6e5470-36A38.png,Let me direct message you.
1289628660843941938,Default,,2024-09-28T16:43:52.887+00:00,jjoannid,Jack Joannides KC text admin,477560366432256000,assets\791c521e62160be1f3df04992f6e5470-36A38.png,Oh wait Roberta did.
1289628807476547685,Default,,2024-09-28T16:44:27.847+00:00,scubakd,Kelly Decker CA,1259949687247470709,assets\64fff4f2459b560a8e8c9a70ed48863a-8468F.png,She did but then she asked a question and disappeared
1289628904478347347,Default,,2024-09-28T16:44:50.974+00:00,scubakd,Kelly Decker CA,1259949687247470709,assets\64fff4f2459b560a8e8c9a70ed48863a-8468F.png,because I use Kelly Dee instead of Kelly Decker
1289629867603923058,Default,,2024-09-28T16:48:40.601+00:00,scubakd,Kelly Decker CA,1259949687247470709,assets\64fff4f2459b560a8e8c9a70ed48863a-8468F.png,I have been waiting for Roberta to respond for 40 minutes
1289630026962043032,Default,,2024-09-28T16:49:18.595+00:00,jjoannid,Jack Joannides KC text admin,477560366432256000,assets\791c521e62160be1f3df04992f6e5470-36A38.png,Can you please change your display name to kelly decker. It will help us.
1289630230327066787,Default,,2024-09-28T16:50:07.081+00:00,scubakd,Kelly Decker CA,1259949687247470709,assets\64fff4f2459b560a8e8c9a70ed48863a-8468F.png,Done
1289633161466351646,Default,,2024-09-28T17:01:45.919+00:00,jjoannid,Jack Joannides KC text admin,477560366432256000,assets\791c521e62160be1f3df04992f6e5470-36A38.png,Wait
1289633190704578631,Default,,2024-09-28T17:01:52.89+00:00,jjoannid,Jack Joannides KC text admin,477560366432256000,assets\791c521e62160be1f3df04992f6e5470-36A38.png,You're in slack.
1289633214520102932,Default,,2024-09-28T17:01:58.568+00:00,jjoannid,Jack Joannides KC text admin,477560366432256000,assets\791c521e62160be1f3df04992f6e5470-36A38.png,You can take the other form.
1289633227459526756,Default,,2024-09-28T17:02:01.653+00:00,jjoannid,Jack Joannides KC text admin,477560366432256000,assets\791c521e62160be1f3df04992f6e5470-36A38.png,Opps
