id,type,ref_to,timestamp,author_name,author_nickname,author_id,author_avatar_url,content
1282038741229240482,21,1282023483294879846,2024-09-07T18:04:15.037+00:00,jjoannid,Jack Joannides KC text admin,477560366432256000,assets\791c521e62160be1f3df04992f6e5470-36A38.png,
1282038742542057502,Default,,2024-09-07T18:04:15.35+00:00,jjoannid,Jack Joannides KC text admin,477560366432256000,assets\791c521e62160be1f3df04992f6e5470-36A38.png,Checking on this.
1282038985878798376,Default,,2024-09-07T18:05:13.366+00:00,kimd_86496,Kim  Darlene,1280674605689737238,assets\0-EB806.png,Thank you<:thankyou:1252806147396735057>
1282100731775553687,Default,,2024-09-07T22:10:34.735+00:00,mrd088062,Marla Daugherty Ohio,1277786085845631108,assets\6c5996770c985bcd6e5b68131ff2ba04-174F3.png,Marla Daugherty - more than 72 hours
1282102014347837501,Default,,2024-09-07T22:15:40.524+00:00,jjoannid,Jack Joannides KC text admin,477560366432256000,assets\791c521e62160be1f3df04992f6e5470-36A38.png,Please stop posting mutiple times. We direct messaged you.
1282102094467174401,Default,,2024-09-07T22:15:59.626+00:00,jjoannid,Jack Joannides KC text admin,477560366432256000,assets\791c521e62160be1f3df04992f6e5470-36A38.png,Or we'll get back to you later.
1282440208238903336,Default,,2024-09-08T20:39:32.231+00:00,mrd088062,Marla Daugherty Ohio,1277786085845631108,assets\6c5996770c985bcd6e5b68131ff2ba04-174F3.png,I got nothing from you
1282441361609719881,Default,,2024-09-08T20:44:07.216+00:00,jjoannid,Jack Joannides KC text admin,477560366432256000,assets\791c521e62160be1f3df04992f6e5470-36A38.png,I wasn't the one who originally direct messaged you.
1282441862673731714,Default,,2024-09-08T20:46:06.679+00:00,mrd088062,Marla Daugherty Ohio,1277786085845631108,assets\6c5996770c985bcd6e5b68131ff2ba04-174F3.png,Ok think I found.
1282441930344501310,Default,,2024-09-08T20:46:22.813+00:00,jjoannid,Jack Joannides KC text admin,477560366432256000,assets\791c521e62160be1f3df04992f6e5470-36A38.png,If you're already signed up to scale to win. Did you tell us?
1282442050767290433,Default,,2024-09-08T20:46:51.524+00:00,mrd088062,Marla Daugherty Ohio,1277786085845631108,assets\6c5996770c985bcd6e5b68131ff2ba04-174F3.png,No but I signed up now
1282442114638286939,Default,,2024-09-08T20:47:06.752+00:00,jjoannid,Jack Joannides KC text admin,477560366432256000,assets\791c521e62160be1f3df04992f6e5470-36A38.png,Great. I'll add you.
1282442141402140703,Default,,2024-09-08T20:47:13.133+00:00,mrd088062,Marla Daugherty Ohio,1277786085845631108,assets\6c5996770c985bcd6e5b68131ff2ba04-174F3.png,Thank you
