id,type,ref_to,timestamp,author_name,author_nickname,author_id,author_avatar_url,content
1293441349928091688,21,1293417674356822166,2024-10-09T05:14:08.801+00:00,nmorris237,Nicole Morris - Text Admin,935762347753103382,assets\27b1e286b65ae02b3378793b5f098411-A7B20.png,
1293441353396654131,Default,,2024-10-09T05:14:09.628+00:00,nmorris237,Nicole Morris - Text Admin,935762347753103382,assets\27b1e286b65ae02b3378793b5f098411-A7B20.png,Hi Sara - thanks! All texters are required to go through the text training for 2024. Here is the link to sign up for a session! https://events.democrats.org/event/672393/ May have a few more dates added soon too
1295507879230574652,Reply,1293441353396654131,2024-10-14T22:05:47.781+00:00,unbreakablesara,Sara Dion [MA],360157156462297090,assets\8b50fdfc1f5dbe9a98016c5f307bca08-BB53F.png,I’m trying to join the current session but the link won’t load
1295508006708056226,Reply,1295507879230574652,2024-10-14T22:06:18.174+00:00,unbreakablesara,Sara Dion [MA],360157156462297090,assets\8b50fdfc1f5dbe9a98016c5f307bca08-BB53F.png,Are others having this problem?
1295509003987845142,Default,,2024-10-14T22:10:15.944+00:00,unbreakablesara,Sara Dion [MA],360157156462297090,assets\8b50fdfc1f5dbe9a98016c5f307bca08-BB53F.png,"I’m not sure if the issue is on my end with my internet, or if others can’t access the link either."
1295512058795790396,Default,,2024-10-14T22:22:24.267+00:00,nmorris237,Nicole Morris - Text Admin,935762347753103382,assets\27b1e286b65ae02b3378793b5f098411-A7B20.png,Hi! The mobilize link itself is having some lag issues - but there’s no current training going on.
1295512947300241489,Default,,2024-10-14T22:25:56.103+00:00,unbreakablesara,Sara Dion [MA],360157156462297090,assets\8b50fdfc1f5dbe9a98016c5f307bca08-BB53F.png,"Oh hmmm that’s weird, I had signed up for a session at this time"
1295513150946414592,Default,,2024-10-14T22:26:44.656+00:00,unbreakablesara,Sara Dion [MA],360157156462297090,assets\8b50fdfc1f5dbe9a98016c5f307bca08-BB53F.png,But yeah now I can’t even access the link to sign up for the training
1295544023502819461,Default,,2024-10-15T00:29:25.247+00:00,nmorris237,Nicole Morris - Text Admin,935762347753103382,assets\27b1e286b65ae02b3378793b5f098411-A7B20.png,Got it - hm! Do you have the email confirmation you can send me? There wasn't a text training thorugh us (DNC) tonight - maybe another group?
1295554988835082260,Default,,2024-10-15T01:12:59.586+00:00,unbreakablesara,Sara Dion [MA],360157156462297090,assets\8b50fdfc1f5dbe9a98016c5f307bca08-BB53F.png,"It won’t let me attach a pic, that’s ok"
1295555291005583411,Default,,2024-10-15T01:14:11.629+00:00,unbreakablesara,Sara Dion [MA],360157156462297090,assets\8b50fdfc1f5dbe9a98016c5f307bca08-BB53F.png,"Okay I was able to use the link and sign up, thx!"
1295564228505108511,Default,,2024-10-15T01:49:42.495+00:00,nmorris237,Nicole Morris - Text Admin,935762347753103382,assets\27b1e286b65ae02b3378793b5f098411-A7B20.png,Got it - ok thanks!
1295767667923353623,Default,,2024-10-15T15:18:06.232+00:00,nmorris237,Nicole Morris - Text Admin,935762347753103382,assets\27b1e286b65ae02b3378793b5f098411-A7B20.png,"Sara - apologies, I just found out there *was* a training last night (Swifties for Kamala)."
1295767766745481302,Default,,2024-10-15T15:18:29.793+00:00,nmorris237,Nicole Morris - Text Admin,935762347753103382,assets\27b1e286b65ae02b3378793b5f098411-A7B20.png,For the next session you signed up for - please make sure you're signed into your Zoom account *before* joining the meeting link
1295889232824369164,Default,,2024-10-15T23:21:09.563+00:00,unbreakablesara,Sara Dion [MA],360157156462297090,assets\8b50fdfc1f5dbe9a98016c5f307bca08-BB53F.png,"Yes that's right, it was the Swifties one! That's okay, I'm in the training session that's going on now!"
