id,type,ref_to,timestamp,author_name,author_nickname,author_id,author_avatar_url,content
1278129663155241021,21,1278125415470334037,2024-08-27T23:10:58.197+00:00,jjoannid,Jack Joannides KC text admin,477560366432256000,assets\791c521e62160be1f3df04992f6e5470-36A38.png,
1278129664816189460,Default,,2024-08-27T23:10:58.593+00:00,jjoannid,Jack Joannides KC text admin,477560366432256000,assets\791c521e62160be1f3df04992f6e5470-36A38.png,We typically say 24-48 hours. But could be larger or shorter then that.
1278824223519019030,Default,,2024-08-29T21:10:54.292+00:00,suevictoria2019,Sue Smith,1275970426102747248,assets\12034ddc9ce947a770b3bccc491481b5-350AB.png,Thanks. Should I reach out tomorrow if I've not been added yet since it's been 48 hours? My guess is mods are busy adding folks so I just want to make sure I've done everything I need to do on my end of things.
1278824622296662139,Default,,2024-08-29T21:12:29.368+00:00,jjoannid,Jack Joannides KC text admin,477560366432256000,assets\791c521e62160be1f3df04992f6e5470-36A38.png,I would say if you've not gotten an direct message by Friday night yes. But keep in mind so many took the training. So it takes time to add you all.
1279459182193410080,Default,,2024-08-31T15:14:00.237+00:00,suevictoria2019,Sue Smith,1275970426102747248,assets\12034ddc9ce947a770b3bccc491481b5-350AB.png,Hi. I still have not been added to the text team even though I took the training and created this discord account. Is there anything else I can do to get added? Thanks!
1279460103711359108,Default,,2024-08-31T15:17:39.944+00:00,jjoannid,Jack Joannides KC text admin,477560366432256000,assets\791c521e62160be1f3df04992f6e5470-36A38.png,We had an issue yesterday morning/afternoon. I'm not sure the process now sorry.
1279460365142331442,Default,,2024-08-31T15:18:42.274+00:00,suevictoria2019,Sue Smith,1275970426102747248,assets\12034ddc9ce947a770b3bccc491481b5-350AB.png,Okay - I understand. How long can we keep using Slack? Thanks
1279461007520960562,Default,,2024-08-31T15:21:15.429+00:00,jjoannid,Jack Joannides KC text admin,477560366432256000,assets\791c521e62160be1f3df04992f6e5470-36A38.png,I'm confused. Let me check something.
1279461215059443764,Default,,2024-08-31T15:22:04.91+00:00,jjoannid,Jack Joannides KC text admin,477560366432256000,assets\791c521e62160be1f3df04992f6e5470-36A38.png,Wait If you were on slack you could of just taken the form on slack and get added.
1279461454323646524,Default,,2024-08-31T15:23:01.955+00:00,suevictoria2019,Sue Smith,1275970426102747248,assets\12034ddc9ce947a770b3bccc491481b5-350AB.png,"I filled out a form, took the training and set up discord."
1279461492818706586,Default,,2024-08-31T15:23:11.133+00:00,suevictoria2019,Sue Smith,1275970426102747248,assets\12034ddc9ce947a770b3bccc491481b5-350AB.png,Should I fill out the form again?
1279462036484390982,Default,,2024-08-31T15:25:20.753+00:00,jjoannid,Jack Joannides KC text admin,477560366432256000,assets\791c521e62160be1f3df04992f6e5470-36A38.png,Actually no.
1279462305159188573,Default,,2024-08-31T15:26:24.81+00:00,suevictoria2019,Sue Smith,1275970426102747248,assets\12034ddc9ce947a770b3bccc491481b5-350AB.png,okay
1279462439137579089,Default,,2024-08-31T15:26:56.753+00:00,suevictoria2019,Sue Smith,1275970426102747248,assets\12034ddc9ce947a770b3bccc491481b5-350AB.png,Perhaps I made a mistake. Just not sure...
1279467820874469467,Default,,2024-08-31T15:48:19.859+00:00,suevictoria2019,Sue Smith,1275970426102747248,assets\12034ddc9ce947a770b3bccc491481b5-350AB.png,Just checking - is there anything I should be doing to get added to discord?
1279481215325438115,Default,,2024-08-31T16:41:33.345+00:00,jjoannid,Jack Joannides KC text admin,477560366432256000,assets\791c521e62160be1f3df04992f6e5470-36A38.png,I'll add you sorry.
1279483583647580182,Default,,2024-08-31T16:50:57.997+00:00,suevictoria2019,Sue Smith,1275970426102747248,assets\12034ddc9ce947a770b3bccc491481b5-350AB.png,Thank you!
