id,type,ref_to,timestamp,author_name,author_nickname,author_id,author_avatar_url,content
1288683875878309888,21,1288682841340776459,2024-09-26T02:09:38.598+00:00,jjoannid,Jack Joannides KC text admin,477560366432256000,assets\791c521e62160be1f3df04992f6e5470-36A38.png,
1288683877942169672,Default,,2024-09-26T02:09:39.09+00:00,jjoannid,Jack Joannides KC text admin,477560366432256000,assets\791c521e62160be1f3df04992f6e5470-36A38.png,Let me direct message you.
1288684122536939573,Default,,2024-09-26T02:10:37.406+00:00,harryknabedc_26222,Harry Knabe (DC),1286124983260807289,assets\0-EB806.png,If you can look into this that would be most helpful. I do want to begin volunteering.
1288684122721615905,Default,,2024-09-26T02:10:37.45+00:00,jjoannid,Jack Joannides KC text admin,477560366432256000,assets\791c521e62160be1f3df04992f6e5470-36A38.png,Please check your direct message. I direct messaged you on the 22nd but you didn't respond.
1288684533624999949,Default,,2024-09-26T02:12:15.417+00:00,harryknabedc_26222,Harry Knabe (DC),1286124983260807289,assets\0-EB806.png,I don’t see any message. I have never used Discord before. Where exactly can I check this?  Is this my inbox?  This is the first and only string here.
1288684668874391587,Default,,2024-09-26T02:12:47.663+00:00,harryknabedc_26222,Harry Knabe (DC),1286124983260807289,assets\0-EB806.png,Yes. Immediately after the training.
1288684769017856052,Default,,2024-09-26T02:13:11.539+00:00,jjoannid,Jack Joannides KC text admin,477560366432256000,assets\791c521e62160be1f3df04992f6e5470-36A38.png,I'm going to followup in a private thread.
1288684843789586475,Default,,2024-09-26T02:13:29.366+00:00,harryknabedc_26222,Harry Knabe (DC),1286124983260807289,assets\0-EB806.png,In addition to setting up my Discord account which I have been checking daily.
1288684894658232381,Default,,2024-09-26T02:13:41.494+00:00,harryknabedc_26222,Harry Knabe (DC),1286124983260807289,assets\0-EB806.png,This isn’t a private thread?
1288686100570701836,Default,,2024-09-26T02:18:29.006+00:00,jjoannid,Jack Joannides KC text admin,477560366432256000,assets\791c521e62160be1f3df04992f6e5470-36A38.png,Nope. Private threads is a tool mods and staff and others can do in some channels.
