id,type,ref_to,timestamp,author_name,author_nickname,author_id,author_avatar_url,content
1280701367647731752,21,1280700957042413669,2024-09-04T01:30:00.328+00:00,kyaizen,Jared R [CO] • Lead Mod,112080668296564736,assets\a_de0e3d4a3f9b486ad3ad6df0d72323da-D0252.gif,
1280701369061343386,Default,,2024-09-04T01:30:00.665+00:00,kyaizen,Jared R [CO] • Lead Mod,112080668296564736,assets\a_de0e3d4a3f9b486ad3ad6df0d72323da-D0252.gif,"Click the Discord logo in the top left of the app. Otherwise, we can chat on here if this is easier. Don't post your phone number on here or in the messages, please! I can help on the platform only."
1280701531632570411,Default,,2024-09-04T01:30:39.425+00:00,kyaizen,Jared R [CO] • Lead Mod,112080668296564736,assets\a_de0e3d4a3f9b486ad3ad6df0d72323da-D0252.gif,"This will keep the messages under the thread so it doesn't clog up the chat for other new users, but all text is still visibile so others can benefit from the help."
1280702045740859454,Default,,2024-09-04T01:32:41.998+00:00,kathleenjones0851,Kathleen jones [CA],1277052930255622148,assets\1-B2132.png,Ok let me try again laptop discord
1280702092494766102,Default,,2024-09-04T01:32:53.145+00:00,kathleenjones0851,Kathleen jones [CA],1277052930255622148,assets\1-B2132.png,Just a minute
1280702210061369356,Default,,2024-09-04T01:33:21.175+00:00,kyaizen,Jared R [CO] • Lead Mod,112080668296564736,assets\a_de0e3d4a3f9b486ad3ad6df0d72323da-D0252.gif,"No problem! I would start by pulling up discord.com in your browser and clicking download. There is a web version, but the app is much better IMO"
1280703085047713792,Default,,2024-09-04T01:36:49.788+00:00,kathleenjones0851,Kathleen jones [CA],1277052930255622148,assets\1-B2132.png,I get a discord image w an arrow towards applications folder
1280703228094316575,Default,,2024-09-04T01:37:23.893+00:00,kathleenjones0851,Kathleen jones [CA],1277052930255622148,assets\1-B2132.png,Nothing can be clicked on it is just an image
1280703391609393214,Default,,2024-09-04T01:38:02.878+00:00,kyaizen,Jared R [CO] • Lead Mod,112080668296564736,assets\a_de0e3d4a3f9b486ad3ad6df0d72323da-D0252.gif,Is that when you click the download button?
1280703489558974495,Default,,2024-09-04T01:38:26.231+00:00,kathleenjones0851,Kathleen jones [CA],1277052930255622148,assets\1-B2132.png,Yes……There is upper right cue says open discord
1280703626272047145,Default,,2024-09-04T01:38:58.826+00:00,kyaizen,Jared R [CO] • Lead Mod,112080668296564736,assets\a_de0e3d4a3f9b486ad3ad6df0d72323da-D0252.gif,Do you see these two buttons on the home page?
1280703724234342461,Default,,2024-09-04T01:39:22.182+00:00,kathleenjones0851,Kathleen jones [CA],1277052930255622148,assets\1-B2132.png,Yup hit the left one
1280703850554069075,Default,,2024-09-04T01:39:52.299+00:00,kyaizen,Jared R [CO] • Lead Mod,112080668296564736,assets\a_de0e3d4a3f9b486ad3ad6df0d72323da-D0252.gif,Okay it should have downloaded an .exe file or prompted you on where to save it. Navigate to your downloads folder and there should be a file there to open the installer
1280703895286452285,Default,,2024-09-04T01:40:02.964+00:00,kyaizen,Jared R [CO] • Lead Mod,112080668296564736,assets\a_de0e3d4a3f9b486ad3ad6df0d72323da-D0252.gif,DiscordSetup.exe
1280704244730691635,Default,,2024-09-04T01:41:26.278+00:00,kyaizen,Jared R [CO] • Lead Mod,112080668296564736,assets\a_de0e3d4a3f9b486ad3ad6df0d72323da-D0252.gif,I'm using Win10 so yours might be a bit different
1280709855685906546,Default,,2024-09-04T02:03:44.034+00:00,kathleenjones0851,Kathleen jones [CA],1277052930255622148,assets\1-B2132.png,Jared!! My daughter helped us get loaded and fundctional on my laptop...thanks so much for reaching our to help me get here! <:blueheart:1252803082849488956>
1280710105171492976,Reply,1280704244730691635,2024-09-04T02:04:43.516+00:00,kathleenjones0851,Kathleen jones [CA],1277052930255622148,assets\1-B2132.png,Jared!! My daughter helped us get loaded and fundctional on my laptop...thanks so much for reaching our to help me get here! <:blueheart:1252803082849488956>
1280717208439488584,Default,,2024-09-04T02:32:57.067+00:00,kyaizen,Jared R [CO] • Lead Mod,112080668296564736,assets\a_de0e3d4a3f9b486ad3ad6df0d72323da-D0252.gif,Yay! <a:Partypopper:1279823487061725266> Happy to help! Feel free to post in <#1267941954243526756> if any questions come up about volunteering or any tech issues!
